Factor,term,p.value,adj_pvalue,signif
Factor1,APOE_carrier,0.4137953220332443,1,
Factor2,APOE_carrier,0.4917100335406063,1,
Factor3,APOE_carrier,0.9612978051091774,1,
Factor4,APOE_carrier,0.022356190901823437,0.15649333631276405,
Factor5,APOE_carrier,0.1837979702959222,0.9189898514796111,
Factor6,APOE_carrier,0.1092935688286735,0.655761412972041,
Factor7,APOE_carrier,0.8217813916140715,1,
Factor1,Ancestry,0.5930037902276053,1,
Factor2,Ancestry,0.876981584989547,1,
Factor3,Ancestry,0.48554129179975625,1,
Factor4,Ancestry,0.10153382181129926,0.7107367526790949,
Factor5,Ancestry,0.5305854864773714,1,
Factor6,Ancestry,0.37997632773169876,1,
Factor7,Ancestry,0.9672564042884243,1,
Factor1,taupathy,0.25988699220296013,1,
Factor2,taupathy,0.46293380417415486,1,
Factor3,taupathy,0.17433707394662373,1,
Factor4,taupathy,0.0037540854674312143,0.026278598272018498,*
Factor5,taupathy,0.9988875983430714,1,
Factor6,taupathy,0.5288527718929648,1,
Factor7,taupathy,0.7731836980473501,1,
Factor1,Sex,0.24094950471083543,1,
Factor2,Sex,0.42665976277222417,1,
Factor3,Sex,0.592597815106138,1,
Factor4,Sex,0.03454474683787106,0.2418132278650974,
Factor5,Sex,0.3121389694489189,1,
Factor6,Sex,0.053115357909595054,0.31869214745757035,
Factor7,Sex,0.5538771802384845,1,
Factor1,Age,0.7616734536134767,1,
Factor2,Age,0.888520205992287,1,
Factor3,Age,0.3509258675936109,1,
Factor4,Age,0.26188072830554354,1,
Factor5,Age,0.8559077165267908,1,
Factor6,Age,0.04802364224778947,0.33616549573452625,
Factor7,Age,0.22541653795703276,1,
Factor1,Braak,0.17280098649129005,1,
Factor2,Braak,0.8206798315116155,1,
Factor3,Braak,0.32755192004250666,1,
Factor4,Braak,0.42895737580384496,1,
Factor5,Braak,0.7713322977378307,1,
Factor6,Braak,0.274263916758725,1,
Factor7,Braak,0.5185144607918601,1,
Factor1,CERAD,0.7152125899914963,1,
Factor2,CERAD,0.5238095289275784,1,
Factor3,CERAD,0.9783650862470191,1,
Factor4,CERAD,0.4428269879587914,1,
Factor5,CERAD,0.6131784972650958,1,
Factor6,CERAD,0.11580376436166788,0.8106263505316752,
Factor7,CERAD,0.7311254549162451,1,
