Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,26,-0.2362,36,0.67552
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,66,0.48673,56,0.15694
ENSG00000188290,HES4,677,3.51560,3,-5.0680,66,-0.9956,63,-1.3122
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,46,-1.1013,54,-1.0157
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,27,-0.9276,32,-0.7618
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,63,-0.4696,96,0.60560
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,39,0.03796,48,0.75494
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,60,0.30196,53,0.03809
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,18,0.26619,11,-0.8651
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,115,0.02825,124,0.27707
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,47,-0.5342,73,0.57567
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,41,0.08016,41,0.13461
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,78,0.41517,66,0.04174
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,90,-0.3676,130,0.60812
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,47,-0.3209,50,-0.2736
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,113,-0.3210,142,0.22891
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,16,-0.4282,19,-0.0923
ENSG00000179403,VWA1,139,1.48559,306,3.15592,28,-1.3309,20,-2.1519
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.45468,14,0.01023
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,17,0.06217,18,0.36415
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,72,0.28133,76,0.55397
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0709,173,0.57690
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,50,0.53927,45,0.35292
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,38,-0.2943,51,0.46993
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,38,0.25889,38,0.38819
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,35,-0.2777,51,0.83535
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,24,-0.1257,28,0.27971
ENSG00000008130,NADK,32,0.03533,24,-0.4305,26,-0.3632,36,0.41653
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,277,-0.5427,449,0.70952
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,82,-0.6238,168,1.60851
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,155,-0.1004,201,0.67948
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,63,0.08320,45,-0.7600
