"global_FDR10","cell_type_FDR10","model"
4,6,"apoe_i"
0,1,"apoe_kr"
0,0,"apoe_n0"
0,4,"apoe"
0,0,"carrier_i"
0,0,"carrier_kr"
0,2,"carrier_n0"
0,2,"carrier_n1"
0,2,"carrier_n2"
0,0,"carrier_n3"
0,2,"carrier_n4"
0,0,"carrier_sf_kr"
0,1,"carrier_sf"
0,1,"carrier"
0,1,"e4e4_i"
0,0,"e4e4_kr"
0,0,"e4e4_n0"
0,1,"e4e4"
