"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","adj.P.Val.cell_type","model","APOEE2.E3","APOEE3.E4","APOEE4.E4","F","F.std","APOEE2.E3.Anc_Afr","APOEE3.E4.Anc_Afr","APOEE4.E4.Anc_Afr"
"Astro","OPCML",0.943056024697524,5.5332224212469,5.68868680841788,1.02549251762175e-05,0.309449530898854,2.67225806927145,4.41172723666528,0.175359220513319,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"Astro","RAB27B",1.14543872564682,1.72301436395848,5.77061703932607,9.21553575776803e-06,0.309449530898854,2.6996448274118,4.43480571994495,0.157594876993591,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"Vasc","C17orf67",-1.24773282513387,4.8156285136556,-5.72744811173294,8.29679543722341e-06,0.309449530898854,2.00312844646518,-4.45737870591727,0.064134228729737,"carrier",NA,NA,NA,NA,NA,NA,NA,NA
"Astro","EDIL3",NA,4.93946641781296,NA,3.28368427440236e-06,0.126001738101114,NA,NA,0.0561247316180851,"apoe",-0.216875329468652,-0.857767784630663,0.352950898401839,16.6791045167658,9.40286608252758,NA,NA,NA
"Astro","TRIM59",NA,1.30919383542773,NA,3.57403212833595e-06,0.126001738101114,NA,NA,0.0610837831053897,"apoe",-0.562569584619146,-1.37265509630742,0.0473779260898739,16.5096199062322,9.34443674426307,NA,NA,NA
"Astro","ST18",NA,4.94153973361144,NA,5.7599362582856e-06,0.126001738101114,NA,NA,0.098437310654101,"apoe",-0.103439606860453,-1.52760803948502,0.219475126713049,15.5755022727424,9.01510873308345,NA,NA,NA
"Astro","SPOCK3",NA,4.64510174619687,NA,1.16522210970884e-05,0.126001738101114,NA,NA,0.199124806328143,"apoe",-0.0802885078430715,-0.757098982015158,0.436696718196585,14.2579575413617,8.52815412072558,NA,NA,NA
"Inhib","ENSG00000289204",NA,-0.417276569485504,NA,8.14924559368792e-06,0.126001738101114,NA,NA,0.158836945866571,"apoe",1.94135961938994,1.87008600446408,2.19105337993786,15.7573770626069,8.7754006847961,NA,NA,NA
"Vasc","C17orf67",NA,4.8156285136556,NA,7.58209410610227e-06,0.126001738101114,NA,NA,0.0586095874401706,"apoe",0.479661641487714,-1.15901281881105,-0.724459516549374,14.9388603527459,8.82525051274087,NA,NA,NA
"Astro","ENSG00000259048",1.44592407990129,1.34544627809221,5.83851962869221,5.38952377792174e-06,0.594816027493234,-2.35082057175843,4.54902423046725,0.0921662461262397,"e4e4",NA,NA,NA,NA,NA,NA,NA,NA
"Astro","ATP23",NA,1.70282233297222,NA,5.52390344836545e-06,0.127793296716555,NA,NA,0.0943261752842885,"apoe_i",NA,NA,NA,16.9393720309276,9.04399848565657,0.182919626944337,-1.77616258864061,-1.02353716483252
"Excit","LINC02224",NA,4.69030370481256,NA,1.26799547146961e-07,0.0146672840171304,NA,NA,0.00300223287779859,"apoe_i",NA,NA,NA,28.2556852954283,11.6392422064019,4.68601158761654,1.54181024435299,2.51262491364857
"Excit","ENSG00000285656",NA,-1.56380843777767,NA,7.73045391373145e-07,0.034918868933831,NA,NA,0.0183026226861506,"apoe_i",NA,NA,NA,22.6853936804364,10.3986123944881,-2.93458401295726,-6.29200500514805,-4.41737179131914
"Excit","ENSG00000289285",NA,-0.341054934427994,NA,9.05627128210499e-07,0.034918868933831,NA,NA,0.0214407222603836,"apoe_i",NA,NA,NA,22.2409306545095,10.2897856522692,-2.07068097504778,-0.696796118772591,2.89178782399995
"Micro","LAMTOR4",NA,4.93583159425715,NA,7.70176749173363e-06,0.145341913850132,NA,NA,0.0949627931730756,"apoe_i",NA,NA,NA,16.0841911469332,8.8144291356651,-3.03693717438998,-0.871248878137354,-0.439953078291674
"OPC","ARHGAP25",NA,0.459443442698099,NA,3.36003678613639e-06,0.0971663837906887,NA,NA,0.054566997406855,"apoe_i",NA,NA,NA,18.2372553412147,9.38701600319961,-0.728049625745116,-3.00807056461598,-5.1680780215556
"Vasc","CHD1",NA,7.21863575975255,NA,2.01599490756614e-05,0.167722070213777,NA,NA,0.155876726253014,"apoe_i",NA,NA,NA,14.4575807684899,8.14859974838884,4.60188465410394,1.55217764691236,1.88044530327052
"Excit","ENSG00000289285",3.91381952531606,-0.341054934427994,6.68740230153804,2.3863611784808e-06,0.276242783659759,-4.30557166958555,4.71760596180354,0.0565686917358873,"e4e4_i",NA,NA,NA,NA,NA,NA,NA,NA
"Vasc","SIGIRR",4.48090013229081,4.06408773245026,5.39693250462021,1.92474156857082e-05,0.999998663561317,-3.29603023833083,4.27344687752105,0.14893650257601,"e4e4_i",NA,NA,NA,NA,NA,NA,NA,NA
