"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","adj.P.Val.cell_type","contrast"
"Astro","NXPH1",1.9038519481665,3.10249038956446,5.44260051458952,1.10996305600059e-05,0.32115948553085,1.82855185647616,4.39456203267648,0.189781483314981,"E2E2_E4E4"
"Inhib","ENSG00000289204",2.19105344491522,-0.417276569485504,6.59931797087839,2.20644916869328e-06,0.255367807437054,0.516992857696946,4.7335331409924,0.0429970749503259,"E2E2_E4E4"
"Vasc","GPC4",-2.04988725164722,5.94556410579833,-6.00128180514918,6.83408824712198e-06,0.32115948553085,-2.28766852686999,-4.49879137346632,0.0528001657972645,"E2E2_E4E4"
"Astro","EDIL3",1.21069714165002,4.93946641781296,6.86557226654223,1.92953887393947e-06,0.135308583896399,4.00724485583845,4.76066732060347,0.032991255666617,"E3E4_E4E4"
"Astro","SPOCK3",1.19379130049599,4.64510174619687,6.44721648555735,3.36858422884164e-06,0.135308583896399,3.53232805080936,4.6469624690711,0.0575926845605055,"E3E4_E4E4"
"Astro","TRIM59",1.42002230635423,1.30919383542773,6.29196572964683,3.50731185091367e-06,0.135308583896399,3.54866662866395,4.63862711915921,0.0599610034032201,"E3E4_E4E4"
"Astro","ST18",1.74710807294792,4.94153973361144,6.1572479687439,4.82721726573419e-06,0.139671911171069,3.06087663310532,4.5721601636917,0.082521279157726,"E3E4_E4E4"
"Astro","CNTNAP4",1.48171543997183,3.80265032553918,5.98021443209928,8.32459090512964e-06,0.148601653292469,2.77415240354297,4.45666145720789,0.142300556932286,"E3E4_E4E4"
"Astro","IL1RAPL1",1.24449031537342,6.65897247187146,6.16268740350089,8.32694232757005e-06,0.148601653292469,3.0250942587165,4.45660088493731,0.142332425205155,"E3E4_E4E4"
"Macro","MAP3K8",-2.75562854032669,7.14282833248934,-6.04020476848838,7.48512728218011e-05,0.320854139354696,1.54642231648647,-3.96031400800243,0.156439160197564,"E3E4_E4E4"
"Macro","UST",-2.77501398182795,7.67562089228489,-6.98659678920301,2.15057479833698e-05,0.173223238272314,2.91103243467477,-4.24865535670301,0.0449685190332263,"E3E4_E4E4"
"Micro","NPHP1",1.19626062190547,2.63893838887235,5.50927330944574,8.98771847418962e-06,0.148601653292469,2.73749554541188,4.44019551824222,0.110890470534552,"E3E4_E4E4"
"Vasc","PIK3R3",-2.30011513176939,8.16689281640461,-5.6716920880347,1.47957442928746e-05,0.173223238272314,1.72262422630825,-4.33170746128447,0.114311920406749,"E3E4_E4E4"
"Inhib","MCM8-AS1",1.24247933007786,-0.35457598528179,6.0867684217083,7.62623930511971e-06,0.56410270638066,-2.59952907765847,4.47541679851564,0.148612525338868,"E2E3_E4E4"
"Excit","STEAP2",1.06403067674482,5.62635966437544,6.42981208225111,9.85294432524867e-07,0.101269438039314,5.32647733572694,4.89455295646754,0.0233416251065141,"E2E2_E3E4"
"Excit","LINC02125",-1.78826888812562,1.0824485990083,-6.07856873813611,5.07793510578195e-06,0.101269438039314,3.46261566581246,-4.5615418549595,0.120291204720869,"E2E2_E3E4"
"Excit","SSTR1",1.44217608018914,2.76314446383823,5.79431818992209,5.22918762110135e-06,0.101269438039314,3.6617788008945,4.55537632053178,0.123868996368649,"E2E2_E3E4"
"Excit","SOCS2-AS1",-1.14914212721217,2.9081731524488,-5.93831965076566,5.60741791427632e-06,0.101269438039314,3.28832866845408,-4.54067587926353,0.132822908135463,"E2E2_E3E4"
