"global_FDR10","global_FDR20","cell_type_FDR10","cell_type_FDR20","model"
0,0,2,3,"E2E2_E4E4"
0,16,5,10,"E3E4_E4E4"
0,0,0,1,"E2E3_E4E4"
0,368,2,13,"E2E2_E3E4"
0,0,0,1,"E2E2_E2E3"
0,0,1,5,"E2E3_E3E4"
0,0,1,4,"anyE2_E4E4"
0,0,2,4,"anyE2_anyE4"
0,1,1,5,"E2E2_anyE4"
0,0,1,1,"E2E3_anyE4"
