"assay","ID","n_models","models","contrasts","risk","visium_DE"
"Astro","ATP23",1,"apoe_i","",FALSE,NA
"Astro","CACNG8",1,"contrast","anyE2_anyE4, E2E2_anyE4",FALSE,NA
"Astro","CNTNAP4",1,"contrast","E3E4_E4E4",FALSE,"WM.uf_Sp09D07: carrier"
"Astro","EDIL3",2,"apoe, contrast","E3E4_E4E4",FALSE,NA
"Astro","ENSG00000259048",2,"e4e4, contrast","anyE2_E4E4",FALSE,NA
"Astro","IL1RAPL1",1,"contrast","E3E4_E4E4",FALSE,NA
"Astro","NXPH1",1,"contrast","E2E2_E4E4, anyE2_E4E4, anyE2_anyE4",FALSE,NA
"Astro","OPCML",1,"carrier","",FALSE,NA
"Astro","PLPPR4",1,"contrast","E2E2_anyE4",FALSE,NA
"Astro","RAB27B",1,"carrier","",FALSE,NA
"Astro","SPOCK3",2,"apoe, contrast","E3E4_E4E4",FALSE,NA
"Astro","ST18",2,"apoe, contrast","E3E4_E4E4",FALSE,NA
"Astro","TRIM59",2,"apoe, contrast","E3E4_E4E4",FALSE,NA
"Excit","ENSG00000285656",1,"apoe_i","",FALSE,NA
"Excit","ENSG00000287352",1,"contrast","anyE2_E4E4",FALSE,NA
"Excit","ENSG00000289285",1,"apoe_i, e4e4_i","",FALSE,NA
"Excit","LINC02125",1,"contrast","E2E2_E3E4, E2E2_anyE4",FALSE,NA
"Excit","LINC02224",1,"apoe_i","",FALSE,NA
"Excit","SMIM20",1,"contrast","E2E2_E3E4",FALSE,NA
"Excit","SOCS2-AS1",1,"contrast","E2E2_E3E4",FALSE,NA
"Excit","SSTR1",1,"contrast","E2E2_E3E4",FALSE,NA
"Excit","STEAP2",1,"contrast","E2E2_E3E4",FALSE,NA
"Inhib","ENSG00000289204",2,"apoe, contrast","E2E2_E4E4, E2E2_E3E4, E2E2_E2E3, E2E2_anyE4",FALSE,NA
"Inhib","MCM8-AS1",1,"contrast","E2E3_E4E4",FALSE,NA
"Macro","ATP13A3",1,"contrast","E2E3_E3E4",FALSE,NA
"Macro","ELL2",1,"contrast","E2E2_E3E4",FALSE,NA
"Macro","MAP3K8",1,"contrast","E3E4_E4E4",FALSE,NA
"Macro","P2RY12",1,"contrast","E2E3_E3E4",FALSE,NA
"Macro","RASSF2",1,"contrast","E2E3_E3E4",FALSE,NA
"Macro","UST",1,"contrast","E3E4_E4E4",FALSE,NA
"Macro","ZHX2",1,"contrast","E2E2_E3E4",FALSE,NA
"Micro","LAMTOR4",1,"apoe_i","",FALSE,NA
"Micro","NPHP1",1,"contrast","E3E4_E4E4",FALSE,NA
"OPC","APOO",1,"contrast","E2E2_E3E4",FALSE,NA
"OPC","ARHGAP25",1,"apoe_i","",FALSE,NA
"OPC","ENSG00000273507",1,"contrast","E2E2_E3E4",FALSE,NA
"OPC","KRT10-AS1",1,"contrast","E2E2_E3E4",FALSE,NA
"OPC","LDB3",1,"contrast","E2E3_E3E4",FALSE,NA
"Oligo","COL11A1",1,"contrast","E2E2_E3E4",FALSE,NA
"Oligo","ENSG00000227388",1,"contrast","E2E2_E3E4",FALSE,NA
"Vasc","C17orf67",2,"carrier, apoe, contrast","E2E3_E3E4, anyE2_anyE4, E2E3_anyE4",FALSE,NA
"Vasc","CHD1",1,"apoe_i","",FALSE,NA
"Vasc","GPC4",1,"contrast","E2E2_E4E4, anyE2_E4E4, anyE2_anyE4, E2E2_anyE4",FALSE,NA
"Vasc","PIK3R3",1,"contrast","E3E4_E4E4",FALSE,NA
"Vasc","SIGIRR",1,"e4e4_i","",FALSE,NA
