"global_FDR10","cell_type_FDR10","model"
0,2,"E2E2_E4E4"
0,5,"E3E4_E4E4"
0,0,"E2E3_E4E4"
0,2,"E2E2_E3E4"
0,0,"E2E2_E2E3"
0,1,"E2E3_E3E4"
0,1,"E4E4_anyE2"
111,9,"anyE4_anyE2"
0,1,"E2E2_anyE4"
0,1,"E2E3_anyE4"
