Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000188290,HES4,16,-4.1158,407,0.76302,1,-7.8688,131,-1.1626,409,1.57274
ENSG00000131584,ACAP3,16,-3.6884,407,1.29710,608,2.11524,224,0.29166,62,-2.2381
ENSG00000175756,AURKAIP1,760,1.50705,407,0.38496,315,-0.0349,179,-1.0201,264,-0.4750
ENSG00000179403,VWA1,16,-3.9725,407,0.93886,1,-7.7251,146,-0.8189,346,1.27127
ENSG00000160075,SSU72,16,-3.7080,407,1.26987,337,0.92741,144,-0.5362,176,-0.2495
ENSG00000078369,GNB1,16,-4.4425,407,0.37889,141,-1.2906,443,0.61509,365,0.33030
ENSG00000067606,PRKCZ,16,-5.2825,3973,4.70064,589,0.03346,77,-3.2233,115,-3.0343
ENSG00000069424,KCNAB2,16,-3.6247,407,1.37979,755,2.74328,199,0.14438,20,-3.9600
ENSG00000116254,CHD5,16,-4.2821,407,0.56594,1641,3.76442,261,-0.1867,4,-6.7523
ENSG00000116251,RPL22,16,-5.8938,407,-1.2083,217,-2.1505,555,-0.8113,1545,2.14105
ENSG00000171735,CAMTA1,24,-4.8305,3937,4.24255,856,0.52971,199,-1.8956,95,-3.4430
ENSG00000116288,PARK7,637,1.32923,407,0.52584,48,-2.7536,301,0.02968,243,-0.4802
ENSG00000074800,ENO1,16,-5.0829,407,-0.3395,908,1.00565,1160,1.88087,218,-1.7415
ENSG00000171603,CLSTN1,16,-5.1854,407,-0.4525,1964,2.43788,550,0.03492,343,-1.0218
ENSG00000054523,KIF1B,16,-4.3167,407,0.52562,611,1.24865,323,0.16403,246,-0.4473
ENSG00000116661,FBXO2,16,-3.8282,407,1.11806,280,0.46124,522,2.08506,39,-3.1426
ENSG00000132879,FBXO44,16,-3.6979,407,1.28502,840,2.89503,116,-0.8875,61,-2.2805
ENSG00000116786,PLEKHM2,16,-3.5284,407,1.50783,173,0.01314,176,0.04708,150,-0.3410
ENSG00000077549,CAPZB,16,-5.5591,3997,3.80022,694,-0.0109,215,-1.9588,288,-1.8335
ENSG00000173436,MICOS10,16,-4.6597,407,0.13058,331,-0.2031,261,-0.6459,526,1.04268
ENSG00000158747,NBL1,16,-4.1190,407,0.76048,580,1.40855,314,0.37028,174,-0.9057
ENSG00000162545,CAMK2N1,16,-5.1777,407,-0.4432,497,-0.1245,844,0.91036,556,0.09127
ENSG00000158828,PINK1,975,1.78312,407,0.19891,2,-7.4066,465,0.49465,231,-0.9982
ENSG00000127483,HP1BP3,16,-5.3292,3961,4.48823,110,-2.5681,142,-2.3481,249,-1.8086
ENSG00000076864,RAP1GAP,16,-4.0210,407,0.87814,1115,3.06974,156,-0.7687,81,-2.1824
ENSG00000070831,CDC42,16,-4.4051,407,0.42218,339,0.12053,207,-0.7406,415,0.81731
ENSG00000142676,RPL11,25,-6.0109,411,-1.9669,89,-4.2008,770,-1.1243,2806,2.76264
ENSG00000001461,NIPAL3,16,-3.2620,407,1.87704,34,-2.1691,46,-1.8909,185,0.75152
ENSG00000169504,CLIC4,16,-3.8359,407,1.10835,53,-2.1118,66,-1.9436,326,1.42127
ENSG00000117632,STMN1,16,-5.1895,407,-0.4563,1453,1.76503,223,-1.5035,637,0.45689
ENSG00000142669,SH3BGRL3,16,-4.6696,407,0.11918,407,0.11942,154,-1.5145,566,1.31183
ENSG00000198830,HMGN2,16,-4.2312,407,0.62683,1,-7.9821,149,-1.0780,447,1.62703
ENSG00000090273,NUDC,16,-3.4933,407,1.55464,96,-0.8836,173,0.05670,162,-0.0970
ENSG00000126709,IFI6,16,-4.0495,407,0.84385,1,-7.8021,200,-0.3756,348,1.07881
ENSG00000130770,ATP5IF1,16,-3.4630,407,1.59630,1,-7.2197,202,0.39409,163,-0.0219
ENSG00000162512,SDC3,16,-4.3393,407,0.49908,539,0.99002,492,0.99979,190,-1.0319
ENSG00000121753,ADGRB2,16,-4.0116,407,0.89092,995,2.76910,264,0.17948,53,-2.8545
ENSG00000184007,PTP4A2,16,-5.2354,407,-0.5059,1,-8.9821,214,-1.6187,1044,2.61385
ENSG00000175130,MARCKSL1,16,-5.3792,407,-0.6612,134,-2.3280,477,-0.4614,1010,1.73948
ENSG00000121905,HPCA,16,-4.4756,407,0.34145,1579,3.17565,259,-0.4345,113,-2.1494
ENSG00000134686,PHC2,16,-3.6709,407,1.31938,106,-0.9197,117,-0.8396,236,0.62806
ENSG00000116560,SFPQ,16,-3.6008,407,1.41151,1,-7.3562,174,-0.0725,214,0.47118
ENSG00000020129,NCDN,16,-4.2996,407,0.54540,1540,3.48868,270,-0.1506,33,-3.9010
ENSG00000116871,MAP7D1,232,-1.6094,4003,4.07584,171,-2.0633,169,-2.2260,288,-1.7161
ENSG00000197982,C1orf122,16,-5.5577,3962,3.77040,18,-5.3882,288,-1.4974,427,-1.0979
ENSG00000168653,NDUFS5,16,-4.9504,407,-0.1938,406,-0.1968,289,-0.8101,680,1.27245
ENSG00000127603,MACF1,465,1.03620,407,0.79880,214,-0.2673,243,-0.0738,176,-0.8340
ENSG00000116983,HPCAL4,16,-3.8765,407,1.05785,841,2.57382,244,0.20602,54,-2.6869
ENSG00000065978,YBX1,164,-1.3669,407,0.05157,1,-8.4785,144,-1.6928,672,1.96546
ENSG00000117394,SLC2A1,275,-1.9811,407,-1.3969,139,-2.9876,284,-2.0786,1898,2.76998
ENSG00000066322,ELOVL1,16,-3.6198,407,1.38643,23,-3.0990,87,-1.2756,257,1.05091
ENSG00000142949,PTPRF,16,-3.3077,407,1.81223,1,-7.0661,353,1.97983,50,-2.1616
ENSG00000117408,IPO13,16,-3.5951,407,1.41827,130,-0.5157,104,-0.9544,215,0.49786
ENSG00000117410,ATP6V0B,16,-4.8766,407,-0.1130,1788,2.74001,346,-0.4148,255,-1.1826
ENSG00000117419,ERI3,16,-3.7674,407,1.19430,713,2.35369,252,0.41870,46,-2.8119
ENSG00000187147,RNF220,16,-3.5900,407,1.42510,234,0.43711,94,-1.1187,193,0.19143
ENSG00000142937,RPS8,113,-4.3427,407,-2.4800,813,-1.4488,985,-1.2678,3818,2.53033
ENSG00000117450,PRDX1,16,-4.5419,407,0.26496,499,0.61083,475,0.62028,310,-0.2713
ENSG00000173660,UQCRH,16,-4.3265,407,0.51409,696,1.48590,328,0.17865,227,-0.6436
ENSG00000162374,ELAVL4,16,-3.7936,407,1.16267,1065,3.41864,167,-0.3768,9,-5.2908
ENSG00000123091,RNF11,237,-0.6229,407,0.24152,1458,2.77524,281,-0.3964,123,-2.1062
ENSG00000169213,RAB3B,16,-3.0414,407,2.20701,1,-6.8033,334,2.39669,4,-5.5097
ENSG00000162378,ZYG11B,16,-3.7206,407,1.25543,911,3.08300,171,-0.2536,23,-3.8351
ENSG00000116209,TMEM59,16,-4.2373,407,0.61901,234,-0.2881,175,-0.8231,379,0.90963
