Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000228794,LINC01128,11,-0.5049,20,0.80951,12,-0.6092
ENSG00000188976,NOC2L,40,-0.3139,74,1.14629,32,-1.0448
ENSG00000188290,HES4,32,-0.7136,46,-0.2148,58,0.46015
ENSG00000187608,ISG15,52,0.73262,21,-0.9110,38,0.38467
ENSG00000188157,AGRN,8,-1.0893,20,0.36189,17,0.00989
ENSG00000078808,SDF4,130,0.70262,77,-0.2423,82,-0.1453
ENSG00000176022,B3GALT6,53,0.55833,38,0.01279,34,-0.2946
ENSG00000160087,UBE2J2,21,-1.0611,49,0.36472,42,0.00040
ENSG00000131584,ACAP3,18,-1.8880,70,0.35111,64,0.16929
ENSG00000127054,INTS11,39,-0.3045,55,0.38115,43,-0.2448
ENSG00000224051,CPTP,46,0.49194,41,0.47105,26,-0.7145
ENSG00000107404,DVL1,18,-1.8417,62,0.12082,66,0.38808
ENSG00000175756,AURKAIP1,104,-0.8159,149,-0.3279,209,0.59415
ENSG00000221978,CCNL2,69,0.65729,47,0.01756,41,-0.3580
ENSG00000242485,MRPL20,204,-0.0091,190,-0.1685,217,0.15974
ENSG00000179403,VWA1,63,-0.2296,50,-0.7656,91,0.77121
ENSG00000197785,ATAD3A,25,0.64273,17,-0.0359,15,-0.2985
ENSG00000205090,TMEM240,29,-0.4186,56,1.01987,27,-0.8641
ENSG00000160075,SSU72,114,-0.4145,150,0.05010,153,0.11560
ENSG00000228594,FNDC10,17,-0.8949,42,0.81019,26,-0.4895
ENSG00000272106,AL691432.2,4,-2.5945,31,0.54821,26,0.05515
ENSG00000197530,MIB2,26,-0.2470,39,0.66008,24,-0.5497
ENSG00000189339,SLC35E2B,31,-0.3943,43,0.22427,39,-0.0583
ENSG00000215790,SLC35E2A,1,-3.4964,15,0.53794,13,0.12665
ENSG00000008130,NADK,19,-0.1420,26,0.54571,17,-0.4747
ENSG00000078369,GNB1,390,0.04309,397,0.10246,365,-0.1160
ENSG00000187730,GABRD,47,-0.0158,62,0.70302,36,-0.6935
ENSG00000067606,PRKCZ,79,-1.1166,209,0.67807,143,-0.2988
ENSG00000162585,FAAP20,113,0.79033,60,-0.3671,69,-0.0901
ENSG00000157933,SKI,36,0.00385,41,0.25785,33,-0.2488
ENSG00000157916,RER1,23,-1.3988,68,0.37600,59,0.06253
ENSG00000157911,PEX10,48,0.52544,34,-0.0548,33,-0.2120
ENSG00000197921,HES5,41,0.82862,16,-0.9000,28,0.31477
ENSG00000157870,PRXL2B,27,-1.3454,84,0.67179,59,-0.2425
ENSG00000177133,PRDM16-DT,2,-3.1720,13,-0.8373,30,1.45705
ENSG00000158109,TPRG1L,139,-0.2936,203,0.48103,147,-0.3487
ENSG00000130764,LRRC47,63,-0.2025,87,0.46231,63,-0.3653
ENSG00000116198,CEP104,13,-0.7557,24,0.30747,21,-0.0238
ENSG00000196581,AJAP1,4,-2.8379,54,1.64244,20,-1.0317
ENSG00000069424,KCNAB2,107,-0.4953,168,0.34815,138,-0.1446
ENSG00000116254,CHD5,203,0.57543,187,0.65951,97,-0.9704
ENSG00000116251,RPL22,780,0.07941,518,-0.7643,904,0.63214
ENSG00000116237,ICMT,50,0.78719,35,0.22967,25,-0.6499
ENSG00000097021,ACOT7,216,-0.0445,282,0.59698,179,-0.5694
ENSG00000171680,PLEKHG5,42,1.24833,20,-0.1006,16,-0.6586
ENSG00000162408,NOL9,31,-0.1923,45,0.59508,29,-0.5046
ENSG00000162413,KLHL21,21,-0.4997,29,0.06232,30,0.13317
ENSG00000116273,PHF13,13,-0.3995,18,0.16245,16,0.00312
ENSG00000041988,THAP3,4,-2.7553,31,0.65637,23,-0.0389
ENSG00000007923,DNAJC11,64,1.04314,43,0.52140,22,-1.1553
ENSG00000171735,CAMTA1,158,0.07142,174,0.32895,133,-0.3495
ENSG00000049245,VAMP3,50,-0.0453,39,-0.6166,62,0.56782
ENSG00000049246,PER3,18,-0.7192,31,0.25225,28,0.01944
ENSG00000116288,PARK7,277,-0.4692,352,-0.1130,407,0.28738
ENSG00000116285,ERRFI1,1,-3.4348,23,0.94818,15,-0.2870
ENSG00000162426,SLC45A1,4,-2.6030,30,0.79361,21,-0.1894
ENSG00000142599,RERE,183,0.84962,98,-0.2841,104,-0.2012
ENSG00000074800,ENO1,641,-0.2665,851,0.28850,710,-0.1678
ENSG00000171612,SLC25A33,36,0.26013,22,-0.6713,35,0.46716
ENSG00000188807,TMEM201,3,-2.1596,16,0.43273,14,0.12439
ENSG00000171603,CLSTN1,457,-0.0690,641,0.76091,358,-0.7308
ENSG00000178585,CTNNBIP1,63,0.67178,50,0.41632,31,-0.7681
ENSG00000162441,LZIC,73,0.79889,29,-0.9357,51,0.36061
ENSG00000130939,UBE4B,76,0.96615,54,0.53479,27,-1.1088
ENSG00000054523,KIF1B,299,-0.2628,400,0.31259,328,-0.1929
ENSG00000142657,PGD,129,1.18084,62,-0.1442,53,-0.5640
ENSG00000241563,CORT,3574,6.46721,45,-4.0351,36,-4.6615
ENSG00000160049,DFFA,85,1.17128,33,-0.6115,41,-0.1465
ENSG00000142655,PEX14,47,1.10002,31,0.56282,14,-1.2520
ENSG00000120948,TARDBP,125,1.15902,57,-0.2713,55,-0.4296
ENSG00000116649,SRM,64,-0.8875,127,0.31119,112,0.00902
ENSG00000171824,EXOSC10,7,-1.5644,23,0.22007,23,0.24613
ENSG00000198793,MTOR,17,-1.3372,52,0.66949,37,-0.2419
ENSG00000116661,FBXO2,347,0.05730,245,-0.6627,399,0.55944
ENSG00000132879,FBXO44,52,-1.0516,147,1.02652,77,-0.6725
ENSG00000116670,MAD2L2,4,-2.6120,26,0.23084,26,0.37126
ENSG00000177674,AGTRAP,15,-0.3582,15,-0.4551,23,0.55676
ENSG00000177000,MTHFR,9,-0.8951,19,0.52032,14,-0.1957
ENSG00000011021,CLCN6,101,0.88081,75,0.54113,39,-1.0504
ENSG00000116685,KIAA2013,26,-0.4578,39,0.31933,32,-0.1290
ENSG00000083444,PLOD1,0,-4.5083,17,0.00978,22,0.68897
ENSG00000116688,MFN2,90,-0.0364,103,0.25317,85,-0.2267
ENSG00000116691,MIIP,27,0.56770,17,-0.3144,19,-0.0011
ENSG00000048707,VPS13D,70,0.44141,58,0.20911,46,-0.4184
ENSG00000162496,DHRS3,71,1.48906,23,-0.6092,26,-0.3979
ENSG00000116731,PRDM2,41,-0.3630,67,0.64425,43,-0.4888
ENSG00000189337,KAZN,39,-0.4736,67,0.57691,46,-0.3806
ENSG00000142634,EFHD2,30,-2.0121,190,1.59051,71,-1.0738
ENSG00000116138,DNAJC16,28,0.52168,24,0.33976,16,-0.5957
ENSG00000197312,DDI2,31,0.54946,31,0.81360,14,-1.1287
ENSG00000116786,PLEKHM2,61,0.01481,57,-0.1212,62,0.10592
ENSG00000065526,SPEN,44,0.09257,47,0.31798,36,-0.3484
ENSG00000116809,ZBTB17,26,0.78022,16,-0.1258,15,-0.2999
ENSG00000185519,FAM131C,56,1.94936,8,-1.6025,19,-0.1185
ENSG00000037637,FBXO42,8,-1.1370,20,0.38685,17,-0.0035
ENSG00000055070,SZRD1,37,0.39396,21,-0.7031,34,0.42231
ENSG00000157191,NECAP2,37,0.82320,16,-0.6709,24,0.14166
ENSG00000219481,NBPF1,18,-0.0169,17,-0.0707,18,0.07333
ENSG00000058453,CROCC,1,-3.4028,19,0.57564,15,0.08427
ENSG00000159363,ATP13A2,113,-0.1515,157,0.58618,102,-0.5123
ENSG00000117118,SDHB,119,0.50486,83,-0.1447,84,-0.1174
ENSG00000117115,PADI2,52,-0.8137,54,-1.0017,122,1.18331
ENSG00000074964,ARHGEF10L,12,-0.9507,22,0.03395,24,0.29327
ENSG00000117154,IGSF21,47,-0.7626,112,1.06030,55,-0.7892
ENSG00000159423,ALDH4A1,2,-3.3686,18,-0.6755,35,1.31482
ENSG00000127463,EMC1,38,0.09367,39,0.16881,34,-0.2027
ENSG00000053372,MRTO4,26,-0.5570,45,0.47279,34,-0.2478
ENSG00000053371,AKR7A2,31,-0.8312,53,0.00854,58,0.28533
ENSG00000077549,CAPZB,229,0.04067,257,0.33548,197,-0.3420
ENSG00000173436,MICOS10,233,-0.4725,261,-0.3929,371,0.54316
ENSG00000158747,NBL1,344,0.45128,283,0.16627,229,-0.3818
ENSG00000162545,CAMK2N1,665,-0.2718,663,-0.3766,909,0.45455
ENSG00000090432,MUL1,36,0.54583,33,0.58852,18,-0.8732
ENSG00000183114,FAM43B,24,0.62266,25,1.01349,9,-1.4208
ENSG00000158828,PINK1,403,-0.0192,402,-0.0348,414,0.04097
ENSG00000244038,DDOST,27,-0.2547,36,0.31531,30,-0.1987
ENSG00000189410,SH2D5,21,-0.4980,42,0.95882,21,-0.7692
ENSG00000127483,HP1BP3,157,-0.0577,179,0.23696,151,-0.2017
ENSG00000075151,EIF4G3,82,-0.4441,147,0.80879,84,-0.6299
ENSG00000117298,ECE1,22,0.42630,13,-0.5434,19,0.27387
ENSG00000076864,RAP1GAP,81,-0.9467,243,1.43091,92,-1.1340
ENSG00000090686,USP48,13,-1.8774,48,0.17042,50,0.34503
ENSG00000070831,CDC42,376,0.62837,295,0.31067,204,-0.6304
ENSG00000173372,C1QA,24,-0.1412,16,-1.0441,35,0.95659
ENSG00000159189,C1QC,7,-1.9101,10,-1.7082,42,2.07559
ENSG00000173369,C1QB,62,0.67875,24,-1.1327,50,0.57917
ENSG00000004487,KDM1A,55,0.25505,58,0.54326,36,-0.6583
ENSG00000169641,LUZP1,77,1.62831,37,0.40444,15,-1.5771
ENSG00000125944,HNRNPR,45,-1.4688,144,0.56143,111,-0.1079
ENSG00000125945,ZNF436,27,0.80613,19,0.35150,12,-0.7893
