Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000228794,LINC01128,2,-2.9340,13,-0.5124,30,1.60445,11,-1.0485
ENSG00000188976,NOC2L,39,-0.4719,41,-0.3923,70,0.77838,41,-0.5403
ENSG00000188290,HES4,138,0.33964,261,1.44255,90,-0.4908,90,-0.4825
ENSG00000187608,ISG15,59,-0.3375,129,0.92976,75,0.04605,62,-0.3925
ENSG00000188157,AGRN,45,-0.1586,110,1.31936,54,0.17692,33,-0.9044
ENSG00000078808,SDF4,52,-0.5916,123,0.78555,86,0.28138,62,-0.4826
ENSG00000176022,B3GALT6,21,-0.7707,19,-0.9455,47,0.83313,29,-0.3628
ENSG00000160087,UBE2J2,70,0.54567,32,-0.6823,57,0.36379,41,-0.4110
ENSG00000162572,SCNN1D,0,-4.6895,18,0.13834,19,0.37084,17,0.14166
ENSG00000131584,ACAP3,33,-1.6003,67,-0.5502,120,0.61471,92,-0.0666
ENSG00000127054,INTS11,31,-0.7841,59,0.23501,56,0.21812,49,-0.0787
ENSG00000224051,CPTP,67,1.06106,24,-0.6128,35,-0.0410,31,-0.3025
ENSG00000107404,DVL1,24,-1.5101,95,0.65170,55,-0.3371,75,0.40238
ENSG00000175756,AURKAIP1,137,-0.0606,116,-0.3292,155,0.21654,137,-0.0848
ENSG00000221978,CCNL2,51,-0.0187,70,0.50118,63,0.51735,36,-0.7992
ENSG00000242485,MRPL20,81,-0.9123,146,0.00660,151,0.08488,157,0.17624
ENSG00000179403,VWA1,49,0.45282,79,1.25820,11,-2.2337,50,0.78079
ENSG00000197785,ATAD3A,37,0.90299,18,-0.2658,23,0.24929,16,-0.6286
ENSG00000205090,TMEM240,68,0.92428,7,-2.4315,48,0.56116,30,-0.5706
ENSG00000160075,SSU72,118,-0.4227,147,-0.0749,174,0.30604,145,-0.1444
ENSG00000228594,FNDC10,0,-5.4524,14,-1.5067,48,0.71492,40,0.22142
ENSG00000272106,AL691432.2,7,-1.5550,22,0.17221,25,0.66165,16,-0.3783
ENSG00000197530,MIB2,41,-0.0967,81,1.04738,44,0.03663,34,-0.5491
ENSG00000215790,SLC35E2A,26,-0.1677,20,-0.5527,35,0.54620,25,-0.3317
ENSG00000008130,NADK,35,0.03200,40,0.24702,35,0.06210,32,-0.1759
ENSG00000078369,GNB1,301,-0.4896,256,-0.7392,504,0.53844,382,-0.1685
ENSG00000187730,GABRD,5,-4.1911,18,-2.4804,155,1.58980,71,-0.5895
ENSG00000067606,PRKCZ,66,-1.5415,95,-1.0044,241,0.77354,171,-0.1328
ENSG00000162585,FAAP20,2,-4.5835,89,0.84485,47,-0.2864,63,0.44405
ENSG00000157933,SKI,32,-0.0528,40,0.30814,27,-0.3906,36,0.26754
ENSG00000157916,RER1,22,-1.4909,65,0.16829,66,0.27319,60,0.02872
ENSG00000157911,PEX10,31,-0.0881,43,0.42145,32,-0.0502,32,-0.0958
ENSG00000149527,PLCH2,0,-5.3222,19,-0.3851,32,0.74089,24,-0.0493
ENSG00000197921,HES5,2,-3.6055,7,-1.9630,21,-0.3987,40,1.33668
ENSG00000157870,PRXL2B,34,-0.8438,28,-1.1661,76,0.68287,56,-0.1362
ENSG00000177133,PRDM16-DT,9,-1.4819,18,-0.4207,10,-1.7437,43,1.94097
