Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,24,0.35987,19,0.05861,9,-1.0839,17,-0.1825,22,0.26505,24,0.46768,16,-0.2428,13,-0.5816,17,-0.1677
ENSG00000188976,NOC2L,64,0.94044,53,0.63278,29,-0.3067,33,-0.1097,49,0.50513,40,0.24292,10,-1.9397,29,-0.3360,20,-0.9426
ENSG00000188290,HES4,61,-0.3586,85,0.14345,56,-0.5113,56,-0.5081,49,-0.6878,67,-0.2797,240,1.92764,56,-0.4959,63,-0.3439
ENSG00000187608,ISG15,80,-0.2020,69,-0.4230,92,0.01013,67,-0.4718,85,-0.1129,99,0.16605,177,1.08302,60,-0.6482,83,-0.1600
ENSG00000188157,AGRN,17,0.03197,17,0.02549,14,-0.2681,12,-0.5224,25,0.64599,21,0.47419,17,-0.0171,8,-1.0857,14,-0.3453
ENSG00000078808,SDF4,69,0.18703,64,0.07066,71,0.23688,48,-0.3618,74,0.30637,64,0.09192,80,0.42005,42,-0.5751,46,-0.4581
ENSG00000176022,B3GALT6,40,0.30576,38,0.19763,26,-0.3626,26,-0.3856,27,-0.3222,44,0.55739,46,0.52328,23,-0.5825,20,-0.7880
ENSG00000160087,UBE2J2,50,0.42023,45,0.24278,41,0.09893,60,0.71969,37,-0.0712,43,0.23272,23,-0.7586,27,-0.5432,24,-0.7744
ENSG00000131584,ACAP3,71,0.32381,39,-0.5930,67,0.23977,42,-0.5096,97,0.83462,67,0.29493,56,-0.0457,36,-0.7296,42,-0.5339
ENSG00000127054,INTS11,49,0.22812,27,-0.6707,58,0.48650,54,0.39474,46,0.14175,59,0.68193,31,-0.5010,14,-1.6481,26,-0.8182
ENSG00000224051,CPTP,36,0.31985,19,-0.6672,22,-0.4548,23,-0.3314,23,-0.3322,47,1.02270,33,0.19640,16,-0.9062,18,-0.8063
ENSG00000107404,DVL1,32,-0.6261,44,-0.1797,60,0.32085,51,0.06189,59,0.29833,46,-0.0963,45,-0.1256,45,-0.1410,56,0.23113
ENSG00000175756,AURKAIP1,116,-0.7101,155,-0.2595,201,0.14353,209,0.21085,196,0.10467,227,0.42285,126,-0.5791,135,-0.4725,191,0.07064
ENSG00000221978,CCNL2,53,0.48033,36,-0.1558,23,-0.8001,28,-0.5320,43,0.15331,53,0.59687,52,0.45068,20,-1.0468,29,-0.5041
ENSG00000242485,MRPL20,178,-0.2295,212,0.04173,195,-0.0903,241,0.24727,153,-0.4603,217,0.10381,183,-0.1839,200,-0.0494,230,0.19071
ENSG00000235098,ANKRD65,17,-0.2656,23,0.18822,34,0.77302,27,0.41731,23,0.13608,20,-0.1036,15,-0.4600,20,-0.0611,15,-0.5070
ENSG00000179403,VWA1,31,0.27056,58,1.33100,5,-2.2620,10,-1.3793,11,-1.2082,12,-1.2614,60,1.38282,38,0.61493,29,0.21968
ENSG00000197785,ATAD3A,12,-0.2210,9,-0.6464,7,-0.9828,15,0.04330,19,0.45139,26,1.33743,11,-0.3772,4,-1.7113,7,-1.1450
ENSG00000205090,TMEM240,53,0.53362,39,0.05815,42,0.16947,48,0.39245,42,0.17690,40,0.13628,24,-0.6664,31,-0.2945,26,-0.6452
ENSG00000160075,SSU72,131,-0.2774,132,-0.2694,199,0.38485,195,0.35256,128,-0.3137,197,0.45764,130,-0.2888,95,-0.7648,139,-0.2059
ENSG00000228594,FNDC10,58,1.17819,51,0.97542,15,-0.9013,25,-0.1513,30,0.11853,23,-0.3964,21,-0.4223,22,-0.3532,22,-0.3726
ENSG00000272106,AL691432.2,23,-0.1835,20,-0.3475,48,0.99269,20,-0.3472,36,0.51163,30,0.29627,16,-0.6765,16,-0.7327,20,-0.4403
ENSG00000197530,MIB2,28,0.08249,25,-0.0754,27,0.05762,37,0.52082,34,0.41191,34,0.48053,9,-1.5062,23,-0.1992,16,-0.8285
ENSG00000248333,CDK11B,16,0.28019,19,0.51437,8,-0.7221,10,-0.4181,19,0.54035,14,0.04047,19,0.54018,13,-0.1089,8,-0.7982
ENSG00000189339,SLC35E2B,28,0.85903,24,0.59132,10,-0.6891,19,0.22553,12,-0.4138,15,-0.1896,18,0.10274,12,-0.4348,14,-0.2202
ENSG00000008128,CDK11A,24,1.39801,14,0.47623,9,-0.2268,4,-1.2249,11,0.10486,7,-0.6157,15,0.61309,10,0.00169,7,-0.6692
