Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,22,0.23904,20,0.16920,16,-0.2428,16,-0.3404
ENSG00000188976,NOC2L,58,0.90227,39,0.25066,10,-1.9397,23,-0.7920
ENSG00000188290,HES4,73,-0.0978,60,-0.6521,240,1.92764,61,-0.4450
ENSG00000187608,ISG15,75,-0.3364,90,-0.0281,177,1.08302,75,-0.3558
ENSG00000188157,AGRN,17,0.03164,19,0.41103,17,-0.0171,12,-0.6313
ENSG00000078808,SDF4,66,0.14345,64,0.15032,80,0.42005,45,-0.5582
ENSG00000176022,B3GALT6,39,0.28038,35,0.16159,46,0.52328,21,-0.7962
ENSG00000160087,UBE2J2,47,0.37171,45,0.46582,23,-0.7586,25,-0.7711
ENSG00000131584,ACAP3,55,-0.0811,68,0.50554,56,-0.0457,40,-0.6687
ENSG00000127054,INTS11,38,-0.1776,56,0.95258,31,-0.5010,22,-1.1567
ENSG00000224051,CPTP,27,-0.1131,35,0.58925,33,0.19640,17,-0.9301
ENSG00000107404,DVL1,38,-0.4215,52,0.15526,45,-0.1256,52,0.12270
ENSG00000175756,AURKAIP1,135,-0.5089,214,0.49145,126,-0.5791,172,-0.1172
ENSG00000221978,CCNL2,45,0.21114,42,0.20670,52,0.45068,26,-0.7466
ENSG00000242485,MRPL20,195,-0.0970,207,0.01026,183,-0.1839,220,0.12499
ENSG00000235098,ANKRD65,20,-0.0262,24,0.40854,15,-0.4600,17,-0.3834
ENSG00000179403,VWA1,44,0.99467,11,-1.8916,60,1.38282,32,0.43813
ENSG00000197785,ATAD3A,11,-0.4561,20,1.20459,11,-0.3772,6,-1.4321
ENSG00000205090,TMEM240,46,0.34666,42,0.35193,24,-0.6664,27,-0.5794
ENSG00000160075,SSU72,131,-0.2981,185,0.53874,130,-0.2888,124,-0.4281
ENSG00000228594,FNDC10,55,1.24944,23,-0.5014,21,-0.4223,22,-0.4128
ENSG00000272106,AL691432.2,22,-0.2874,32,0.73732,16,-0.6765,18,-0.5994
ENSG00000197530,MIB2,26,0.00586,33,0.75032,9,-1.5062,18,-0.6561
ENSG00000248333,CDK11B,18,0.44799,13,-0.0692,19,0.54018,10,-0.5939
ENSG00000189339,SLC35E2B,26,0.82801,14,-0.3508,18,0.10274,14,-0.3304
ENSG00000008128,CDK11A,19,1.13741,7,-0.7231,15,0.61309,8,-0.4592
ENSG00000215790,SLC35E2A,26,0.34184,21,-0.0425,17,-0.3212,20,-0.0991
ENSG00000008130,NADK,22,-0.0316,26,0.41246,23,0.04542,16,-0.6066
ENSG00000078369,GNB1,370,-0.1627,454,0.33505,333,-0.3098,362,-0.2218
ENSG00000187730,GABRD,79,-0.9195,205,1.54948,43,-1.7562,73,-1.1220
ENSG00000067606,PRKCZ,240,0.44168,199,0.18607,140,-0.4488,143,-0.4906
ENSG00000162585,FAAP20,61,0.75048,26,-1.0089,57,0.55981,48,0.34960
ENSG00000157933,SKI,28,-0.2081,33,0.09374,35,0.15298,31,-0.0435
ENSG00000157916,RER1,52,-0.2485,68,0.35284,60,-0.0080,51,-0.3077
ENSG00000157911,PEX10,16,-0.5125,24,0.26555,21,-0.0198,21,-0.0087
ENSG00000149527,PLCH2,15,0.30785,15,0.40410,8,-0.6209,9,-0.6404
ENSG00000157881,PANK4,16,-0.0663,19,0.48377,10,-0.7561,13,-0.3660
ENSG00000197921,HES5,23,0.91494,8,-1.2247,3,-2.0413,23,1.02942
ENSG00000157870,PRXL2B,67,-0.0701,83,0.52559,57,-0.3235,51,-0.5815
ENSG00000177133,PRDM16-DT,10,-0.4847,6,-1.8692,11,-0.3141,34,2.12144
ENSG00000158109,TPRG1L,183,0.25926,182,0.44409,107,-0.5969,110,-0.6640
ENSG00000116213,WRAP73,10,-0.1801,14,0.91637,8,-0.3970,5,-1.1356
ENSG00000130764,LRRC47,85,0.31846,81,0.42718,63,-0.1700,43,-0.8934
ENSG00000116198,CEP104,22,1.10735,9,-0.8530,14,0.16252,12,0.00129
ENSG00000198912,C1orf174,16,0.72845,11,0.12762,11,0.10773,6,-1.0365
ENSG00000196581,AJAP1,38,-0.2805,60,0.98768,20,-1.2486,28,-0.8396
ENSG00000069424,KCNAB2,152,-0.4658,249,0.71645,103,-1.0224,167,-0.3351
ENSG00000116254,CHD5,189,0.81825,114,-0.1764,69,-0.8614,107,-0.2227
ENSG00000116251,RPL22,381,-0.4717,425,-0.4555,915,0.96972,608,0.37023
ENSG00000116237,ICMT,26,-0.4193,41,0.63247,28,-0.2535,25,-0.4960
ENSG00000158292,GPR153,11,-0.3601,17,0.71950,12,-0.1568,9,-0.7269
ENSG00000097021,ACOT7,279,-0.1017,392,0.98068,145,-1.0891,163,-1.0551
ENSG00000171680,PLEKHG5,19,-0.4972,35,0.99806,13,-1.0685,17,-0.7233
ENSG00000162408,NOL9,32,0.36070,22,-0.4218,45,0.87472,24,-0.1962
ENSG00000162413,KLHL21,22,-0.1542,25,0.11527,31,0.38053,22,-0.2253
ENSG00000116273,PHF13,17,0.17599,16,0.17909,15,0.00819,12,-0.4066
ENSG00000041988,THAP3,23,0.25993,22,0.34323,16,-0.2546,14,-0.6343
ENSG00000007923,DNAJC11,27,0.15123,27,0.20504,12,-1.1336,24,-0.0543
ENSG00000171735,CAMTA1,245,1.01527,117,-0.5135,137,-0.0528,125,-0.2442
ENSG00000049245,VAMP3,20,-0.2272,14,-1.1593,65,1.75771,28,0.42854
ENSG00000049246,PER3,21,-0.0577,21,-0.0948,31,0.52755,21,-0.0828
ENSG00000116288,PARK7,301,-0.3757,397,0.16196,337,-0.1746,397,0.10481
ENSG00000116285,ERRFI1,28,0.52673,20,-0.0588,29,0.51669,14,-0.6881
ENSG00000162426,SLC45A1,29,0.30414,30,0.72902,10,-1.3492,14,-0.9888
ENSG00000142599,RERE,111,0.28562,95,0.01156,100,0.09008,81,-0.2939
ENSG00000074800,ENO1,568,-0.2651,785,0.53431,519,-0.3827,532,-0.4096
ENSG00000142583,SLC2A5,10,0.03229,6,-0.9021,16,0.85147,13,0.63265
ENSG00000171612,SLC25A33,43,0.42306,25,-0.8005,49,0.58720,41,0.38759
ENSG00000188807,TMEM201,23,1.54121,7,-0.7074,4,-1.4321,9,-0.2437
ENSG00000171603,CLSTN1,617,-0.0358,818,0.88761,380,-0.7796,346,-1.0662
ENSG00000178585,CTNNBIP1,49,1.34298,15,-1.1556,18,-0.4565,28,0.30361
ENSG00000162441,LZIC,28,0.10235,24,-0.2079,26,0.02131,29,0.18463
ENSG00000130939,UBE4B,42,0.44391,35,0.18158,34,0.08245,22,-0.7345
ENSG00000054523,KIF1B,287,0.54463,189,-0.3137,231,0.14162,201,-0.1005
ENSG00000142657,PGD,53,0.63562,31,-0.4685,52,0.54650,33,-0.1892
ENSG00000175279,CENPS,13,0.13663,14,0.31286,5,-1.2420,11,-0.1685
ENSG00000241563,CORT,422,4.36566,12,-3.6815,43,-1.0655,28,-1.9140
ENSG00000160049,DFFA,36,0.35675,25,-0.4648,57,1.05896,26,-0.2686
ENSG00000142655,PEX14,30,0.40138,25,0.13105,26,0.14261,17,-0.6307
ENSG00000120948,TARDBP,55,-0.0882,66,0.37635,66,0.19011,42,-0.5750
ENSG00000116649,SRM,76,-0.3673,115,0.65476,74,-0.3754,71,-0.5189
ENSG00000171824,EXOSC10,22,0.33962,22,0.61878,11,-0.7419,10,-1.0236
ENSG00000198793,MTOR,34,-0.1284,43,0.50275,26,-0.4872,29,-0.4315
ENSG00000116661,FBXO2,200,-0.3153,237,-0.0384,258,0.10969,268,0.21421
ENSG00000132879,FBXO44,120,-0.2448,181,0.90907,112,-0.3314,75,-1.0862
ENSG00000116670,MAD2L2,14,-0.8444,33,1.03234,10,-1.2717,18,-0.4895
ENSG00000177674,AGTRAP,11,0.15428,5,-1.6024,32,1.99812,12,0.38861
ENSG00000177000,MTHFR,26,1.36598,9,-0.6725,9,-0.4745,10,-0.3013
ENSG00000011021,CLCN6,73,0.93382,46,0.14400,27,-0.7428,25,-0.9506
ENSG00000116685,KIAA2013,35,0.35326,30,0.19667,33,0.23984,19,-0.7488
ENSG00000083444,PLOD1,18,0.38759,13,-0.2243,27,0.97588,10,-0.6051
ENSG00000116688,MFN2,94,0.31978,89,0.39277,53,-0.6108,55,-0.6380
ENSG00000116691,MIIP,13,-0.1372,17,0.45931,14,0.00866,10,-0.5695
ENSG00000028137,TNFRSF1B,11,-1.4580,8,-2.5388,185,3.77579,25,-0.1523
ENSG00000048707,VPS13D,62,0.68104,41,-0.0804,37,-0.2271,34,-0.4234
ENSG00000162496,DHRS3,25,0.74613,9,-1.3622,32,1.07324,20,0.41840
ENSG00000116731,PRDM2,75,-0.0339,89,0.46562,60,-0.3830,58,-0.4937
ENSG00000189337,KAZN,81,1.79794,21,-1.0587,43,0.43807,20,-0.8528
ENSG00000142634,EFHD2,249,2.41321,30,-2.1108,109,0.49366,58,-0.5762
ENSG00000116138,DNAJC16,29,0.63814,24,0.59186,10,-1.0239,9,-1.3076
ENSG00000197312,DDI2,28,0.49245,23,0.30961,16,-0.3608,13,-0.7981
ENSG00000116786,PLEKHM2,49,0.00300,47,-0.1070,45,-0.1519,54,0.19334
ENSG00000065526,SPEN,42,0.64171,22,-0.7405,51,0.89942,28,-0.0562
ENSG00000116809,ZBTB17,11,-0.2031,13,0.22633,13,0.12062,11,-0.2167
ENSG00000185519,FAM131C,33,1.62969,7,-1.4365,10,-0.5535,17,0.29034
ENSG00000037637,FBXO42,24,0.43162,22,0.54301,10,-0.9357,11,-0.9267
ENSG00000055070,SZRD1,20,0.04235,16,-0.6023,25,0.33023,26,0.56025
ENSG00000157191,NECAP2,22,0.99658,8,-1.1092,19,0.67938,14,0.15705
ENSG00000058453,CROCC,16,0.99263,10,0.26813,1,-3.1529,6,-0.8194
ENSG00000159363,ATP13A2,150,0.68846,109,0.18884,54,-0.9852,73,-0.6059
ENSG00000117118,SDHB,82,-0.1388,102,0.43056,76,-0.2372,71,-0.4095
ENSG00000117115,PADI2,31,-0.3147,19,-1.5344,99,1.61011,58,0.92510
ENSG00000179051,RCC2,16,0.54495,10,-0.3095,6,-0.8862,13,0.22722
ENSG00000074964,ARHGEF10L,9,0.18701,6,-0.6301,6,-0.4459,12,0.75157
ENSG00000117154,IGSF21,82,0.72227,59,0.19643,35,-0.6735,36,-0.7649
ENSG00000159423,ALDH4A1,16,-0.6168,20,-0.3175,14,-0.7411,36,0.92663
ENSG00000169991,IFFO2,13,0.60551,7,-0.5933,22,1.37632,6,-0.6306
ENSG00000127463,EMC1,36,0.58622,27,0.15410,23,-0.1650,17,-0.7294
ENSG00000053372,MRTO4,47,0.14674,50,0.45454,37,-0.2429,29,-0.7101
ENSG00000053371,AKR7A2,47,-0.0768,47,-0.1123,48,-0.0148,54,0.20449
ENSG00000077549,CAPZB,191,-0.2911,259,0.41308,218,-0.0620,189,-0.3412
ENSG00000173436,MICOS10,247,-0.4086,299,-0.1437,272,-0.2278,405,0.51010
ENSG00000158747,NBL1,230,0.52315,162,-0.1505,162,-0.0890,154,-0.2068
ENSG00000169914,OTUD3,21,0.12891,23,0.47741,7,-1.5360,16,-0.3424
ENSG00000162545,CAMK2N1,756,-1.2995,2276,1.07473,740,-1.2512,1409,-0.3265
ENSG00000090432,MUL1,29,0.54680,22,0.04358,20,-0.0958,16,-0.5263
ENSG00000183114,FAM43B,33,2.85137,3,-1.9966,7,-0.2715,5,-1.0476
ENSG00000158828,PINK1,346,0.17350,322,0.08243,295,-0.0919,279,-0.2152
ENSG00000244038,DDOST,20,-0.2158,28,0.65200,19,-0.2420,15,-0.6964
