"","nmf","tech_var","demo_var","BrNum","cellType"
"1","nmf1","detected","SexM/Age*","Br5460/Br5517*","OPC.3*"
"2","nmf2","subsets_Mito_percent*","APOE_carrierE4+*","Br6161*","OPC.1/OPC.3"
"3","nmf3","detected*","SexM*","Br6538/Br5941/Br5415*","Micro.1"
"4","nmf4","sum*","SexM/Age*","Br1556*","Astro.1"
"5","nmf5","exp_round7/exp_round6*","Anc_Afr*","Br5854/Br5941*","Excit.L2_5.1*"
"6","nmf6","detected*","APOE_carrierE4+*","Br5634*","Oligo.2*"
"7","nmf7","sum/detected","APOE_carrierE4+*","Br5460*","Excit.L2/Excit.L2_5.1"
"8","nmf8","exp_round3/sum*","SexM*","Br1691*","Astro.1"
"9","nmf9","detected*","APOE_carrierE4+*","Br6423*","Oligo.1*"
"10","nmf10","detected/sum*","APOE_carrierE4+*","Br5712/Br5415*","Oligo.2"
"11","nmf11","detected*","APOE_carrierE4+*","Br6423*","Oligo.2"
"12","nmf12","exp_round3*","SexM","Br5460*","OPC.3*"
"13","nmf13","exp_round4/exp_round7*","APOE_carrierE4+","Br6423","Astro.1*"
"14","nmf14","exp_round2/detected*","Age*","Br5276*","Oligo.2*"
"15","nmf15","detected*","APOE_carrierE4+*","Br5634/Br3974/Br6423/Br5276*","Oligo.1*"
"16","nmf16","detected*","APOE_carrierE4+*","Br5212/Br6423*","Oligo.2/Oligo.1*"
"17","nmf17","detected","APOE_carrierE4+*","Br1691*","Excit.L2_5.1*"
"18","nmf18","detected*","APOE_carrierE4+*","Br5212*","Oligo.1/Oligo.2*"
"19","nmf19","detected/sum*","Age*","Br2582*","Astro.2"
"20","nmf20","detected*","Age","Br1556*","Astro.1/Excit.L2*"
"21","nmf21","detected*","APOE_carrierE4+*","Br5832*","Oligo.1*"
"22","nmf22","sum*","Age*","Br2305/Br5854*","Excit.L6b"
"23","nmf23","sum*","APOE_carrierE4+*","Br5832*","Astro.4"
"24","nmf24","sum/detected","APOE_carrierE4+*","Br5460/Br1691*","Excit.L5.1*"
"25","nmf25","sum/detected*","APOE_carrierE4+*","Br6321*","Excit.L2_5.2"
"26","nmf26","detected*","APOE_carrierE4+*","Br6423*","OPC.1*"
"27","nmf27","detected*","APOE_carrierE4+*","Br6538*","Excit.L2_5.1*"
"28","nmf28","detected*","APOE_carrierE4+*","Br1691/Br5460/Br6085/Br2582*","Inhib.Vip"
"29","nmf29","exp_round3","SexM","Br2305*","Astro.1*"
"30","nmf30","detected*","APOE_carrierE4+*","Br1691*","Inhib.Lamp5_Lhx6"
"31","nmf31","sum/detected*","APOE_carrierE4+*","Br6476*","Excit.L2_5.1*"
"32","nmf32","detected*","APOE_carrierE4+*","Br1691*","Excit.L5.1"
"33","nmf33","detected*","APOE_carrierE4+*","Br6476/Br6085*","Inhib.Pvalb"
"34","nmf34","detected*","APOE_carrierE4+*","Br6476*","Inhib.Sst"
"35","nmf35","detected*","Anc_Afr*","Br5276/Br1706*","Oligo.1*"
"36","nmf36","exp_round5*","APOE_carrierE4+*","Br5599","Astro.1*"
"37","nmf37","detected*","APOE_carrierE4+*","Br5460*","Inhib.Vip"
"38","nmf38","exp_round8","Anc_Afr","Br5367","OPC.3*"
"39","nmf39","exp_round4*","Anc_Afr*","Br6538*","Vasc.Endo/Inhib.Vip/OPC.2*"
"40","nmf40","detected*","APOE_carrierE4+*","Br5460*","Inhib.Vip"
"41","nmf41","exp_round2*","Anc_Afr/SexM*","Br2582*","Micro.1*"
"42","nmf42","detected*","APOE_carrierE4+","Br6476/Br1691*","Oligo.3/OPC.2*"
"43","nmf43","detected*","APOE_carrierE4+/SexM/Age*","Br5460*","Macro"
"44","nmf44","detected*","APOE_carrierE4+*","Br1691/Br5161*","Inhib.Chandelier"
"45","nmf45","subsets_Mito_percent","SexM","Br1691","Excit.L2_5.1*"
"46","nmf46","detected/sum*","APOE_carrierE4+*","Br5460*","Vasc.VLMC"
"47","nmf47","detected/sum*","Age*","Br2582*","Vasc.Endo"
"48","nmf48","detected*","SexM*","Br5415*","Inhib.Vip*"
"49","nmf49","detected*","SexM*","Br5599*","Oligo.5*"
"50","nmf50","detected*","APOE_carrierE4+*","Br5460*","Inhib.Vip*"
