"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Astro.01","ENSG00000286798",17.9268697874231,3.87063092207696e-59,8.04549343462917e-55,8755,2.39803685610858,"ENSG00000286798"
"2",2,"enrichment","Astro.01","TMPRSS3",17.0285221069207,2.02649813875255e-54,2.10613951560552e-50,19519,2.56735863989216,"ENSG00000160183"
"3",3,"enrichment","Astro.01","LINC00498",16.7947125609345,3.30759437069249e-53,2.29172188630714e-49,5325,3.19599795386033,"ENSG00000248397"
"4",4,"enrichment","Astro.01","SLC1A2-AS1",16.4156463700208,2.95850229641595e-51,1.53738571833255e-47,11408,2.31852913393699,"ENSG00000255004"
"5",5,"enrichment","Astro.01","ENSG00000237019",15.9015675618748,1.22199599519366e-48,5.0800817512191e-45,20173,2.72370237930345,"ENSG00000237019"
"6",6,"enrichment","Astro.01","ENSG00000271776",15.7692391289806,5.68129050389902e-48,1.96818840690075e-44,13616,2.5664083292846,"ENSG00000271776"
"7",7,"enrichment","Astro.01","LINC00943",15.6061649760435,3.74430731971883e-47,1.11184531353822e-43,13302,2.75964108789529,"ENSG00000189238"
"8",8,"enrichment","Astro.01","ENSG00000258107",15.4192521920387,3.21460858547255e-46,8.35235675720404e-43,13883,3.47545003212612,"ENSG00000258107"
"9",9,"enrichment","Astro.01","LINC02944",15.3033043540207,1.21252226497182e-45,2.80038753330046e-42,11012,3.84614681500216,"ENSG00000238276"
"10",10,"enrichment","Astro.01","ENSG00000254194",15.2272587988214,2.88869148426213e-45,5.56534858556401e-42,8897,1.98923874129216,"ENSG00000254194"
"11",1,"enrichment","Astro.02","PLIN4",13.5462912111697,3.51151878973283e-37,7.29904295633865e-33,17685,3.04109888824338,"ENSG00000167676"
"12",2,"enrichment","Astro.02","PYGM",12.8536776630018,5.28827680799557e-34,5.49610608654979e-30,11642,3.82348586188282,"ENSG00000068976"
"13",3,"enrichment","Astro.02","ENSG00000271776",12.4688000073381,2.79362256662029e-32,1.82531225695692e-28,13616,2.10561674414382,"ENSG00000271776"
"14",4,"enrichment","Astro.02","GRIN2C",12.4463609206119,3.51258011537943e-32,1.82531225695692e-28,17017,5.25785226081011,"ENSG00000161509"
"15",5,"enrichment","Astro.02","CA12",12.4150736891947,4.83190807512774e-32,2.00872082499211e-28,14780,3.97923999238927,"ENSG00000074410"
"16",6,"enrichment","Astro.02","IGFN1",12.3825703655353,6.72614071410935e-32,2.33015934805795e-28,1634,3.66773125156047,"ENSG00000163395"
