"cell_type_class","cell_type_broad","cell_type_anno","n","prop","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score","passALL_metricQC"
"glia","Oligo","Oligo.03",8587,0.0683226848499797,2161,1327,0.199203187250996,0.000751511135604233,TRUE
"glia","Oligo","Oligo.04",6911,0.054987548037523,3616,1817,0.1311303435615,0.000991483684629202,TRUE
"glia","Oligo","Oligo.05",4254,0.0338470596659851,3743.5,1872.5,0.115953984716549,0.000974191672867164,TRUE
"glia","Oligo","Oligo.10_QC",812,0.00646069874207331,1111,818,0.367538628140964,0.000702247663866729,FALSE
"glia","Oligo","Oligo.11_QC",118,0.000938870014242181,8577,3550,0.0825238303655395,0.998968243598938,FALSE
"glia","Oligo","Oligo.ambig",962,0.0076541775737371,4294.5,2239.5,0.199807264013818,0.00166642339900136,TRUE
"glia","Vasc","Vasc.Endo",586,0.0046625239690332,6700.5,2700,0.140307935945474,0.00132696097716689,TRUE
"glia","Vasc","Vasc.PC",147,0.00116960925503051,6357,2755,0.282035561005518,0.00142231769859791,TRUE
"glia","Vasc","Vasc.VLMC",915,0.00728022087314911,6712,2842,0.0571973307912297,0.0011227052891627,TRUE
"neuron","Excit","Excit.L2",2209,0.0175759649276354,72874,9498,0.100393766662577,0.00159267953131348,TRUE
"neuron","Excit","Excit.L2_5.1",8671,0.0689910329957114,27638,6506,0.120288692862871,0.0015696962364018,TRUE
"neuron","Excit","Excit.L2_5.2",609,0.00484552405655498,61717,9080,0.0327139492279508,0.00129733025096357,TRUE
"neuron","Excit","Excit.L5.1",2235,0.0177828345917905,57008,8821,0.111635459481403,0.00236709206365049,TRUE
"neuron","Excit","Excit.L5.2",241,0.00191752265620649,63691,9154,0.0369902018976834,0.00510669872164726,TRUE
"neuron","Excit","Excit.L5_6_NP",152,0.00120939188275264,49046.5,8421.5,0.104109969518625,0.047508716583252,TRUE
"neuron","Excit","Excit.L6_CT",625,0.00497282846526579,70322,9087,0.0909077249027062,0.00204705214127898,TRUE
"neuron","Excit","Excit.L6b",897,0.00713700341334946,68541,9095,0.133516591399961,0.00208178465254605,TRUE
"neuron","Excit","Inhib.Pax6",125,0.000994565693053158,65886,9176,0.119176828619464,0.0360816270112991,TRUE
"neuron","Inhib","Inhib.Chandelier",303,0.00241082723996085,34203,7041,0.17790987295142,0.0146487327292562,TRUE
"neuron","Inhib","Inhib.Lamp5_Lhx6",1234,0.00981835252182077,34249.5,7298.5,0.0947018847016545,0.00451101106591523,TRUE
"neuron","Inhib","Inhib.Pvalb",1363,0.0108447443170516,41165,7923,0.116135221793027,0.00378827983513474,TRUE
"neuron","Inhib","Inhib.Sst",815,0.00648456831870659,33886,7145,0.0947811148628636,0.00371794821694493,TRUE
"neuron","Inhib","Inhib.Vip",7535,0.0599524199772443,19072,5608,0.101365452268797,0.00274951988831162,TRUE
