"","xSpD","cluster","mod","n_genes","n_FDR05","n_pval10","nUP","nDown"
"1","xVasc_mural","Astro.4","carrier",111,1,7,5,2
"2","xVasc_mural","Astro.5","carrier",104,0,2,1,1
"3","xVasc_mural","Macro","carrier",93,0,6,2,4
"4","xVasc_mural","Oligo.3","carrier",65,0,2,2,0
"5","xVasc_mural","Vasc.Endo","carrier",302,0,12,4,8
"6","xVasc_mural","Vasc.PC","carrier",316,0,13,5,8
"7","xVasc_mural","Vasc.VLMC","carrier",222,0,12,5,7
"8","xVasc_im","Astro.4","carrier",119,0,4,3,1
"9","xVasc_im","Astro.5","carrier",124,0,4,0,4
"10","xVasc_im","Macro","carrier",132,0,12,7,5
"11","xVasc_im","Micro.2","carrier",114,0,8,7,1
"12","xVasc_im","Micro.5","carrier",70,0,12,6,6
"13","xVasc_im","Oligo.3","carrier",91,0,2,1,1
"14","xVasc_im","Oligo.4","carrier",99,0,4,1,3
"15","xVasc_im","Vasc.Endo","carrier",239,0,12,5,7
"16","xVasc_im","Vasc.PC","carrier",247,0,8,5,3
"17","xVasc_im","Vasc.VLMC","carrier",227,0,3,2,1
"18","xVasc_adj","Astro.1","carrier",175,0,14,6,8
"19","xVasc_adj","Astro.2","carrier",167,0,17,8,9
"20","xVasc_adj","Astro.4","carrier",100,2,6,5,1
"21","xVasc_adj","Astro.5","carrier",203,0,14,8,6
"22","xVasc_adj","Micro.2","carrier",144,0,8,2,6
"23","xVasc_adj","Micro.5","carrier",158,0,13,7,6
"24","xVasc_adj","OPC.2","carrier",138,0,7,4,3
"25","xVasc_adj","OPC.5","carrier",146,0,4,1,3
"26","xVasc_adj","Oligo.1","carrier",106,2,14,4,10
"27","xVasc_adj","Oligo.2","carrier",81,0,1,1,0
"28","xVasc_adj","Oligo.3","carrier",239,0,15,7,8
"29","xVasc_adj","Oligo.4","carrier",181,0,13,3,10
"30","xVasc_adj","Vasc.Endo","carrier",308,0,16,5,11
"31","xVasc_adj","Vasc.PC","carrier",244,0,19,6,13
"32","xVasc_adj","Vasc.VLMC","carrier",116,0,9,1,8
"33","xVasc_adj","Excit.L2","carrier",204,2,19,6,13
"34","xVasc_adj","Excit.L2_5.mix","carrier",156,0,9,3,6
"35","xVasc_adj","Excit.L5.RELN","carrier",179,0,11,5,6
"36","xVasc_adj","Inhib.VIP","carrier",158,0,18,10,8
"37","xGL","Astro.1","carrier",169,0,14,10,4
"38","xGL","Astro.2","carrier",237,0,15,5,10
"39","xGL","Astro.4","carrier",249,0,8,4,4
"40","xGL","Astro.5","carrier",306,0,10,4,6
"41","xGL","Micro.2","carrier",179,0,16,10,6
"42","xGL","Micro.3","carrier",114,0,3,1,2
"43","xGL","Micro.5","carrier",188,0,10,4,6
"44","xGL","OPC.2","carrier",191,0,12,7,5
"45","xGL","OPC.4","carrier",133,0,6,3,3
"46","xGL","OPC.5","carrier",152,0,5,2,3
"47","xGL","Oligo.1","carrier",146,0,4,1,3
"48","xGL","Oligo.2","carrier",145,0,7,3,4
"49","xGL","Oligo.3","carrier",237,0,6,2,4
"50","xGL","Oligo.4","carrier",243,0,5,3,2
"51","xGL","Vasc.Endo","carrier",202,0,6,4,2
"52","xGL","Vasc.PC","carrier",129,0,5,4,1
"53","xGL","Inhib.LAMP5_LHX6","carrier",154,0,3,0,3
"54","xGL","Inhib.VIP","carrier",170,0,11,4,7
"55","xL1_inhib","Astro.1","carrier",243,1,13,6,7
"56","xL1_inhib","Astro.2","carrier",238,0,21,8,13
"57","xL1_inhib","Astro.5","carrier",235,0,11,7,4
"58","xL1_inhib","Micro.2","carrier",142,0,4,3,1
"59","xL1_inhib","Micro.5","carrier",175,0,13,7,6
"60","xL1_inhib","OPC.2","carrier",210,0,8,2,6
"61","xL1_inhib","OPC.4","carrier",121,0,5,4,1
"62","xL1_inhib","OPC.5","carrier",189,0,12,5,7
"63","xL1_inhib","Oligo.3","carrier",184,0,6,4,2
"64","xL1_inhib","Oligo.4","carrier",145,0,4,1,3
"65","xL1_inhib","Vasc.Endo","carrier",207,0,7,4,3
"66","xL1_inhib","Vasc.PC","carrier",117,0,6,3,3
"67","xL1_inhib","Excit.L2","carrier",194,0,3,3,0
"68","xL1_inhib","Excit.L2_5.RELN","carrier",201,0,10,6,4
