cluster_sn,cluster_xenium,n_genes,cor,p_value,n_genes_fdr05,cor_fdr05,p_value_fdr05,FDR,FDR_fdr05
Astro.1,Astro.1_xGL,166,0.3359917623679258,1.0857409877771258e-5,NA,NA,NA,2.769938237756926e-4,NA
Astro.1,Astro.1_xL1_inhib,222,0.22175565172135997,9.013633197078044e-4,NA,NA,NA,0.008833360533136483,NA
Astro.1,Astro.1_xL2,231,0.21330341322845073,0.0011322053239259061,NA,NA,NA,0.009935173021828283,NA
Astro.1,Astro.1_xL5,206,0.17012907233335733,0.014581094565608174,NA,NA,NA,0.06804510797283815,NA
Astro.1,Astro.1_xL6,154,0.21102705011623418,0.008716730457367226,NA,NA,NA,0.048813690561256465,NA
Astro.1,Astro.1_xLD_glia,255,0.22871555118110234,2.3868270410943096e-4,NA,NA,NA,0.0029238631253405293,NA
Astro.1,Astro.1_xVasc_adj,172,0.1345516634710853,0.07846369070043133,NA,NA,NA,0.207822748341683,NA
Astro.1,Astro.1_xWMd,107,0.08982346832814124,0.35696440968939486,NA,NA,NA,0.5597201943929712,NA
Astro.1,Astro.1_xWMuf,182,0.3315583972227392,5.480197359330418e-6,NA,NA,NA,2.058513059138938e-4,NA
Astro.2,Astro.2_xGL,171,0.3610915112679099,1.452325963625451e-6,12,0.48251748251748255,0.11537360509486391,1.423279444352942e-4,0.23074721018972782
Astro.2,Astro.2_xL1_inhib,172,0.16634475016685416,0.02929512301276989,10,-0.0909090909090909,0.8114169530567962,0.11042007904813265,0.8591473620601371
Astro.2,Astro.2_xL2,161,0.21042960662525878,0.0074724721343918075,10,0.2121212121212121,0.5599080792712411,0.0443819557072968,0.6298965891801462
Astro.2,Astro.2_xL5,157,0.14656813798150573,0.06703835437552086,10,0.3090909090909091,0.3870549681544472,0.19042778924061,0.4976421019128607
Astro.2,Astro.2_xL6,165,0.25132636978067485,0.001165862140316584,10,0.33333333333333326,0.3488462438721534,0.009935173021828283,0.48301787613067393
Astro.2,Astro.2_xLD_glia,183,0.20033014028024718,0.006626517098825379,12,0.30069930069930073,0.34248337544019264,0.04058741723030544,0.48301787613067393
Astro.2,Astro.2_xVasc_adj,138,0.14888730082262336,0.08137681956856781,NA,NA,NA,0.20982131094302525,NA
Astro.2,Astro.2_xWMd,120,0.2585387874157927,0.004460819528232943,NA,NA,NA,0.031225736697630603,NA
Astro.2,Astro.2_xWMuf,173,0.3056375764261975,4.705527919860642e-5,11,0.8090909090909091,0.004428016876155232,0.00076856956024390485,0.013284050628465695
Astro.3,Astro.3_xL6,115,-0.01769904521423499,0.8508786245299478,NA,NA,NA,0.8870862255737754,NA
Astro.3,Astro.3_xWMuf,112,0.08448081456931016,0.3752749010520717,NA,NA,NA,0.5657990815862004,NA
Astro.4,Astro.4_xGL,155,0.06714253488447036,0.40607572117284274,NA,NA,NA,0.6075636744265434,NA
Astro.4,Astro.4_xVasc_adj,88,-0.09686168151879115,0.36862704842208477,NA,NA,NA,0.5638992049532378,NA
Astro.4,Astro.4_xVasc_im,100,-0.06595859585958597,0.5137736881195328,NA,NA,NA,0.7062204560860156,NA
Astro.4,Astro.4_xVasc_mural,98,-0.10905393085069078,0.28458284172868303,NA,NA,NA,0.4980199730251953,NA
Astro.4,Astro.4_xWMd,147,0.23136933410906016,0.004896515220198177,NA,NA,NA,0.03199056610529476,NA
Astro.4,Astro.4_xWMuf,115,-0.08744575080880614,0.3522185301913394,NA,NA,NA,0.5589186818647103,NA
Astro.5,Astro.5_xGL,83,0.25882624574954866,0.018381042747125504,NA,NA,NA,0.0818791904190136,NA
Astro.5,Astro.5_xL1_inhib,75,0.06904694167852062,0.5553320280517763,NA,NA,NA,0.7208283278023057,NA
Astro.5,Astro.5_xL2,68,-0.11654006183914188,0.3430979146161291,NA,NA,NA,0.5577473286546343,NA
Astro.5,Astro.5_xL5,78,0.06925985406998063,0.5460553875943579,NA,NA,NA,0.7144723065297025,NA
Astro.5,Astro.5_xL6,77,0.040512119459487884,0.7259499285923875,NA,NA,NA,0.8216317863651676,NA
Astro.5,Astro.5_xLD_glia,81,0.06937669376693767,0.5375286212468028,NA,NA,NA,0.7144723065297025,NA
Astro.5,Astro.5_xVasc_adj,72,0.24467811434818962,0.03856759472098593,NA,NA,NA,0.12812285703920748,NA
Astro.5,Astro.5_xVasc_im,54,0.19740804269106155,0.15215467035747982,NA,NA,NA,0.32654842004461976,NA
Astro.5,Astro.5_xVasc_mural,45,0.28959156785243734,0.05402654182428287,NA,NA,NA,0.1680825745644356,NA
Astro.5,Astro.5_xWMd,71,0.3140845070422535,0.007873680002455346,NA,NA,NA,0.045389449425919055,NA
Astro.5,Astro.5_xWMuf,81,0.11759259259259261,0.2951420021377578,NA,NA,NA,0.5030246297304394,NA
Macro,Macro_xVasc_im,61,0.28413537810682177,0.026807915035174944,NA,NA,NA,0.1030848436499026,NA
Macro,Macro_xVasc_mural,56,0.14709501025290497,0.2784885450634454,NA,NA,NA,0.49302951741755435,NA
Micro.2,Micro.2_xGL,131,0.1079325254897774,0.2194845398077576,NA,NA,NA,0.42175460590510283,NA
Micro.2,Micro.2_xL1_inhib,115,0.1662510849838239,0.07581541425113125,NA,NA,NA,0.20638640546141285,NA
Micro.2,Micro.2_xL2,123,0.16697192090905574,0.06497731695825552,NA,NA,NA,0.18728756064438357,NA
Micro.2,Micro.2_xL5,140,-0.06705735715379066,0.4307001547245356,NA,NA,NA,0.6207149288677131,NA
Micro.2,Micro.2_xL6,120,-0.006354607958886033,0.9450285704773563,NA,NA,NA,0.9672281599307789,NA
Micro.2,Micro.2_xLD_glia,174,0.15485520658333096,0.041409811780220705,NA,NA,NA,0.1309084372406977,NA
Micro.2,Micro.2_xVasc_adj,117,0.10772677546494028,0.24725274015807294,NA,NA,NA,0.45079392749120195,NA
Micro.2,Micro.2_xVasc_im,95,0.03170492721164613,0.7599740611553006,NA,NA,NA,0.8375857008121399,NA
Micro.2,Micro.2_xWMd,127,0.19164206036745404,0.031039709642145964,NA,NA,NA,0.11478836018604922,NA
Micro.2,Micro.2_xWMuf,157,0.06162901035109372,0.4428059706675634,NA,NA,NA,0.6289128279046553,NA
Micro.3,Micro.3_xGL,92,0.16441903117919945,0.11720884286846746,NA,NA,NA,0.27026980237905435,NA
Micro.3,Micro.3_xWMd,113,0.3104165280457782,8.643387231274127e-4,NA,NA,NA,0.008833360533136483,NA
Micro.5,Micro.5_xGL,56,0.12631578947368421,0.35258343585806445,NA,NA,NA,0.5589186818647103,NA
Micro.5,Micro.5_xL1_inhib,55,0.2870851370851371,0.033938558921413585,NA,NA,NA,0.12318439904809375,NA
Micro.5,Micro.5_xL2,54,0.14602630074328185,0.2911556605465163,NA,NA,NA,0.500583416378221,NA
Micro.5,Micro.5_xL5,61,0.053463775780010575,0.6816564490084741,NA,NA,NA,0.7916982692184463,NA
Micro.5,Micro.5_xL6,58,0.0862222769079332,0.5188558452876849,NA,NA,NA,0.7062204560860156,NA
Micro.5,Micro.5_xLD_glia,68,0.08989578959422834,0.4650769891952337,NA,NA,NA,0.6557920135414805,NA
Micro.5,Micro.5_xVasc_adj,52,0.24699052335012378,0.07766929132598739,NA,NA,NA,0.207822748341683,NA
Micro.5,Micro.5_xVasc_im,36,0.13616473616473618,0.426967976755561,NA,NA,NA,0.6207149288677131,NA
Micro.5,Micro.5_xWMd,49,0.2751020408163265,0.056044013351423526,NA,NA,NA,0.17163479088873454,NA
Micro.5,Micro.5_xWMuf,65,0.1917395104895105,0.12583211734967478,NA,NA,NA,0.280262443187912,NA
OPC.2,OPC.2_xGL,163,0.06220038683004417,0.4298464584271388,NA,NA,NA,0.6207149288677131,NA
OPC.2,OPC.2_xL1_inhib,166,0.039185156521568044,0.6158565654056083,NA,NA,NA,0.7688400434363007,NA
OPC.2,OPC.2_xL2,174,0.08555938380933398,0.26135637242420384,NA,NA,NA,0.4699619173866418,NA
OPC.2,OPC.2_xL5,175,0.022315270935960592,0.7692113578887,NA,NA,NA,0.8375857008121399,NA
OPC.2,OPC.2_xL6,162,0.16401269615460068,0.03712347673128704,NA,NA,NA,0.12730744036697583,NA
OPC.2,OPC.2_xLD_glia,182,-0.0018820958047477384,0.9798731923986659,NA,NA,NA,0.9848981831289154,NA
OPC.2,OPC.2_xVasc_adj,126,0.21890363704536933,0.013937549362288712,NA,NA,NA,0.06662828475630701,NA
OPC.2,OPC.2_xWMd,153,0.1231253266856982,0.1293572335564412,NA,NA,NA,0.284876604236657,NA
OPC.2,OPC.2_xWMuf,169,0.08922231614539305,0.2483966539237235,NA,NA,NA,0.45079392749120195,NA
OPC.4,OPC.4_xGL,124,0.080918961447679,0.37113774203554933,NA,NA,NA,0.5638992049532378,NA
OPC.4,OPC.4_xL1_inhib,115,0.11078671190720431,0.23813640304954709,NA,NA,NA,0.4455170295396975,NA
OPC.4,OPC.4_xL5,87,0.10051396077859588,0.35360161505726573,NA,NA,NA,0.5589186818647103,NA
OPC.4,OPC.4_xL6,92,-0.03865419293189279,0.714025613317147,NA,NA,NA,0.813657094245121,NA
OPC.4,OPC.4_xLD_glia,131,0.10274915923770886,0.24253007583919414,NA,NA,NA,0.4484518383441703,NA
OPC.4,OPC.4_xWMd,98,0.14000089257821213,0.16888737553451366,NA,NA,NA,0.34481172504963203,NA
OPC.4,OPC.4_xWMuf,109,-0.006375683439903623,0.94748880972811,NA,NA,NA,0.9672281599307789,NA
OPC.5,OPC.5_xGL,57,-0.026769509981851184,0.8429917034525031,NA,NA,NA,0.8835634966667947,NA
OPC.5,OPC.5_xL1_inhib,64,-0.0782967032967033,0.5376590936040464,NA,NA,NA,0.7144723065297025,NA
OPC.5,OPC.5_xL2,65,0.051354895104895104,0.6838598006665528,NA,NA,NA,0.7916982692184463,NA
OPC.5,OPC.5_xL5,66,-0.056173677069199464,0.653426466090879,NA,NA,NA,0.7916982692184463,NA
OPC.5,OPC.5_xL6,66,0.026239432209581467,0.8340180901704316,NA,NA,NA,0.8788577724376591,NA
OPC.5,OPC.5_xLD_glia,68,-0.027942130778333393,0.820699407269683,NA,NA,NA,0.8694977504046372,NA
OPC.5,OPC.5_xVasc_adj,57,-0.07784547575836144,0.5639290176760746,NA,NA,NA,0.7224188723170628,NA
OPC.5,OPC.5_xWMd,60,0.08502361767157546,0.5173579901484623,NA,NA,NA,0.7062204560860156,NA
