Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to11,Feature log2 fold change topic 4to11
ENSG00000228794,LINC01128,20,-0.2332,18,-0.4092,14,-0.7779,26,0.55330
ENSG00000188976,NOC2L,15,-1.7574,70,0.53832,22,-1.2567,55,0.62398
ENSG00000188290,HES4,177,1.27437,63,-0.4261,63,-0.4305,76,-0.4136
ENSG00000187608,ISG15,153,0.96537,73,-0.2416,67,-0.3634,80,-0.2840
ENSG00000188157,AGRN,37,-0.1570,18,-1.2745,25,-0.7845,47,0.80343
ENSG00000131591,C1orf159,6,-1.3084,18,0.29304,24,0.81587,14,-0.1764
ENSG00000078808,SDF4,108,0.50875,22,-1.9177,60,-0.4304,85,0.41578
ENSG00000176022,B3GALT6,15,-1.2781,1,-4.7263,38,0.14841,41,1.16659
ENSG00000160087,UBE2J2,28,-0.7379,30,-0.6546,38,-0.2709,51,0.65049
ENSG00000162572,SCNN1D,22,0.65228,14,-0.0571,6,-1.2453,15,0.06428
ENSG00000131584,ACAP3,62,-0.8990,168,0.65875,91,-0.3283,114,0.08640
ENSG00000169972,PUSL1,16,0.22536,1,-3.2508,10,-0.4643,15,0.74684
ENSG00000127054,INTS11,67,0.13376,61,-0.0080,57,-0.1141,61,-0.0084
ENSG00000224051,CPTP,28,-0.4573,31,-0.2786,27,-0.4919,40,0.49265
ENSG00000107404,DVL1,73,0.01256,26,-1.5421,119,0.81476,72,-0.0122
ENSG00000175756,AURKAIP1,236,0.41349,133,-0.4922,225,0.33894,176,-0.1663
ENSG00000221978,CCNL2,69,0.32265,59,0.07425,28,-1.0803,58,0.15786
ENSG00000242485,MRPL20,196,0.01519,230,0.27105,174,-0.1778,192,-0.0573
ENSG00000235098,ANKRD65,29,0.45290,11,-1.0046,26,0.30116,21,-0.0350
ENSG00000179403,VWA1,101,1.87360,5,-2.7218,29,-0.2242,30,-0.5972
ENSG00000160072,ATAD3B,9,-0.7890,19,0.41311,14,-0.1146,15,0.11834
ENSG00000197785,ATAD3A,20,0.08027,13,-0.5657,12,-0.7367,21,0.44897
ENSG00000205090,TMEM240,16,-1.7157,92,1.04007,32,-0.6729,50,0.10052
ENSG00000160075,SSU72,121,-0.3267,62,-1.3515,155,0.05464,163,0.53460
ENSG00000228594,FNDC10,23,-1.1697,116,1.45391,30,-0.7201,46,-0.2931
ENSG00000272106,AL691432.2,15,-0.5481,4,-2.5489,18,-0.2156,25,0.97619
ENSG00000197530,MIB2,72,0.48129,139,1.62972,45,-0.2778,41,-1.0379
ENSG00000215790,SLC35E2A,32,-0.6155,34,-0.5671,48,-0.0306,52,0.46475
ENSG00000008130,NADK,26,-0.3339,6,-2.4467,43,0.45644,35,0.47756
ENSG00000078369,GNB1,250,-0.9858,507,0.10600,421,-0.1848,504,0.36019
ENSG00000187730,GABRD,23,-2.7478,61,-1.3244,107,-0.4828,177,1.46159
ENSG00000067606,PRKCZ,55,-2.1435,185,-0.3385,160,-0.5618,265,0.98954
ENSG00000162585,FAAP20,111,1.01025,41,-0.5826,72,0.28085,55,-0.4489
ENSG00000157933,SKI,41,0.10081,30,-0.3968,32,-0.2651,40,0.21444
ENSG00000157916,RER1,68,-0.1927,104,0.47410,69,-0.1844,76,-0.0759
ENSG00000157911,PEX10,43,0.04827,61,0.62089,54,0.41652,37,-0.4885
ENSG00000149527,PLCH2,8,-2.0342,9,-1.8632,24,-0.3937,38,1.44155
ENSG00000157881,PANK4,9,-1.0872,8,-1.3302,12,-0.7215,22,1.19939
ENSG00000197921,HES5,33,0.16225,30,0.04708,57,1.07870,25,-0.6389
ENSG00000157873,TNFRSF14,22,0.80134,0,-3.9888,15,0.18537,14,0.11829
ENSG00000157870,PRXL2B,31,-1.5309,100,0.27327,87,0.04996,88,0.28708
ENSG00000177133,PRDM16-DT,11,-1.6332,66,1.14015,63,1.04673,28,-0.7273
ENSG00000158109,TPRG1L,47,-2.1345,118,-0.7701,158,-0.3199,225,1.06690
ENSG00000116213,WRAP73,20,0.60762,11,-0.3143,12,-0.1681,14,-0.1119
ENSG00000130764,LRRC47,39,-1.1323,23,-1.9250,80,-0.0164,94,0.98529
ENSG00000116198,CEP104,23,0.74283,11,-0.4594,10,-0.5960,15,-0.0034
ENSG00000196581,AJAP1,6,-2.9416,45,0.04118,33,-0.4257,50,0.81768
ENSG00000069424,KCNAB2,102,-1.3419,116,-1.1576,320,0.42726,270,0.59053
ENSG00000116254,CHD5,32,-2.2522,90,-0.7166,122,-0.2506,166,1.02667
ENSG00000116251,RPL22,1291,1.18221,736,0.23700,780,0.33180,521,-0.8431
ENSG00000116237,ICMT,22,-1.0438,37,-0.2333,39,-0.1607,47,0.52469
ENSG00000158292,GPR153,10,-0.8442,0,-4.5177,26,0.56453,20,0.71522
ENSG00000097021,ACOT7,65,-2.1582,160,-0.8143,164,-0.7783,324,1.31718
ENSG00000215788,TNFRSF25,21,-0.1365,16,-0.5852,23,-0.0023,24,0.27457
ENSG00000171680,PLEKHG5,7,-2.2956,19,-0.7931,23,-0.4545,37,1.17375
ENSG00000162408,NOL9,16,-1.1624,2,-3.7845,28,-0.3038,41,1.39354
ENSG00000162413,KLHL21,46,0.55503,5,-2.6012,29,-0.1635,34,0.35867
ENSG00000116273,PHF13,14,-0.4963,30,0.68074,10,-0.9720,20,0.14805
ENSG00000041988,THAP3,28,0.37353,0,-4.7273,22,0.00741,24,0.49826
ENSG00000007923,DNAJC11,18,-0.8603,33,0.05093,36,0.22803,32,0.16285
ENSG00000171735,CAMTA1,214,0.25444,116,-0.7036,173,-0.0901,188,0.16764
ENSG00000049245,VAMP3,111,2.11342,3,-3.5762,37,0.19515,27,-0.9082
ENSG00000049246,PER3,56,0.69584,49,0.46803,34,-0.1197,33,-0.4913
ENSG00000116288,PARK7,383,-0.0833,399,-0.0193,448,0.16660,401,-0.0306
ENSG00000116285,ERRFI1,18,-0.2035,2,-3.1434,12,-0.8065,24,1.14279
ENSG00000162426,SLC45A1,8,-2.1022,14,-1.3541,35,0.02099,41,1.05911
ENSG00000142599,RERE,104,-0.0421,44,-1.3558,107,0.00198,115,0.43501
ENSG00000074800,ENO1,732,0.13325,623,-0.1246,747,0.16507,664,-0.0786
ENSG00000171612,SLC25A33,68,1.00121,6,-2.6238,78,1.23497,32,-0.6674
ENSG00000188807,TMEM201,11,-0.5401,10,-0.5654,13,-0.1882,16,0.51097
ENSG00000171603,CLSTN1,304,-1.2161,729,0.13212,414,-0.7521,742,0.62058
ENSG00000178585,CTNNBIP1,30,-0.4721,50,0.29781,52,0.35925,40,-0.1261
ENSG00000162441,LZIC,65,0.97425,21,-0.7843,36,-0.0007,34,-0.2603
ENSG00000130939,UBE4B,24,-0.6131,28,-0.4089,20,-0.8566,40,0.73631
ENSG00000054523,KIF1B,142,-0.9900,205,-0.4270,276,0.03708,293,0.49453
ENSG00000142657,PGD,39,-0.3759,57,0.21588,33,-0.6248,53,0.27570
ENSG00000241563,CORT,31,-2.0836,14,-3.1961,33,-2.0061,163,2.60313
ENSG00000160049,DFFA,40,0.60017,34,0.31416,33,0.26046,25,-0.5168
ENSG00000142655,PEX14,16,-0.3623,0,-4.7035,21,0.06970,23,0.86251
ENSG00000120948,TARDBP,65,-0.1295,57,-0.3341,62,-0.2047,75,0.27103
ENSG00000116649,SRM,81,-0.5870,99,-0.2861,131,0.16021,124,0.25805
ENSG00000171824,EXOSC10,29,0.06954,44,0.73402,21,-0.4141,27,-0.2430
ENSG00000198793,MTOR,24,-0.7572,11,-1.8675,31,-0.3911,46,1.04956
ENSG00000204624,DISP3,25,0.64240,38,1.32981,19,0.14910,13,-1.0419
ENSG00000116661,FBXO2,1253,2.17963,175,-1.1289,520,0.57228,258,-1.3281
ENSG00000132879,FBXO44,58,-1.5176,132,-0.2806,109,-0.5829,180,0.84827
ENSG00000116670,MAD2L2,47,0.57193,1,-4.7535,30,-0.1190,35,0.43267
ENSG00000177674,AGTRAP,72,2.51133,23,0.39345,10,-0.9082,11,-1.5872
ENSG00000177000,MTHFR,26,0.58512,17,-0.1011,10,-0.7889,18,0.01671
ENSG00000011021,CLCN6,24,-1.5224,37,-0.8683,44,-0.6075,76,1.11984
ENSG00000116685,KIAA2013,44,0.04834,49,0.21370,29,-0.5820,43,0.09208
ENSG00000083444,PLOD1,35,0.79315,1,-4.1654,21,-0.0045,22,0.21738
ENSG00000116688,MFN2,56,-0.6265,46,-0.9175,47,-0.8942,96,0.95412
ENSG00000116691,MIIP,33,0.83940,0,-4.6410,19,-0.0619,20,0.22284
ENSG00000048707,VPS13D,41,-0.4365,139,1.58222,38,-0.5599,48,-0.6022
ENSG00000162496,DHRS3,102,2.24984,9,-1.7500,34,0.27420,21,-1.1783
ENSG00000116731,PRDM2,31,-1.1570,88,0.46508,32,-1.0803,71,0.50188
ENSG00000189337,KAZN,49,0.34333,17,-1.2540,29,-0.4640,43,0.40740
ENSG00000142634,EFHD2,30,-1.4316,26,-1.6386,34,-1.2574,95,1.64585
ENSG00000116138,DNAJC16,8,-1.6215,39,0.75439,12,-1.0111,26,0.38508
ENSG00000197312,DDI2,8,-1.5930,28,0.26474,14,-0.7678,26,0.63221
ENSG00000116786,PLEKHM2,58,-0.6356,54,-0.7668,101,0.21158,94,0.41295
ENSG00000065526,SPEN,57,1.05954,18,-0.7646,34,0.21368,27,-0.4062
