Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000228794,LINC01128,11,-0.5049,28,1.11273,16,0.19759,6,-1.2844,13,-0.2162
ENSG00000188976,NOC2L,40,-0.3139,54,0.17065,84,1.18973,32,-0.6680,31,-0.8947
ENSG00000188290,HES4,32,-0.7136,25,-1.1052,56,0.21186,76,0.70099,52,0.09529
ENSG00000187608,ISG15,52,0.73262,7,-2.2512,29,-0.3025,40,0.30186,37,0.25072
ENSG00000188157,AGRN,8,-1.0893,25,0.63408,17,0.02981,21,0.35426,16,-0.1732
ENSG00000078808,SDF4,130,0.70262,87,0.01528,72,-0.3233,108,0.38827,73,-0.3683
ENSG00000176022,B3GALT6,53,0.55833,43,0.22923,35,-0.1287,44,0.24466,30,-0.4556
ENSG00000160087,UBE2J2,21,-1.0611,30,-0.5512,59,0.67294,52,0.33806,39,-0.1744
ENSG00000131584,ACAP3,18,-1.8880,47,-0.3923,81,0.59819,52,-0.2489,68,0.28306
ENSG00000127054,INTS11,39,-0.3045,44,-0.1132,60,0.51066,51,0.14147,40,-0.3402
ENSG00000224051,CPTP,46,0.49194,42,0.35618,41,0.35884,42,0.33817,20,-1.0416
ENSG00000107404,DVL1,18,-1.8417,64,0.15657,60,0.05687,67,0.21334,66,0.29942
ENSG00000175756,AURKAIP1,104,-0.8159,125,-0.5309,162,-0.1303,187,0.12463,216,0.54491
ENSG00000221978,CCNL2,69,0.65729,46,-0.0374,48,0.04328,47,-0.0041,39,-0.3932
ENSG00000242485,MRPL20,204,-0.0091,154,-0.4625,209,0.03142,234,0.22213,211,0.06013
ENSG00000179403,VWA1,63,-0.2296,104,0.61349,23,-1.9096,117,0.82355,82,0.32295
