Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to11,Feature log2 fold change topic 7to11
ENSG00000228794,LINC01128,19,-0.4563,26,0.16900,26,0.29812
ENSG00000188976,NOC2L,49,-0.4697,91,0.72661,59,-0.0904
ENSG00000188290,HES4,69,0.33579,40,-0.6590,60,0.01789
ENSG00000187608,ISG15,57,-0.0633,54,-0.1402,61,0.13979
ENSG00000188157,AGRN,37,-0.0243,31,-0.3129,41,0.19672
ENSG00000078808,SDF4,73,-0.1820,98,0.37766,77,-0.0790
ENSG00000176022,B3GALT6,25,-0.4119,38,0.38484,32,0.11661
ENSG00000160087,UBE2J2,43,0.10163,41,0.01401,39,-0.1045
ENSG00000131584,ACAP3,121,-0.1499,187,0.68014,113,-0.3370
ENSG00000127054,INTS11,57,-0.4567,107,0.75926,68,-0.1276
ENSG00000224051,CPTP,20,-0.6847,36,0.44959,32,0.29143
ENSG00000107404,DVL1,84,0.34797,76,0.09144,62,-0.3974
ENSG00000175756,AURKAIP1,120,0.18946,93,-0.2943,110,-0.0144
ENSG00000221978,CCNL2,44,-0.4690,57,0.04742,63,0.38452
ENSG00000242485,MRPL20,151,-0.2874,191,0.18314,182,0.14543
ENSG00000179403,VWA1,31,1.35113,14,-0.5317,11,-1.1454
ENSG00000197785,ATAD3A,15,-0.3001,19,0.14147,19,0.18312
ENSG00000205090,TMEM240,38,-0.0759,30,-0.4452,44,0.31000
ENSG00000160075,SSU72,170,-0.1819,206,0.19671,187,0.04345
ENSG00000228594,FNDC10,42,-0.3560,73,0.72550,46,-0.1870
ENSG00000272106,AL691432.2,25,-0.2287,50,1.10398,21,-0.6367
ENSG00000197530,MIB2,48,-0.1027,43,-0.2880,56,0.25557
ENSG00000189339,SLC35E2B,24,0.53078,9,-1.2275,19,0.03813
ENSG00000215790,SLC35E2A,28,-0.0263,34,0.33183,26,-0.1906
ENSG00000008130,NADK,23,-0.2405,41,0.90109,21,-0.4387
ENSG00000078369,GNB1,445,-0.2546,504,0.01253,542,0.22285
ENSG00000187730,GABRD,132,-0.6311,259,0.69897,182,0.06294
ENSG00000067606,PRKCZ,205,-0.2201,221,-0.0483,247,0.22843
ENSG00000162585,FAAP20,55,0.91890,27,-0.5871,30,-0.6185
ENSG00000157933,SKI,28,-0.4064,49,0.66633,33,-0.0964
ENSG00000157916,RER1,47,-0.6071,79,0.40713,69,0.26072
ENSG00000157911,PEX10,35,0.89966,24,-0.0041,16,-0.9414
ENSG00000149527,PLCH2,25,-0.4696,21,-0.6320,40,0.74342
ENSG00000157881,PANK4,19,0.17367,19,0.20152,15,-0.2946
ENSG00000157870,PRXL2B,57,-0.2003,86,0.57164,58,-0.2051
ENSG00000177133,PRDM16-DT,26,0.37056,17,-0.3781,21,-0.1489
ENSG00000158109,TPRG1L,174,-0.4240,220,0.06469,240,0.33647
ENSG00000130764,LRRC47,53,-0.8713,87,0.11349,102,0.65891
ENSG00000196581,AJAP1,35,-0.4832,48,0.12786,50,0.34650
ENSG00000069424,KCNAB2,283,0.04956,334,0.33926,249,-0.2684
ENSG00000116254,CHD5,133,-0.1728,142,-0.0280,154,0.17451
ENSG00000116251,RPL22,554,0.59318,343,-0.4095,377,-0.3597
ENSG00000116237,ICMT,25,-0.9164,82,1.42853,34,-0.3621
ENSG00000158292,GPR153,16,0.03946,9,-0.9967,19,0.43523
ENSG00000097021,ACOT7,234,-0.6879,419,0.46332,360,0.28406
ENSG00000215788,TNFRSF25,24,-0.1243,38,0.73198,21,-0.4037
ENSG00000171680,PLEKHG5,34,-0.2743,45,0.27972,39,0.07043
ENSG00000162408,NOL9,25,-0.3834,37,0.35965,32,0.11002
ENSG00000162413,KLHL21,30,-0.2448,45,0.56295,31,-0.1583
ENSG00000116273,PHF13,11,-1.1032,38,1.22712,19,-0.0398
ENSG00000041988,THAP3,22,0.25133,16,-0.3476,19,-0.0468
ENSG00000007923,DNAJC11,32,-0.2179,50,0.60543,33,-0.2152
ENSG00000171735,CAMTA1,183,-0.1495,168,-0.2569,216,0.28144
ENSG00000049245,VAMP3,21,0.35357,15,-0.3074,17,-0.1685
ENSG00000049246,PER3,31,-0.1706,43,0.46014,31,-0.1486
ENSG00000116288,PARK7,397,-0.0207,526,0.49364,354,-0.3137
ENSG00000116285,ERRFI1,16,-0.2741,10,-0.9745,23,0.71390
ENSG00000162426,SLC45A1,29,-0.5637,52,0.52670,41,0.13994
ENSG00000142599,RERE,92,-0.2987,125,0.30098,109,0.07741
ENSG00000074800,ENO1,307,-0.1808,384,0.25327,334,0.00526
ENSG00000171612,SLC25A33,29,-0.0061,23,-0.3976,31,0.22271
ENSG00000171603,CLSTN1,556,-0.8830,1025,0.32848,1025,0.52512
ENSG00000178585,CTNNBIP1,26,0.06903,17,-0.6877,28,0.28604
