Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,26,-0.2362,26,-0.2158,46,0.95147
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,66,0.48673,48,-0.1831,64,0.36398
ENSG00000188290,HES4,677,3.51560,3,-5.0680,66,-0.9956,84,-0.4898,42,-1.6626
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,46,-1.1013,49,-0.9092,59,-0.6008
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,27,-0.9276,36,-0.3712,29,-0.7433
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,63,-0.4696,101,0.47445,91,0.27137
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,39,0.03796,53,0.66738,43,0.23503
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,60,0.30196,41,-0.4523,65,0.43537
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,18,0.26619,5,-1.7823,17,0.12119
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,115,0.02825,99,-0.2591,150,0.56335
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,47,-0.5342,70,0.26874,76,0.44363
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,41,0.08016,36,-0.1378,46,0.29877
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,78,0.41517,63,-0.0681,69,0.12048
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,90,-0.3676,130,0.37046,131,0.38104
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,47,-0.3209,51,-0.1271,48,-0.2504
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,113,-0.3210,136,0.06968,147,0.22538
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,16,-0.4282,17,-0.2771,22,0.13734
ENSG00000179403,VWA1,139,1.48559,306,3.15592,28,-1.3309,34,-0.8931,7,-3.3568
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,17,0.45468,9,-0.8462,20,0.66241
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,17,0.06217,21,0.44856,16,0.00080
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,72,0.28133,73,0.26137,79,0.42628
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0709,169,0.30088,178,0.41413
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,50,0.53927,54,0.62197,35,-0.2259
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,38,-0.2943,33,-0.5040,69,0.94212
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,38,0.25889,36,0.14364,40,0.34698
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,35,-0.2777,55,0.65683,47,0.33738
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,24,-0.1257,30,0.35796,25,-0.0077
ENSG00000008130,NADK,32,0.03533,24,-0.4305,26,-0.3632,32,0.04822,40,0.46663
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,277,-0.5427,402,0.20967,495,0.64282
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,82,-0.6238,141,0.46532,196,1.22462
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,155,-0.1004,187,0.26738,215,0.55860
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,63,0.08320,68,0.23696,21,-1.7667
ENSG00000157933,SKI,93,0.80796,46,-0.3177,63,0.26584,46,-0.3625,48,-0.2973
ENSG00000157916,RER1,96,0.48581,86,0.31655,46,-0.8568,71,0.02363,89,0.47046
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,25,0.27099,25,0.18761,20,-0.1939
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,16,-1.0643,48,1.17963,35,0.48856
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,18,-0.1063,31,1.09846,17,-0.2135
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,24,0.11066,49,1.76886,9,-1.5205
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,96,0.44390,75,-0.1063,101,0.48136
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,21,-0.0143,44,1.59323,14,-0.7907
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,122,-0.3434,152,0.10253,224,0.92772
