region,neighbor,reference,scale,Z,Z_real
ALL,Astro.1,Astro.1,25,-8.24,-13.419101051476993
ALL,Astro.2,Astro.2,25,-8.24,-15.080784465012123
ALL,Astro.3,Astro.3,25,-5.937452726843966,-5.937452726843966
ALL,Astro.4,Astro.4,25,-6.056155250038009,-6.056155250038009
ALL,Astro.5,Astro.5,25,-8.24,-12.883343861570536
ALL,Macro,Astro.1,25,-8.24,-11.501341144823199
ALL,Macro,Astro.2,25,-8.24,-9.560915484875734
ALL,Macro,Astro.4,25,6.977963143646414,6.977963143646414
ALL,Macro,Astro.5,25,-8.24,-9.89853053666083
ALL,Macro,Macro,25,8.24,10.08237117536976
ALL,Macro,Micro.2,25,-5.795638212573409,-5.795638212573409
ALL,Macro,Micro.5,25,-8.24,-8.739583918240521
ALL,Macro,OPC.2,27.083333333333332,-8.24,-8.91862542746254
ALL,Macro,OPC.4,25,-4.983547717542941,-4.983547717542941
ALL,Macro,OPC.5,25,-7.898023190285828,-7.898023190285828
ALL,Macro,Oligo.3,25,-8.24,-10.060973370741833
ALL,Macro,Oligo.4,25,-6.467888023330421,-6.467888023330421
ALL,Macro,Vasc.Endo,25,-7.490146932361049,-7.490146932361049
ALL,Macro,Vasc.VLMC,25,8.24,11.05145305487564
ALL,Macro,Excit.L2,25,-8.24,-26.049912060679112
ALL,Macro,Excit.L2_5.1,25,-8.24,-9.557164326347168
ALL,Macro,Excit.L2_5.2,25,-5.898534150773523,-5.898534150773523
ALL,Macro,Excit.L5.1,25,-6.093671187555893,-6.093671187555893
ALL,Macro,Inhib.Lamp5_Lhx6,25,-6.298199777860503,-6.298199777860503
ALL,Macro,Inhib.Pvalb,25,-6.707055368664379,-6.707055368664379
ALL,Macro,Inhib.Vip,25,-8.24,-10.665456334776408
ALL,Macro,Inhib.Sst,25,-5.811898579312188,-5.811898579312188
ALL,Micro.1,Astro.1,25,-7.388486700298142,-7.388486700298142
ALL,Micro.1,Astro.2,25,-6.934327212012788,-6.934327212012788
ALL,Micro.1,Astro.5,25,-8.24,-8.488185531402621
ALL,Micro.1,Micro.2,25,-7.496738538481296,-7.496738538481296
ALL,Micro.1,Micro.5,25,-8.24,-8.247435659846445
ALL,Micro.1,OPC.2,25,-6.7771856911053465,-6.7771856911053465
ALL,Micro.1,OPC.5,25,-7.73844389134362,-7.73844389134362
ALL,Micro.1,Oligo.1,25,-3.0845004704980914,-3.0845004704980914
ALL,Micro.1,Oligo.3,25,-8.24,-9.686287365159556
ALL,Micro.1,Oligo.4,25,-6.856783030358116,-6.856783030358116
ALL,Micro.1,Vasc.Endo,25,-7.172157182509417,-7.172157182509417
ALL,Micro.1,Vasc.PC,25,-6.723697327067593,-6.723697327067593
ALL,Micro.1,Excit.L2,25,-7.902195472371642,-7.902195472371642
ALL,Micro.1,Excit.L2_5.1,25,-8.24,-15.021888828497543
ALL,Micro.1,Excit.L5.1,25,-6.321572235838898,-6.321572235838898
ALL,Micro.1,Inhib.Pvalb,25,-5.548201678639044,-5.548201678639044
ALL,Micro.1,Inhib.Vip,29.166666666666668,-6.10328491676969,-6.10328491676969
ALL,Micro.2,Astro.1,25,6.0830489353657775,6.0830489353657775
ALL,Micro.2,Astro.2,25,8.24,9.310341481688093
ALL,Micro.2,Astro.4,25,7.718607966443801,7.718607966443801
ALL,Micro.2,Astro.5,25,8.24,9.785714482354383
ALL,Micro.2,Micro.2,25,8.24,9.969905086098358
ALL,Micro.2,Micro.5,25,8.24,8.281909326516773
ALL,Micro.2,OPC.2,27.77777777777778,6.92386232503519,6.92386232503519
ALL,Micro.2,OPC.4,25,4.682989542908781,4.682989542908781
ALL,Micro.2,OPC.5,25,6.262335105048877,6.262335105048877
ALL,Micro.2,Oligo.1,25,8.24,9.112056721943127
ALL,Micro.2,Oligo.2,27.5,7.6502066540911535,7.6502066540911535
ALL,Micro.2,Oligo.3,25,8.24,11.26303604947094
ALL,Micro.2,Oligo.4,25,8.24,11.89280286308741
ALL,Micro.2,Oligo.5,25,5.564486954272225,5.564486954272225
ALL,Micro.2,Vasc.Endo,25,8.24,10.491641794037546
ALL,Micro.2,Vasc.PC,25,8.24,8.355339600872213
ALL,Micro.2,Vasc.VLMC,25,5.112996188862103,5.112996188862103
ALL,Micro.2,Excit.L2_5.2,27.5,-8.24,-9.611186128035895
ALL,Micro.2,Inhib.Lamp5_Lhx6,25,5.137451411916844,5.137451411916844
ALL,Micro.2,Inhib.Vip,25,6.568175811744504,6.568175811744504
ALL,Micro.3,Astro.4,25,8.24,8.884576695555154
ALL,Micro.3,Micro.3,25,6.216777069735959,6.216777069735959
ALL,Micro.3,Oligo.1,25,8.24,8.337790258380828
ALL,Micro.3,Oligo.2,25,8.24,8.860883549395487
ALL,Micro.3,Excit.L5.1,25,-8.24,-8.982285712819873
ALL,Micro.4,Astro.1,25,-7.5965828738085355,-7.5965828738085355
ALL,Micro.4,Astro.2,25,-6.191525675315173,-6.191525675315173
ALL,Micro.4,Astro.5,25,-7.399889478364356,-7.399889478364356
ALL,Micro.4,Micro.2,31.25,-5.078105865713192,-5.078105865713192
ALL,Micro.4,Micro.5,25,-5.744337223047847,-5.744337223047847
ALL,Micro.4,OPC.5,25,-6.034272854212549,-6.034272854212549
ALL,Micro.4,Oligo.3,25,-7.9459125720683,-7.9459125720683
ALL,Micro.4,Oligo.4,25,-5.928765544933174,-5.928765544933174
ALL,Micro.4,Vasc.Endo,25,-7.884278154883846,-7.884278154883846
ALL,Micro.4,Vasc.PC,25,-6.921716097196665,-6.921716097196665
ALL,Micro.4,Excit.L2_5.1,25,-6.283272714931706,-6.283272714931706
ALL,Micro.4,Excit.L5.1,25,-8.24,-14.545853076440942
ALL,Micro.4,Excit.L5.2,25,-8.24,-9.84986145545741
ALL,Micro.4,Inhib.Vip,25,-5.595920701490412,-5.595920701490412
ALL,Micro.5,Astro.1,25,8.24,9.906049044646432
ALL,Micro.5,Astro.2,25,8.24,9.800042239612003
ALL,Micro.5,Astro.4,25,6.6546124960826605,6.6546124960826605
ALL,Micro.5,Astro.5,25,8.24,14.383032625111625
ALL,Micro.5,Macro,31.25,4.842618442223902,4.842618442223902
ALL,Micro.5,Micro.2,25,8.24,10.010437016742845
ALL,Micro.5,Micro.3,25,5.667073687167464,5.667073687167464
ALL,Micro.5,Micro.5,25,8.24,11.341930356204008
ALL,Micro.5,OPC.2,25,8.24,9.221873220145431
ALL,Micro.5,OPC.4,25,5.379764227464456,5.379764227464456
ALL,Micro.5,OPC.5,25,8.16622254820169,8.16622254820169
