Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,24,0.02894,32,1.13845,14,-0.8587,9,-1.4999
ENSG00000188976,NOC2L,68,0.76866,47,0.36890,34,-0.3612,23,-1.0135
ENSG00000188290,HES4,51,-0.4469,68,-0.0100,80,0.27065,66,-0.0520
ENSG00000187608,ISG15,124,0.43452,96,0.05440,89,-0.0994,80,-0.2837
ENSG00000188157,AGRN,24,-0.1062,29,0.33396,17,-0.7373,28,0.12786
ENSG00000078808,SDF4,80,0.11799,75,0.01781,56,-0.4835,89,0.31391
ENSG00000176022,B3GALT6,19,-0.9031,43,0.73155,25,-0.5443,29,-0.3192
ENSG00000160087,UBE2J2,44,0.07079,44,0.12296,39,-0.1131,39,-0.1379
ENSG00000131584,ACAP3,20,-1.7602,75,0.55649,62,-0.0554,55,-0.2565
ENSG00000169972,PUSL1,0,-4.5860,14,0.41443,13,0.00612,14,0.15289
ENSG00000127054,INTS11,59,0.48456,49,0.39447,31,-0.5570,32,-0.5218
ENSG00000224051,CPTP,25,-0.2553,37,0.72287,28,-0.1430,15,-1.1560
ENSG00000107404,DVL1,61,-0.1848,61,-0.3574,87,0.42439,78,0.22154
ENSG00000175756,AURKAIP1,201,0.19105,179,0.00681,190,0.11054,154,-0.2503
ENSG00000221978,CCNL2,53,0.48669,41,0.13906,35,-0.1806,31,-0.4023
ENSG00000242485,MRPL20,198,0.22773,167,-0.0860,172,0.00555,172,0.00321
ENSG00000179403,VWA1,20,-0.8548,20,-1.3934,39,0.18379,83,1.77804
ENSG00000197785,ATAD3A,23,0.36832,19,0.19978,14,-0.3865,16,-0.2131
ENSG00000205090,TMEM240,14,-1.4180,48,1.19248,23,-0.7033,21,-0.8312
ENSG00000160075,SSU72,85,-0.9358,184,0.58339,152,-0.0499,112,-0.5599
ENSG00000228594,FNDC10,65,0.84780,43,0.39121,25,-0.7152,25,-0.7489
ENSG00000272106,AL691432.2,48,0.87883,30,0.19803,26,-0.1460,15,-1.0289
ENSG00000197530,MIB2,40,0.24173,37,0.24557,24,-0.6342,34,-0.0002
ENSG00000189339,SLC35E2B,6,-1.3701,19,0.50008,14,-0.2640,16,-0.0436
ENSG00000215790,SLC35E2A,17,-0.1940,24,0.67865,18,-0.1182,10,-1.1322
