Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,20,0.36438,16,-0.3643
ENSG00000188976,NOC2L,44,1.14331,19,-1.1433
ENSG00000188290,HES4,63,-0.7318,105,0.73182
ENSG00000187608,ISG15,86,-0.2205,101,0.22058
ENSG00000188157,AGRN,19,0.51265,13,-0.5126
ENSG00000078808,SDF4,65,0.27056,54,-0.2705
ENSG00000176022,B3GALT6,36,0.38703,27,-0.3870
ENSG00000160087,UBE2J2,45,0.87353,24,-0.8735
ENSG00000131584,ACAP3,65,0.55221,44,-0.5522
ENSG00000127054,INTS11,52,1.08800,24,-1.0880
ENSG00000224051,CPTP,33,0.63753,21,-0.6375
ENSG00000107404,DVL1,48,-0.0635,50,0.06358
ENSG00000175756,AURKAIP1,195,0.27480,161,-0.2748
ENSG00000221978,CCNL2,43,0.38954,33,-0.3895
ENSG00000242485,MRPL20,204,-0.0475,211,0.04752
ENSG00000235098,ANKRD65,23,0.46793,16,-0.4679
ENSG00000179403,VWA1,19,-1.0158,39,1.01588
ENSG00000197785,ATAD3A,18,1.23347,7,-1.2334
ENSG00000205090,TMEM240,43,0.69032,27,-0.6903
ENSG00000160075,SSU72,172,0.45099,126,-0.4509
ENSG00000228594,FNDC10,31,0.48087,22,-0.4808
ENSG00000272106,AL691432.2,30,0.70968,18,-0.7096
ENSG00000197530,MIB2,32,0.95001,16,-0.9500
ENSG00000248333,CDK11B,14,0.23856,12,-0.2385
ENSG00000189339,SLC35E2B,17,0.23284,15,-0.2328
ENSG00000008128,CDK11A,10,0.10599,9,-0.1059
ENSG00000215790,SLC35E2A,22,0.18711,19,-0.1871
ENSG00000008130,NADK,25,0.46906,18,-0.4690
ENSG00000078369,GNB1,433,0.28745,355,-0.2874
ENSG00000187730,GABRD,173,1.40290,65,-1.4029
ENSG00000067606,PRKCZ,209,0.55291,142,-0.5529
ENSG00000162585,FAAP20,35,-0.5123,50,0.51232
ENSG00000157933,SKI,32,-0.0184,32,0.01843
ENSG00000157916,RER1,64,0.25644,53,-0.2564
ENSG00000157911,PEX10,22,0.01416,21,-0.0141
ENSG00000149527,PLCH2,15,0.72711,9,-0.7271
ENSG00000157881,PANK4,18,0.53486,12,-0.5348
ENSG00000197921,HES5,12,-0.5728,18,0.57282
ENSG00000157870,PRXL2B,79,0.58579,52,-0.5857
ENSG00000177133,PRDM16-DT,7,-1.9572,28,1.95722
ENSG00000158109,TPRG1L,182,0.73912,109,-0.7391
ENSG00000116213,WRAP73,13,1.03357,6,-1.0335
ENSG00000130764,LRRC47,82,0.76863,48,-0.7686
ENSG00000116198,CEP104,12,-0.0592,13,0.05924
ENSG00000198912,C1orf174,12,0.75135,7,-0.7513
ENSG00000196581,AJAP1,55,1.05601,26,-1.0560
ENSG00000069424,KCNAB2,225,0.57079,151,-0.5707
ENSG00000116254,CHD5,133,0.43621,98,-0.4362
ENSG00000116251,RPL22,414,-0.7236,685,0.72361
ENSG00000116237,ICMT,37,0.49387,26,-0.4938
ENSG00000158292,GPR153,15,0.63911,9,-0.6391
ENSG00000097021,ACOT7,364,1.19527,159,-1.1952
ENSG00000171680,PLEKHG5,31,0.91560,16,-0.9156
ENSG00000162408,NOL9,25,-0.2212,29,0.22129
ENSG00000162413,KLHL21,25,0.03676,24,-0.0367
ENSG00000116273,PHF13,16,0.32910,13,-0.3291
ENSG00000041988,THAP3,22,0.60357,14,-0.6035
ENSG00000007923,DNAJC11,27,0.34266,21,-0.3426
ENSG00000171735,CAMTA1,149,0.22109,128,-0.2210
ENSG00000049245,VAMP3,15,-1.2593,38,1.25937
ENSG00000049246,PER3,21,-0.1401,23,0.14011
ENSG00000116288,PARK7,373,-0.0328,382,0.03281
ENSG00000116285,ERRFI1,22,0.31628,18,-0.3162
ENSG00000162426,SLC45A1,30,1.20473,13,-1.2047
ENSG00000142599,RERE,99,0.20873,85,-0.2087
ENSG00000074800,ENO1,731,0.46603,529,-0.4660
ENSG00000142583,SLC2A5,7,-0.8939,14,0.89397
ENSG00000171612,SLC25A33,29,-0.5569,43,0.55692
ENSG00000188807,TMEM201,11,0.56755,7,-0.5675
ENSG00000171603,CLSTN1,768,1.11437,354,-1.1143
ENSG00000178585,CTNNBIP1,23,-0.1298,25,0.12981
