"snn_k10","n","cell_type"
"k10c01",707,""
"k10c02",5717,""
"k10c03",2427,""
"k10c04",1693,""
"k10c05",157,""
"k10c06",89,""
"k10c07",404,""
"k10c08",2608,""
"k10c09",6317,""
"k10c10",2395,""
"k10c11",8170,""
"k10c12",2184,""
"k10c13",627,""
"k10c14",1607,""
"k10c15",8250,""
"k10c16",12833,""
"k10c17",588,""
"k10c18",13345,""
"k10c19",15354,""
"k10c20",8555,""
"k10c21",11902,""
"k10c22",3041,""
"k10c23",740,""
"k10c24",686,""
"k10c25",2413,""
"k10c26",258,""
"k10c27",994,""
"k10c28",650,""
"k10c29",193,""
"k10c30",257,""
"k10c31",218,""
"k10c32",397,""
"k10c33",127,""
"k10c34",707,""
"k10c35",639,""
"k10c36",639,""
"k10c37",29,""
"k10c38",158,""
"k10c39",420,""
"k10c40",115,""
"k10c41",209,""
"k10c42",288,""
"k10c43",602,""
"k10c44",207,""
"k10c45",1693,""
"k10c46",76,""
"k10c47",527,""
"k10c48",202,""
"k10c49",211,""
"k10c50",56,""
"k10c51",198,""
"k10c52",77,""
"k10c53",392,""
"k10c54",15150,""
"k10c55",81,""
"k10c56",1390,""
"k10c57",37,""
"k10c58",24,""
"k10c59",14,""
"k10c60",31,""
"k10c61",15,""
"k10c62",29,""
