"snn_k20","n","cell_type"
"k20c01",19752,""
"k20c02",8148,""
"k20c03",3890,""
"k20c04",1747,""
"k20c05",11068,""
"k20c06",662,""
"k20c07",19327,""
"k20c08",1088,""
"k20c09",2321,""
"k20c10",3570,""
"k20c11",3734,""
"k20c12",8999,""
"k20c13",2185,""
"k20c14",9074,""
"k20c15",13154,""
"k20c16",726,""
"k20c17",650,""
"k20c18",238,""
"k20c19",220,""
"k20c20",1491,""
"k20c21",1455,""
"k20c22",109,""
"k20c23",2313,""
"k20c24",129,""
"k20c25",21993,""
"k20c26",56,""
"k20c27",119,""
"k20c28",356,""
"k20c29",209,""
"k20c30",256,""
"k20c31",317,""
"k20c32",457,""
"k20c33",306,""
