Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,14,-0.1578,7,-1.1430,9,-0.8536,20,0.58536,27,0.87004,9,-0.8879
ENSG00000228794,LINC01128,40,0.21433,44,0.35356,38,0.09544,41,0.32191,26,-0.5127,14,-1.3965
ENSG00000188976,NOC2L,46,-0.3284,53,-0.0905,86,0.71368,63,0.28889,29,-1.0133,45,-0.3517
ENSG00000188290,HES4,90,-0.3425,97,-0.2162,130,0.26210,97,-0.2970,168,0.70604,112,0.01147
ENSG00000187608,ISG15,35,-0.8493,84,0.54418,67,0.16204,64,0.12323,50,-0.3013,57,-0.1055
ENSG00000188157,AGRN,28,-0.9781,39,-0.4284,41,-0.3689,58,0.28447,89,0.93964,41,-0.3703
ENSG00000131591,C1orf159,15,0.01154,13,-0.2671,17,0.24160,15,0.06128,15,-0.0308,14,-0.1250
ENSG00000078808,SDF4,80,-0.1975,65,-0.5263,92,0.03504,98,0.17797,123,0.51590,70,-0.4054
ENSG00000176022,B3GALT6,52,0.26295,36,-0.3355,54,0.31231,48,0.17932,37,-0.2984,33,-0.4838
ENSG00000160087,UBE2J2,44,-0.3525,54,-0.0260,64,0.26206,62,0.27881,38,-0.5928,54,-0.0360
ENSG00000162572,SCNN1D,21,0.01655,13,-0.7021,28,0.48725,22,0.14758,22,0.04038,17,-0.3816
ENSG00000131584,ACAP3,124,-0.2647,99,-0.6338,130,-0.1991,167,0.31473,187,0.41011,131,-0.1815
ENSG00000169972,PUSL1,21,0.73896,9,-0.6357,14,0.03330,14,0.09970,8,-0.8568,14,0.08119
ENSG00000127054,INTS11,59,-0.2469,55,-0.3455,50,-0.5118,74,0.18917,90,0.46550,71,0.05797
ENSG00000224051,CPTP,17,-1.0934,26,-0.4530,38,0.16376,37,0.15857,47,0.52603,37,0.10399
ENSG00000107404,DVL1,80,-0.0117,71,-0.2044,64,-0.3598,79,-0.0455,107,0.48298,84,0.08200
ENSG00000175756,AURKAIP1,259,0.40020,243,0.29117,182,-0.1856,185,-0.2154,216,0.09263,176,-0.2371
ENSG00000221978,CCNL2,48,-0.6195,51,-0.5227,70,-0.0193,85,0.43527,95,0.48694,49,-0.5984
ENSG00000242485,MRPL20,239,0.38471,188,-0.0187,236,0.36067,184,-0.0781,133,-0.5759,174,-0.1454
ENSG00000179403,VWA1,13,-1.0013,16,-0.7380,32,0.40582,11,-1.5591,41,0.82488,67,1.74790
ENSG00000160072,ATAD3B,22,0.33219,6,-1.6017,21,0.22664,21,0.30434,20,0.14859,14,-0.4096
ENSG00000197785,ATAD3A,15,-0.4862,15,-0.4292,30,0.62260,21,0.03464,23,0.21803,18,-0.2370
ENSG00000205090,TMEM240,53,0.15483,33,-0.5888,58,0.29187,54,0.25496,42,-0.2426,40,-0.3276
