Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,2,-3.1271,7,-1.3481,4,-2.1317,18,0.03658,15,-0.2305,25,0.54329,17,-0.0621,13,-0.3974,33,1.16110,22,0.42767
ENSG00000188976,NOC2L,27,-0.5752,36,-0.1775,28,-0.5545,15,-1.4630,33,-0.3181,53,0.44903,61,0.64987,36,-0.1641,53,0.48208,47,0.25780
ENSG00000188290,HES4,157,1.13309,12,-2.7628,96,0.33061,45,-0.8354,61,-0.4176,47,-0.7643,71,-0.1467,70,-0.1647,114,0.67057,83,0.10589
ENSG00000187608,ISG15,53,-0.6743,34,-1.3505,30,-1.5234,58,-0.5262,64,-0.4152,19,-2.1461,153,1.00153,76,-0.1219,175,1.40878,84,0.04231
ENSG00000188157,AGRN,2,-3.8530,24,-0.2654,65,1.30780,5,-2.5121,21,-0.4999,22,-0.4009,40,0.49496,15,-0.9340,55,1.17929,25,-0.2555
ENSG00000131591,C1orf159,2,-2.5900,14,0.23723,12,0.00688,19,0.76985,10,-0.2094,20,0.78178,9,-0.3952,9,-0.4367,10,-0.3484,15,0.38143
ENSG00000078808,SDF4,60,-0.3358,86,0.23855,104,0.52972,89,0.28413,62,-0.3040,67,-0.1595,64,-0.2356,100,0.47733,78,0.08271,58,-0.4186
ENSG00000176022,B3GALT6,2,-3.8158,15,-0.9383,20,-0.4943,52,0.96580,24,-0.2973,32,0.21292,38,0.46959,21,-0.4541,42,0.69447,28,-0.0260
ENSG00000160087,UBE2J2,2,-4.3525,29,-0.5359,54,0.42655,33,-0.3198,27,-0.6533,44,0.11519,47,0.20937,36,-0.1819,55,0.49812,62,0.72621
ENSG00000131584,ACAP3,69,0.07100,56,-0.2464,35,-0.9635,33,-1.0220,58,-0.2198,95,0.58684,71,0.11509,68,0.05258,93,0.60599,63,-0.0645
ENSG00000127054,INTS11,7,-2.7960,58,0.29191,60,0.35082,30,-0.6830,40,-0.3052,55,0.20855,77,0.76698,50,0.07409,55,0.23755,47,-0.0130
ENSG00000224051,CPTP,41,0.55543,14,-1.0379,25,-0.2141,30,0.10005,20,-0.5556,32,0.17159,34,0.27548,15,-0.9298,41,0.63841,28,-0.0109
ENSG00000107404,DVL1,101,0.98664,50,-0.1254,57,0.06037,10,-2.5492,62,0.21796,47,-0.2236,19,-1.6049,59,0.12239,57,0.06930,65,0.29234
ENSG00000175756,AURKAIP1,2,-6.2899,180,0.18873,207,0.40395,81,-1.0267,179,0.19056,146,-0.1472,216,0.47163,198,0.33387,177,0.17637,169,0.09584
ENSG00000221978,CCNL2,40,-0.3336,54,0.12825,37,-0.4394,23,-1.1584,45,-0.1567,41,-0.2937,81,0.77592,70,0.53880,54,0.13845,51,0.03581
