"","logFC_Apoe_e4yes","p_Apoe_e4yes","padj"
"MRPL45",-0.042189402809203,0.468907861318336,0.661887027845634
"SOCS7",0.0530994738921558,0.112305551766132,0.283983651487699
"ARHGAP23",-0.0306226642374942,0.66215365095506,0.801051626517597
"SRCIN1",-0.0169642090117626,0.840365775236572,0.913273169280674
"MLLT6",0.0874750904496989,0.219049065677485,0.421790888547831
"CISD3",-0.00240924624606611,0.976216443948906,0.987855150531998
"PCGF2",-0.290757578683835,0.0400467475652883,0.15824594892508
"PSMB3",-0.0644838715810766,0.64424753848186,0.78849535771528
"PIP4K2B",0.0110902017135888,0.842725541931428,0.914693432216367
"CWC25",0.0576503915080574,0.47444140680407,0.666358144975183
"RPL23",-0.0700253882056853,0.502155609833838,0.689191750698961
"LASP1",0.0138794812619012,0.887623461632329,0.939560086832478
"LINC00672",-0.130433827359421,0.317730410063489,0.525957152218374
"PLXDC1",-0.330720831835784,0.0206078701705652,0.106582941216045
"CACNB1",-0.29094973795083,0.0471261521830738,0.173622107078634
"RPL19",0.0985971928488668,0.467442172548584,0.66064591722423
"STAC2",-0.22330111157767,0.178408691828041,0.374655229475188
"FBXL20",-0.0275141828618296,0.480260271737452,0.670578623929071
"MED1",0.0467537859323843,0.360547761227619,0.567425432706713
"CDK12",-0.0542328079389203,0.321081623675768,0.529350893293563
"NEUROD2",-0.0739728733256311,0.71593705529953,0.838632383899402
"PPP1R1B",-0.629547723441034,0.000133312687689669,0.00509879884521722
"STARD3",-0.0682068396068627,0.296350248047051,0.504654703009353
"TCAP",0.59060035666069,0.000177697391637439,0.00616814027218809
"PGAP3",-0.204700880107835,0.0647525623804751,0.206831588024797
"ERBB2",-0.411357053966222,0.0202150119950486,0.105565513789554
"MIEN1",0.305583574136295,0.028776992123092,0.129476988911829
"GSDMB",0.200662617444053,0.00448558997198705,0.0430227793598015
"ORMDL3",-0.106072415337239,0.185274689187193,0.382017295908102
"PSMD3",0.00657512238795205,0.935874303564068,0.966720450319064
"MED24",0.0850378442284991,0.20831943110474,0.408809919239052
"THRA",0.205205932649261,0.000168718295722215,0.00595602780078209
"NR1D1",0.149468563834874,0.277764251006216,0.486165903738563
"MSL1",-0.00605784502791421,0.913902097619875,0.95374778991804
"CASC3",-0.00713173667697517,0.897422170930768,0.944927618377078
"RAPGEFL1",-0.486444319928838,1.37540292638139e-06,0.000236722125884975
"WIPF2",-0.066072594098699,0.251280857042097,0.457596700063118
"RARA",0.1661063233051,0.367718761517133,0.574342210648702
"KRT10",0.354396805498682,0.011322569530453,0.0752961755703413
"TMEM99",0.372575410349104,0.000879210698270514,0.0162588669168575
"EIF1",0.293834957485085,0.0888537547204833,0.247377157604185
"HAP1",-0.0994563601117895,0.719197071725795,0.840296957189376
"JUP",0.147877036191087,0.0459334378995692,0.170616649138766
"P3H4",0.277479202026986,0.0030650135099054,0.0335658509508201
"NT5C3B",-0.136989848500141,0.126235662657929,0.30440014237343
"KLHL11",-0.0776476599941813,0.409076194129216,0.611589017779921
"ACLY",-0.0146380737982215,0.819476377832049,0.90003737211212
"TTC25",-0.0238663556820065,0.836847036514882,0.910865918005483
"CNP",-0.0579026503678469,0.516938101840391,0.700321625441744
"DNAJC7",-0.0233853480295194,0.563496654448056,0.732723036927629
"NKIRAS2",0.0640262468147581,0.481350296534132,0.671344161468876
"ZNF385C",0.0751179559956785,0.594694746731334,0.756074412793135
"DHX58",-0.275351708199928,0.238922134654849,0.44468655641978
"KAT2A",0.032719977341913,0.696367182259341,0.825973072469841
"HCRT",0.460412601527011,0.0735318753861483,0.222516971864505
"GHDC",0.0605558019226555,0.35047940316621,0.557742489281581
"STAT5B",0.0372408461425863,0.552131834164591,0.724176300695133
"STAT5A",-0.205283798767599,0.115427776157899,0.287918881269863
"STAT3",0.0679286132083694,0.572144948678975,0.738620710910497
"CAVIN1",0.219481103252957,0.0054458671389469,0.0486906100907864
"ATP6V0A1",-0.125025189754098,0.00966221579915692,0.0676082316110404
"NAGLU",-0.161904795489614,0.0311950445528896,0.135828879866271
"HSD17B1",0.38386841299729,0.0563301940974596,0.191140132873965
"COASY",0.0582227006110891,0.603373005621358,0.761745409786535
"MLX",0.0845716073266147,0.317115046797506,0.525603550856784
"PSMC3IP",0.471718624847081,0.00803033599202685,0.0602496220297612
"RETREG3",0.00618152117551034,0.914086613265903,0.953802737587661
"TUBG1",-0.0102686796753314,0.916114285043591,0.954953585149746
"TUBG2",0.108456508290466,0.00252292516239467,0.0299109181411048
"PLEKHH3",0.38029715396517,0.000592176877801573,0.0125044064207365
"CCR10",-0.454804178108408,0.0243247010316227,0.117106330685264
"CNTNAP1",0.204201287983234,0.00955831685653242,0.0670326329859365
"EZH1",0.0481783693745161,0.335348693402832,0.542724436286782
"VPS25",-0.122278610476415,0.119106953981937,0.293842996962803
"COA3",0.0589005631910816,0.611132382495579,0.766358276045863
"CNTD1",0.304225018124675,0.0841712581026816,0.240334154471989
"BECN1",-0.0756718125500163,0.31041726932949,0.518389719014914
"PSME3",-0.11982391776106,0.129132017041978,0.308383880359259
"AOC2",0.292767060364288,0.0691372517989424,0.214670214054747
"RUNDC1",0.204239535288885,0.0344320875420128,0.14456965936768
"RPL27",0.020413783421004,0.828509975242418,0.905929199082683
"IFI35",-0.325485051747534,0.0388373719847582,0.15530937745971
"VAT1",0.149525178471657,0.0196350307942338,0.103760043327141
"RND2",-0.332282988982745,0.100056826277973,0.265612686852812
"BRCA1",0.164017405231629,0.000185485156265981,0.00634844088516684
"NBR1",0.00396328796507975,0.906682883805709,0.950254919078087
"TMEM106A",0.120554534448773,0.137871411862558,0.319604635992688
"DHX8",-0.0288190828424584,0.628637451142156,0.778155256963855
"ETV4",-0.0470451598569646,0.641097718113026,0.78664991552592
"DUSP3",0.0939896412449651,0.257088481495963,0.464137596546908
"MPP3",-0.32221527953413,0.0023228520107562,0.0285514933536261
"MPP2",-0.112530195114891,0.143272360221361,0.327449481346939
"PYY",0.0414764977722981,0.798182825058653,0.886864927580381
"TMEM101",-0.0212791386839816,0.7926340449451,0.883808010846665
"LSM12",-0.0364336785060865,0.48010358975933,0.670435393768043
"G6PC3",-0.107621796107068,0.133225265793992,0.313864542532157
"HDAC5",0.0463479491127904,0.221290298119581,0.42416540979085
"ASB16",-0.204634145633359,0.153584005956921,0.341327708619487
"TMUB2",-0.0738339303003122,0.326857144888137,0.535344136856172
"ATXN7L3",-0.116984287581666,0.28043299846722,0.488386576739742
"UBTF",0.196495859114128,0.000385875348649749,0.00975870881728101
"RUNDC3A",-0.177065213506705,0.0922989810108348,0.25328608948765
"SLC25A39",0.353068179643254,0.00384290617659638,0.0391622478128145
"GRN",0.0850610056065934,0.285966837542839,0.493997884412076
"FAM171A2",-0.345020576233024,0.0721958595040086,0.220194706121997
"ITGA2B",0.0317728033376588,0.811517585481781,0.89469091808632
"GPATCH8",-0.0584750544382361,0.0471437907193503,0.173622107078634
"MEIOC",-0.256176817737721,0.083590541662656,0.239528272080836
"CCDC43",-0.00781545386887062,0.937430640353128,0.967522132320456
"DBF4B",-0.181499039530664,0.0268271671042792,0.125100919456817
"ADAM11",-0.235184041974227,0.157243929393465,0.346266229863974
"EFTUD2",-0.284072841217738,0.0115235770147611,0.0759575353015531
"GFAP",0.154442894044896,0.421901495647991,0.622892790549984
"DCAKD",-0.10305886251123,0.283975837221919,0.491715363508698
"NMT1",0.188997862729595,0.019726565096899,0.104007386485707
"ACBD4",-0.047474997234326,0.650379567749201,0.79301385199446
"HEXIM1",0.348232006589211,0.0124702348180267,0.0792233927201632
"HEXIM2",-0.19084707523344,0.110851058001995,0.281719916070697
"MAP3K14",0.100748009385752,0.180591605086982,0.376305897130971
"ARHGAP27",-0.0235146169029868,0.915282140765568,0.954623195044887
"PLEKHM1",-0.14355090702283,0.206257068606476,0.406539246899365
"LINC02210-CRHR1",0.00878591975954363,0.903294684928216,0.948130419755247
"MAPT",0.135638504729213,0.0581472724392463,0.194371898113176
"KANSL1",-0.123772860565084,0.115390977575193,0.287885040086932
"ARL17B",-0.0835290732238686,0.731728644774787,0.848261689044088
"LRRC37A",0.0355621298385606,0.712758711140734,0.836569989435118
"LRRC37A2",-0.106723018732542,0.450458844141281,0.647198376417246
"ARL17A",-0.357427493553541,0.0810423596921314,0.23585648691989
"NSF",-0.0762361941784432,0.508114750967452,0.693148171949435
"WNT3",-0.483575424134066,0.00186391818114132,0.0249206937938613
"AC005670.2",-0.302925189523487,0.0273630445257476,0.126379660331793
"RPRML",-0.678565952834499,0.00773071289710803,0.0589793302530128
"CDC27",-0.0152741562549165,0.666584212320675,0.804471324413498
"EFCAB13",0.605200898718,1.03609171396454e-06,0.000186076065499255
"NPEPPS",0.0726872386164092,0.00533578074426536,0.0479833055028566
"KPNB1",0.00371981228817017,0.931835009728084,0.964311385782853
"TBKBP1",-0.262788176365332,0.136824964724237,0.318410321664365
"MRPL10",0.206281621676143,0.00080724395567372,0.0154611547120691
"SCRN2",-0.254472521653113,0.0564756702320786,0.191448689295968
"SP2",0.123278365047108,0.206487337533093,0.406544500589464
"PNPO",-0.521248900207347,2.59639561727201e-08,1.65408986947743e-05
"CDK5RAP3",-0.0545793042030923,0.357737713506187,0.564652368585997
"COPZ2",0.380100984537484,0.0100857968244298,0.069784028056021
"NFE2L1",0.158674110899144,0.0822672845762579,0.237717514199807
"CBX1",0.165031070714473,4.351709418666e-05,0.00250820386586554
"SNX11",0.0173633575182453,0.75801146904131,0.863352768783081
"SKAP1",-0.295414665351915,0.0632810623552237,0.204426205606343
"CALCOCO2",0.084699540625851,0.224425409425955,0.428452751599154
"ATP5MC1",0.0338085970711313,0.768808217888091,0.869820560381969
"UBE2Z",0.105145067380848,0.0719648724644446,0.219869008772041
"SNF8",0.102971148151112,0.188212697154166,0.385573110123065
"ZNF652",0.262812865405509,0.0275441770500607,0.126762778395577
"PHB",0.203548551886703,0.0771651265568941,0.228851726917479
"NGFR",0.765283675409354,0.000516908425583353,0.0116889219157462
"SPOP",0.0856798545270468,0.00504703925172839,0.046500305135627
"SLC35B1",0.0734850299987725,0.369696637323154,0.576116791965358
"FAM117A",0.163060851943131,0.365203296361104,0.57213644102488
"KAT7",0.071525666668112,0.0406483608450364,0.159186024855039
"TAC4",-0.101847690030613,0.55510180323448,0.726457022460838
"ITGA3",-0.301028050834185,0.0935356242737065,0.254913889597486
"PDK2",-0.0298540563466902,0.67255536854067,0.809470292050892
"PPP1R9B",0.227095205168171,0.100583817090948,0.26633219260492
"XYLT2",-0.102163009774614,0.502747451021826,0.689469501224266
"MRPL27",-0.0376273303826539,0.732039893857021,0.848261689044088
"LRRC59",0.0892171758994118,0.316081482402019,0.524558956733069
"RSAD1",0.107525914902602,0.199206210679396,0.398026985285244
"MYCBPAP",0.29497780318547,0.0763895530927425,0.227498039395642
"SPATA20",-0.617326912003798,3.05871939736416e-05,0.00198448433361972
"ANKRD40",0.284210380756709,0.000466460322289948,0.0109893085814012
"LUC7L3",0.123807322826535,0.0770920708859028,0.228710783437421
"TOB1",0.24768330345799,0.00656507041170769,0.05402015441028
"SPAG9",0.012678844784005,0.615052886755171,0.768460012121937
"MBTD1",-0.0236110334825197,0.426572065150093,0.627651511676556
"UTP18",0.0272472052330452,0.557438197167292,0.728284042097743
"CA10",-0.257815620606532,0.0820501856846383,0.237229561596836
"TOM1L1",-0.0833780713591758,0.620570056607228,0.77217633712991
"COX11",0.126515539385787,0.00164925013411612,0.0237094056403329
"STXBP4",-0.107519355822985,0.00557404138371645,0.0492338464289568
