gene_name,anno
PLLP,Myelination
MYRF,Myelination
MAG,Myelination
OPALIN,Myelination
SREBF1,Sterol tf
PLP1,Myelination
SCAP,Cholesterol
MVK,Cholesterol
FDPS,Cholesterol
ABCG1,Cholesterol
HMGCS1,Cholesterol
IDI1,Cholesterol
LDLR,Cholesterol
INSIG1,Cholesterol
SREBF2,Sterol tf
SQLE,Cholesterol
DHCR7,Cholesterol
DHCR24,Cholesterol
FDFT1,Cholesterol
LSS,Cholesterol
