feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,class.power,grp
FKBP5,1,0.985589652,0.515127183,495295021.5,0.672635396,0,0,65.78204404,32.55552188,0.345270792,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZBTB16,1,1.105446617,0.493928899,489578281.5,0.664871777,0,0,72.68335529,41.37841465,0.329743555,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SORCS2,1,0.695221615,0.417202424,480512228,0.652559624,0,0,51.27046866,21.17840599,0.305119247,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ANLN,1,1.046014697,0.403863493,470493825.5,0.638954132,0,0,71.89597842,44.10580545,0.277908265,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDKL1,1,0.62814483,0.357521122,468056267,0.635643806,0,0,47.97666102,20.80176631,0.271287612,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HSPA1A,1,0.574843555,0.425498364,466823994,0.633970318,0,0,38.15484033,12.40746353,0.267940635,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PLCL1,1,2.403033572,0.410320044,465633456,0.632353508,0,0,94.77696217,87.22888437,0.264707015,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GRID2,1,0.758059569,0.456876314,464570786,0.630910349,0,0,43.9425309,18.58089095,0.261820697,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HSP90AA1,1,1.601986241,0.413350625,464459850,0.630759692,0,0,86.62400402,70.60911728,0.261519384,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MAP7,1,2.487976702,0.308686203,462824384,0.628538647,0,0,96.81912291,92.50183991,0.257077295,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PNISR,1,1.097411245,0.364030267,461049284,0.626127973,0,0,75.88305414,51.24897182,0.252255946,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NCAM2,1,2.777450579,0.37937806,459070568.5,0.623440778,0,0,97.16105151,92.46720637,0.246881557,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TMEM98,1,0.640933729,0.310982952,458989155,0.623330215,0,0,50.75600728,25.49461016,0.246660429,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ADARB2,1,1.050560002,0.369073377,457698240,0.621577088,0,0,68.84685363,45.76388588,0.243154175,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MAN2A1,1,2.291969331,0.380023266,456983996.5,0.620607109,0,0,94.12761152,85.98640634,0.241214219,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LRRC1,1,0.846988137,0.325027359,456764553,0.620309094,0,0,62.81134325,38.4691978,0.240618188,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF365,1,0.890538296,0.3797203,456372830.5,0.619777115,0,0,56.75387415,34.16598121,0.239554231,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SELENOP,1,0.941186342,0.344242594,455230733.5,0.61822609,0,0,64.79390175,41.85462574,0.236452181,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF652,1,0.998073876,0.340621435,454321800.5,0.616991714,0,0,68.60217078,46.15784233,0.233983428,APOE34 & APOE44 vs APOE33 (AD and nonAD)
QDPR,1,1.71250232,0.395415731,454222620.5,0.616857023,0,0,86.45147123,70.57881294,0.233714045,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLC22A23,1,1.196306663,0.357652251,454116764.5,0.616713265,0,0,75.12704687,55.56084679,0.23342653,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ELMO1,1,2.656530057,0.255121321,452031882,0.61388189,0,0,97.5970889,95.35910645,0.22776378,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LRP4,1,0.662073485,0.274092626,449854443.5,0.61092482,0,0,53.21852061,29.58569635,0.22184964,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PDE1C,1,2.088224901,0.332182896,448819818.5,0.609519747,0,0,91.89095928,83.63132603,0.219039495,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HP1BP3,1,0.863771043,0.280702586,446439423,0.606287051,0,0,66.41884685,43.58630244,0.212574103,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NCAM1,1,2.295540191,0.262230398,443329562.5,0.602063705,0,0,95.89999373,90.83943028,0.204127411,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ADIPOR2,1,1.210484924,0.303943386,441806145,0.599994828,0,0,76.64533534,58.30122516,0.199989657,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RGCC,1,0.660843425,0.240139798,441019605,0.598926668,0,0,54.21293682,32.6507641,0.197853335,APOE34 & APOE44 vs APOE33 (AD and nonAD)
APOLD1,1,0.461810793,0.242967399,440682254,0.598468528,0,0,37.08827404,16.8751894,0.196937056,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NDRG2,1,0.709487084,0.244172236,440386370,0.598066703,0,0,57.00169396,35.55998095,0.196133406,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DIP2C,1,1.971312873,0.25831368,439636244,0.597047994,0,0,92.2548466,85.82622624,0.194095989,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SEM1,1,0.505664522,0.240791701,439477508.5,0.596832424,0,0,40.56716231,20.83207065,0.193664847,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DDX17,1,1.502967542,0.287121769,439271896.5,0.596553192,0,0,86.9282891,72.47066973,0.193106384,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KCNMB4,1,1.235520468,0.312461858,439025742,0.596218902,0,0,73.38603426,56.3963808,0.192437804,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZDHHC20,1,0.959637998,0.292409885,438800064.5,0.595912421,0,0,63.36344815,44.16641413,0.191824841,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CRYAB,1,1.13725532,0.309724259,438670434.5,0.595736377,0,0,70.16123973,52.41785359,0.191472753,APOE34 & APOE44 vs APOE33 (AD and nonAD)
8-Sep,1,0.716059847,0.235675713,438569867,0.595599801,0,0,58.33803877,36.85440928,0.191199602,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ANAPC16,1,0.591395693,0.219505022,438104602,0.594967948,0,0,50.5677897,29.78916836,0.189935896,APOE34 & APOE44 vs APOE33 (AD and nonAD)
XPO1,1,0.550116705,0.214249307,437228808,0.593778576,0,0,47.59081498,27.27823715,0.187557152,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SGK1,1,1.825178852,0.322763523,436709068.5,0.593072744,5.91E-306,1.49E-303,89.69195056,76.27170007,0.186145487,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DOCK5,1,2.094087694,0.257076386,436314225.5,0.592536527,1.95E-301,4.85E-299,94.14957024,87.62717001,0.185073054,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLC38A2,1,0.679743314,0.232465295,434831034.5,0.59052228,0,0,53.83022774,34.77639725,0.181044559,APOE34 & APOE44 vs APOE33 (AD and nonAD)
