gene_name,anno,grp2,logFC,padj,p.signif
PLP1,Myelination,E4+_E33_ALL,-0.02735648,1.98e-7,***
PLP1,Myelination,E34_E33_AD,-0.258087033,9.32e-48,***
PLP1,Myelination,E34_E33_noAD,0.083919409,4.96e-53,***
OPALIN,Myelination,E4+_E33_ALL,-0.110211119,7.46e-50,***
OPALIN,Myelination,E34_E33_AD,-0.062726573,1.22e-6,***
OPALIN,Myelination,E34_E33_noAD,-0.119669574,1.0800000000000001e-27,***
PLLP,Myelination,E4+_E33_ALL,-0.154232939,3.97e-132,***
PLLP,Myelination,E34_E33_AD,-0.049717507,7.82e-5,***
PLLP,Myelination,E34_E33_noAD,-0.198441926,2.9399999999999997e-133,***
MYRF,Myelination,E4+_E33_ALL,-0.113201544,5.249999999999999e-88,***
MYRF,Myelination,E34_E33_AD,-0.037710655,0.003298662,***
MYRF,Myelination,E34_E33_noAD,-0.145091682,4.27e-102,***
MAG,Myelination,E4+_E33_ALL,-0.125411824,4.3999999999999995e-89,***
MAG,Myelination,E34_E33_AD,0.031452962,0.015681301,*
MAG,Myelination,E34_E33_noAD,-0.20141427,3e-136,***
MOG,Myelination,E4+_E33_ALL,-0.021445844,5.82e-13,***
MOG,Myelination,E34_E33_AD,0.077971422,1.36e-11,***
MOG,Myelination,E34_E33_noAD,-0.003659016,1.03e-10,***
DHCR24,Cholesterol,E4+_E33_ALL,0.117836952,0,***
DHCR24,Cholesterol,E34_E33_AD,0.073460265,2.8099999999999998e-30,***
DHCR24,Cholesterol,E34_E33_noAD,0.152442373,0,***
LPCAT3,Cholesterol,E4+_E33_ALL,-0.008368843,5.97028e-4,***
LPCAT3,Cholesterol,E34_E33_AD,-0.020626954,0.001480353,***
LPCAT3,Cholesterol,E34_E33_noAD,1.03299e-4,3.1e-16,***
SCP2,Cholesterol,E4+_E33_ALL,0.001230042,1.44e-11,***
SCP2,Cholesterol,E34_E33_AD,-0.003798271,0.789254013,
SCP2,Cholesterol,E34_E33_noAD,0.012576867,2.19e-32,***
PRKN,Cholesterol,E4+_E33_ALL,0.018539619,0.060463191,
PRKN,Cholesterol,E34_E33_AD,0.066340885,1.6e-5,***
PRKN,Cholesterol,E34_E33_noAD,-0.028909201,0.00374332,***
SEC23A,Cholesterol,E4+_E33_ALL,0.002407641,9.91e-16,***
SEC23A,Cholesterol,E34_E33_AD,-0.007220903,0.746293469,
SEC23A,Cholesterol,E34_E33_noAD,0.012546739,8.82e-33,***
PCYT1B,Cholesterol,E4+_E33_ALL,0.001375718,4.42e-12,***
PCYT1B,Cholesterol,E34_E33_AD,-0.009183791,0.401468911,
PCYT1B,Cholesterol,E34_E33_noAD,0.018188398,2.69e-36,***
MBTPS1,Cholesterol,E4+_E33_ALL,0.041920418,2.14e-74,***
MBTPS1,Cholesterol,E34_E33_AD,0.009208231,0.222497337,
MBTPS1,Cholesterol,E34_E33_noAD,0.073190718,1.7799999999999998e-125,***
LPIN1,Cholesterol,E4+_E33_ALL,0.046575223,1.11e-78,***
LPIN1,Cholesterol,E34_E33_AD,0.02774101,2.05412e-4,***
LPIN1,Cholesterol,E34_E33_noAD,0.064657683,1.9499999999999998e-104,***
LBR,Cholesterol,E4+_E33_ALL,0.034763397,6.42e-78,***
LBR,Cholesterol,E34_E33_AD,4.18839e-4,0.419935007,
