gene_name,anno
DHCR24,Cholesterol
LPCAT3,Cholesterol
SCP2,Cholesterol
PRKN,Cholesterol
SEC23A,Cholesterol
PCYT1B,Cholesterol
MBTPS1,Cholesterol
LPIN1,Cholesterol
LBR,Cholesterol
NR1H2,Cholesterol
IRS2,Cholesterol
LPIN2,Cholesterol
