Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188976,NOC2L,11,-1.9041,38,-0.0587,1,-5.2533,39,-0.0225,16,-1.4501,86,2.00763
ENSG00000188290,HES4,1168,3.16662,25,-3.6515,242,-0.2334,63,-2.3007,223,-0.3617,112,-1.6112
ENSG00000187608,ISG15,51,-1.1013,49,-1.1768,141,0.55776,65,-0.7306,82,-0.3744,164,1.07359
ENSG00000188157,AGRN,11,-1.6615,0,-6.6017,77,1.52038,29,-0.2176,1,-4.5282,58,1.27716
ENSG00000078808,SDF4,139,0.50669,59,-0.9073,162,0.78733,49,-1.2065,90,-0.2336,113,0.18129
ENSG00000176022,B3GALT6,12,-1.3694,6,-2.2837,65,1.47611,25,-0.2202,1,-4.3308,47,1.06822
ENSG00000160087,UBE2J2,11,-1.4258,16,-0.8842,15,-1.0614,48,0.91188,20,-0.6173,45,1.02133
ENSG00000131584,ACAP3,11,-3.1860,129,0.54120,74,-0.3928,117,0.36106,52,-0.9525,139,0.84781
ENSG00000127054,INTS11,11,-2.1139,51,0.19274,79,0.98256,41,-0.1758,1,-4.8576,67,0.86151
ENSG00000107404,DVL1,324,2.32472,36,-1.6433,6,-4.1166,100,-0.0328,82,-0.3573,81,-0.4246
ENSG00000175756,AURKAIP1,157,0.13937,41,-1.9653,197,0.52725,188,0.44837,75,-1.0616,178,0.43558
ENSG00000221978,CCNL2,11,-2.4696,67,0.23004,80,0.54382,19,-1.7381,87,0.69501,72,0.43980
ENSG00000242485,MRPL20,572,1.75051,83,-1.5886,156,-0.6093,175,-0.4333,224,-0.0270,190,-0.3468
ENSG00000205090,TMEM240,11,-1.6913,1,-5.2551,27,-0.3954,66,1.18670,26,-0.4266,54,1.02523
ENSG00000160075,SSU72,196,0.12931,26,-2.9652,258,0.61007,182,0.00060,151,-0.3064,230,0.49462
