Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to12,Feature log2 fold change topic 5to12
ENSG00000228794,LINC01128,2,-3.5466,18,-0.3798,18,-0.4009,35,0.64733,26,0.49347
ENSG00000188976,NOC2L,60,0.17610,15,-1.9204,24,-1.2324,48,-0.1579,62,0.74983
ENSG00000188290,HES4,46,-0.7848,164,1.25750,66,-0.2142,60,-0.3628,72,-0.2157
ENSG00000187608,ISG15,62,-0.4462,144,0.91218,62,-0.4450,70,-0.2522,81,-0.0568
ENSG00000188157,AGRN,17,-1.3875,33,-0.3655,31,-0.4512,46,0.13707,47,0.56410
ENSG00000131591,C1orf159,5,-1.3667,7,-0.8706,22,0.79787,20,0.66084,13,-0.0658
ENSG00000078808,SDF4,10,-3.0108,104,0.45506,56,-0.5164,108,0.51452,82,0.24539
ENSG00000176022,B3GALT6,0,-5.5172,14,-1.4508,36,-0.0104,53,0.61431,41,0.66998
ENSG00000160087,UBE2J2,29,-0.7943,27,-0.8641,35,-0.4911,68,0.55086,52,0.39383
ENSG00000162572,SCNN1D,5,-1.3571,23,0.80551,8,-0.7076,6,-1.2286,15,0.49816
ENSG00000131584,ACAP3,186,0.76665,61,-0.9816,95,-0.3074,143,0.33605,113,-0.1026
ENSG00000169972,PUSL1,0,-4.0553,14,0.11849,13,0.05064,7,-0.8626,15,0.75191
ENSG00000127054,INTS11,61,-0.0378,68,0.15466,47,-0.4181,64,0.04429,63,0.06989
ENSG00000224051,CPTP,19,-0.9498,27,-0.4427,29,-0.3403,34,-0.0695,40,0.55161
ENSG00000107404,DVL1,21,-1.6458,73,0.20581,112,0.88870,62,-0.0647,63,-0.0889
ENSG00000175756,AURKAIP1,143,-0.3115,234,0.46171,200,0.21552,153,-0.2055,171,-0.0946
ENSG00000221978,CCNL2,56,-0.0609,67,0.21767,33,-0.8787,57,-0.0132,60,0.18471
ENSG00000242485,MRPL20,244,0.46530,188,0.04641,181,-0.0127,149,-0.3169,178,-0.0943
ENSG00000235098,ANKRD65,0,-4.6615,31,0.61886,21,-0.0423,13,-0.7034,24,0.50841
ENSG00000179403,VWA1,0,-5.2382,102,2.12230,24,-0.3151,8,-1.9399,28,-0.2766
ENSG00000160072,ATAD3B,28,0.89850,7,-1.0911,13,-0.2598,13,-0.3251,16,0.06065
ENSG00000197785,ATAD3A,16,-0.2288,19,0.01681,12,-0.7131,22,0.25340,20,0.17782
ENSG00000205090,TMEM240,124,1.48133,11,-2.2140,39,-0.3990,43,-0.2549,49,-0.1507
ENSG00000160075,SSU72,44,-1.8487,117,-0.3759,158,0.09499,195,0.42976,159,0.30801
ENSG00000228594,FNDC10,95,1.13588,21,-1.2134,33,-0.5625,48,0.00489,46,-0.0803
ENSG00000272106,AL691432.2,0,-4.6790,14,-0.6176,20,-0.0388,14,-0.5889,25,1.02022
ENSG00000197530,MIB2,123,1.47133,72,0.56694,40,-0.3634,49,-0.0347,40,-0.8123
ENSG00000215790,SLC35E2A,15,-1.7181,32,-0.6328,45,-0.1092,59,0.32792,54,0.49093
ENSG00000008130,NADK,0,-5.3654,27,-0.2783,40,0.33942,36,0.17385,36,0.44886
ENSG00000078369,GNB1,422,-0.1429,247,-0.9631,431,-0.1115,506,0.14132,493,0.29622
ENSG00000187730,GABRD,46,-1.8535,23,-2.8286,110,-0.5481,273,0.90283,178,0.65517
ENSG00000067606,PRKCZ,99,-1.2611,57,-2.0759,173,-0.4137,269,0.27804,264,0.81907
ENSG00000162585,FAAP20,33,-0.7911,108,1.08560,61,0.14184,27,-1.0894,55,-0.0672
ENSG00000157933,SKI,7,-2.3550,42,0.25684,31,-0.2057,33,-0.1535,40,0.47872
ENSG00000157916,RER1,92,0.28616,70,-0.1280,63,-0.2989,84,0.14534,76,-0.0221
ENSG00000157911,PEX10,56,0.63950,44,0.23089,48,0.38736,30,-0.3700,34,-0.3694
ENSG00000149527,PLCH2,2,-4.0145,8,-2.1726,25,-0.4619,51,0.65546,40,0.88955
ENSG00000157881,PANK4,1,-4.1917,8,-1.1694,13,-0.4411,12,-0.5985,22,1.35832
ENSG00000197921,HES5,10,-1.2657,39,0.79683,50,1.20248,10,-1.2631,22,-0.3080
ENSG00000157873,TNFRSF14,0,-4.2466,21,0.52279,12,-0.2526,17,0.18110,16,0.32964
ENSG00000157870,PRXL2B,97,0.24495,32,-1.4350,86,0.05917,103,0.35164,84,0.08582
ENSG00000177133,PRDM16-DT,41,0.68404,17,-0.7287,57,1.21438,4,-2.6027,25,-0.2222
ENSG00000158109,TPRG1L,79,-1.3443,47,-2.1302,163,-0.2608,230,0.28524,224,0.78292
ENSG00000116213,WRAP73,28,0.97141,18,0.23417,12,-0.4046,14,-0.1813,14,-0.3326
ENSG00000130764,LRRC47,6,-3.7679,41,-1.0791,71,-0.2535,102,0.31447,97,0.82342
ENSG00000116198,CEP104,2,-2.7036,22,0.68786,9,-0.6488,17,0.20063,15,0.28549
ENSG00000196581,AJAP1,42,-0.1152,7,-2.7228,37,-0.2794,77,0.87297,47,0.19893
ENSG00000069424,KCNAB2,83,-1.6327,111,-1.2015,299,0.33108,202,-0.2889,278,0.67574
ENSG00000116254,CHD5,76,-0.9334,34,-2.1291,131,-0.0926,153,0.15260,159,0.69372
ENSG00000116251,RPL22,966,0.76382,1240,1.18842,675,0.18167,306,-1.0351,504,-0.6596
ENSG00000116237,ICMT,23,-0.9257,22,-1.0308,36,-0.2991,73,0.83917,46,0.24337
ENSG00000158292,GPR153,0,-4.3903,11,-0.5873,25,0.68581,17,0.06122,18,0.39433
ENSG00000097021,ACOT7,129,-1.2089,66,-2.1895,184,-0.6727,491,0.88618,317,0.54533
ENSG00000215788,TNFRSF25,15,-0.6937,20,-0.2225,24,0.02793,31,0.45843,24,0.07843
ENSG00000171680,PLEKHG5,16,-0.9978,8,-2.0648,28,-0.2001,33,0.07884,37,0.77816
ENSG00000162408,NOL9,0,-5.4204,16,-1.1385,31,-0.1095,28,-0.2913,41,1.10473
ENSG00000162413,KLHL21,3,-3.4482,46,0.60259,28,-0.1817,40,0.37486,33,0.15967
ENSG00000116273,PHF13,19,-0.0605,13,-0.6616,12,-0.7482,34,0.88413,20,0.02463
ENSG00000041988,THAP3,0,-4.7897,27,0.33899,21,-0.0222,27,0.33534,23,0.28150
ENSG00000007923,DNAJC11,22,-0.5384,17,-0.8928,32,0.02645,48,0.69546,32,0.09641
ENSG00000171735,CAMTA1,155,-0.2584,204,0.16772,159,-0.2262,149,-0.3215,192,0.20042
ENSG00000049245,VAMP3,0,-5.1554,106,2.23745,32,0.15179,7,-2.0557,25,-0.5090
ENSG00000049246,PER3,69,1.06883,52,0.57750,37,0.02760,26,-0.4828,31,-0.5668
ENSG00000116288,PARK7,425,0.13005,374,-0.0719,426,0.13372,345,-0.1953,391,-0.0064
ENSG00000116285,ERRFI1,0,-4.7653,17,-0.3652,10,-1.1334,33,0.71737,24,0.67023
ENSG00000162426,SLC45A1,3,-3.5239,10,-1.8159,37,0.08484,78,1.29760,37,0.19772
ENSG00000142599,RERE,46,-1.2538,101,-0.0608,104,-0.0145,132,0.37117,109,0.19048
ENSG00000074800,ENO1,462,-0.5540,749,0.19992,621,-0.0974,716,0.12812,672,0.07721
ENSG00000171612,SLC25A33,1,-4.9057,75,1.29114,61,0.93071,20,-0.7691,31,-0.3141
ENSG00000188807,TMEM201,7,-1.1720,11,-0.4755,14,-0.0873,14,-0.1083,17,0.53353
ENSG00000171603,CLSTN1,588,-0.2787,305,-1.2784,430,-0.7607,1166,0.81824,744,0.25755
ENSG00000178585,CTNNBIP1,43,0.16820,31,-0.3391,48,0.37136,24,-0.7220,39,0.10614
ENSG00000162441,LZIC,25,-0.4762,63,1.01910,36,0.11463,25,-0.4274,32,-0.2312
ENSG00000130939,UBE4B,5,-2.7768,24,-0.5886,22,-0.7113,50,0.52864,41,0.67375
ENSG00000054523,KIF1B,159,-0.7525,143,-0.9155,268,0.04999,282,0.13013,283,0.40809
ENSG00000142657,PGD,26,-0.9237,38,-0.3272,33,-0.5715,61,0.39915,51,0.37698
ENSG00000241563,CORT,8,-3.2929,34,-1.2699,38,-1.0958,22,-1.9271,105,2.02129
ENSG00000160049,DFFA,66,1.35601,37,0.41956,31,0.09812,16,-0.8949,24,-0.6079
ENSG00000142655,PEX14,0,-4.7314,16,-0.4317,24,0.19932,26,0.37170,23,0.46206
ENSG00000120948,TARDBP,52,-0.4886,65,-0.1432,59,-0.2903,100,0.53914,72,0.06904
ENSG00000116649,SRM,88,-0.4130,80,-0.5606,129,0.18808,124,0.12190,120,0.18250
ENSG00000171824,EXOSC10,44,0.70112,28,0.02426,20,-0.5161,33,0.24741,26,-0.2356
ENSG00000198793,MTOR,0,-5.6260,25,-0.7046,34,-0.2338,59,0.65708,44,0.57106
ENSG00000204624,DISP3,5,-1.4163,26,0.96638,13,-0.1110,16,0.20395,14,-0.1460
ENSG00000116661,FBXO2,141,-1.2794,1211,2.30019,399,0.32288,220,-0.6078,242,-1.0217
ENSG00000132879,FBXO44,128,-0.4002,56,-1.6316,119,-0.5081,224,0.48151,182,0.46689
ENSG00000116670,MAD2L2,0,-5.3169,46,0.62763,29,-0.1090,35,0.16387,33,0.25274
