"sample_id","qc_anno","local_outliers","drop","n","precent"
"Br1039","None",FALSE,FALSE,3906,99.668282725185
"Br1039","None",TRUE,TRUE,13,0.331717274815004
"Br1289","None",FALSE,FALSE,3629,99.0717990717991
"Br1289","None",TRUE,TRUE,14,0.382200382200382
"Br1289","out_edge",FALSE,FALSE,19,0.518700518700519
"Br1289","out_tissue",FALSE,TRUE,1,0.0273000273000273
"Br1556","None",FALSE,FALSE,3485,98.6134691567629
"Br1556","None",TRUE,TRUE,7,0.198075834748161
"Br1556","out_edge",FALSE,FALSE,39,1.10356536502547
"Br1556","out_edge",TRUE,TRUE,3,0.0848896434634974
"Br1691","None",FALSE,FALSE,4133,98.7338748208313
"Br1691","None",TRUE,TRUE,23,0.549450549450549
"Br1691","out_edge",FALSE,FALSE,28,0.668896321070234
"Br1691","out_edge",TRUE,TRUE,2,0.0477783086478739
"Br1706","None",FALSE,FALSE,3699,98.5348961108151
"Br1706","None",TRUE,TRUE,12,0.319659030367608
"Br1706","out_tissue",FALSE,TRUE,43,1.14544485881726
"Br2305","None",FALSE,FALSE,3069,99.5781959766385
"Br2305","None",TRUE,TRUE,13,0.421804023361454
"Br2582","None",FALSE,FALSE,2367,98.7896494156928
"Br2582","None",TRUE,TRUE,29,1.21035058430718
"Br3974","None",FALSE,FALSE,2722,99.7800586510264
"Br3974","None",TRUE,TRUE,6,0.219941348973607
"Br5161","None",FALSE,FALSE,4682,99.6170212765958
"Br5161","None",TRUE,TRUE,18,0.382978723404255
"Br5212","None",FALSE,FALSE,4674,99.9358563181527
"Br5212","None",TRUE,TRUE,3,0.064143681847338
"Br5276","fold",FALSE,FALSE,157,3.8698545723441
"Br5276","fold",TRUE,TRUE,7,0.172541286665023
"Br5276","None",FALSE,FALSE,3854,94.9963026867143
"Br5276","None",TRUE,TRUE,15,0.369731328567907
"Br5276","tail",FALSE,TRUE,24,0.591570125708652
"Br5367","None",FALSE,FALSE,2819,99.1558213155118
"Br5367","None",TRUE,TRUE,10,0.351741118536757
"Br5367","out_edge",FALSE,FALSE,9,0.316567006683081
"Br5367","out_edge",TRUE,TRUE,2,0.0703482237073514
"Br5367","out_tissue",FALSE,TRUE,1,0.0351741118536757
"Br5367","out_tissue",TRUE,TRUE,2,0.0703482237073514
"Br5415","None",FALSE,FALSE,3853,99.6895213454075
"Br5415","None",TRUE,TRUE,7,0.18111254851229
"Br5415","out_edge",FALSE,FALSE,5,0.129366106080207
"Br5426","None",FALSE,FALSE,4824,99.6694214876033
"Br5426","None",TRUE,TRUE,16,0.330578512396694
"Br5460","None",FALSE,FALSE,4025,99.1623552599162
"Br5460","None",TRUE,TRUE,11,0.2710027100271
"Br5460","out_edge",FALSE,FALSE,7,0.172456270017246
"Br5460","tail",FALSE,TRUE,16,0.394185760039419
"Br5517","None",FALSE,FALSE,3776,98.0524539080758
"Br5517","None",TRUE,TRUE,9,0.233705531030901
"Br5517","out_edge",FALSE,FALSE,8,0.207738249805245
"Br5517","out_edge",TRUE,TRUE,1,0.0259672812256557
"Br5517","tail",FALSE,TRUE,16,0.415476499610491
"Br5517","vessel",FALSE,FALSE,39,1.01272396780057
"Br5517","vessel",TRUE,TRUE,2,0.0519345624513113
"Br5529","None",FALSE,FALSE,4522,98.6689941086624
"Br5529","None",TRUE,TRUE,13,0.283656993235872
"Br5529","out_edge",FALSE,FALSE,10,0.218197687104517
"Br5529","vessel",FALSE,FALSE,38,0.829151210997163
"Br5599","None",FALSE,FALSE,4804,99.6680497925311
"Br5599","None",TRUE,TRUE,8,0.16597510373444
"Br5599","out_edge",FALSE,FALSE,8,0.16597510373444
"Br5634","None",FALSE,FALSE,4826,99.6489779062564
"Br5634","None",TRUE,TRUE,13,0.268428659921536
"Br5634","out_edge",FALSE,FALSE,4,0.0825934338220111
"Br5712","fold",FALSE,FALSE,204,5.98943041691133
"Br5712","fold",TRUE,TRUE,3,0.0880798590722255
"Br5712","None",FALSE,FALSE,3169,93.0416911332942
"Br5712","None",TRUE,TRUE,12,0.352319436288902
"Br5712","tail",FALSE,TRUE,18,0.528479154433353
"Br5832","None",FALSE,FALSE,3513,98.6797752808989
"Br5832","None",TRUE,TRUE,14,0.393258426966292
"Br5832","vessel",FALSE,FALSE,33,0.926966292134832
"Br5854","fold",FALSE,FALSE,288,8.04469273743017
"Br5854","None",FALSE,FALSE,3287,91.8156424581006
"Br5854","None",TRUE,TRUE,5,0.139664804469274
"Br5941","None",FALSE,FALSE,4869,99.9384236453202
"Br5941","None",TRUE,TRUE,3,0.061576354679803
"Br6085","None",FALSE,FALSE,3262,80.9228479285537
"Br6085","None",TRUE,TRUE,6,0.148846440089308
"Br6085","out_edge",FALSE,FALSE,21,0.520962540312577
"Br6085","out_edge",TRUE,TRUE,6,0.148846440089308
"Br6085","vessel",FALSE,FALSE,734,18.2088811709253
"Br6085","vessel",TRUE,TRUE,2,0.0496154800297693
"Br6098","fold",FALSE,FALSE,526,11.4322973266681
"Br6098","None",FALSE,FALSE,4044,87.8939361008476
"Br6098","None",TRUE,TRUE,9,0.19560965007607
"Br6098","out_tissue",FALSE,TRUE,22,0.478156922408172
"Br6161","None",FALSE,FALSE,4844,99.2622950819672
"Br6161","None",TRUE,TRUE,14,0.286885245901639
"Br6161","out_edge",FALSE,FALSE,8,0.163934426229508
"Br6161","out_edge",TRUE,TRUE,2,0.040983606557377
"Br6161","vessel",FALSE,FALSE,12,0.245901639344262
"Br6263","fold",FALSE,FALSE,233,7.21138966264314
"Br6263","fold",TRUE,TRUE,1,0.0309501702259362
"Br6263","None",FALSE,FALSE,2984,92.3553079541937
"Br6263","None",TRUE,TRUE,3,0.0928505106778087
"Br6263","out_edge",FALSE,FALSE,9,0.278551532033426
"Br6263","out_edge",TRUE,TRUE,1,0.0309501702259362
"Br6321","None",FALSE,FALSE,3557,97.5322182615849
"Br6321","None",TRUE,TRUE,6,0.164518782561009
"Br6321","vessel",FALSE,FALSE,84,2.30326295585413
"Br6423","None",FALSE,FALSE,4292,99.0080738177624
"Br6423","None",TRUE,TRUE,14,0.322952710495963
"Br6423","out_edge",FALSE,FALSE,23,0.530565167243368
"Br6423","out_edge",TRUE,TRUE,6,0.13840830449827
"Br6476","None",FALSE,FALSE,3941,98.7966908999749
"Br6476","None",TRUE,TRUE,12,0.300827275006267
"Br6476","out_edge",FALSE,FALSE,23,0.576585610428679
"Br6476","out_edge",TRUE,TRUE,13,0.325896214590123
"Br6538","None",FALSE,FALSE,4202,99.7152349311818
"Br6538","None",TRUE,TRUE,12,0.284765068818225
