traits,trait_description
ADHD,
PTSD,
Alzheimer Disease3,Alzheimer Disease
Anorexia,
Autism,
BMI,
Bipolar Disorder2,Bipolar
GSCAN_AgeSmk,Age of smoking
GSCAN_CigDay,Cigarettes per day
GSCAN_DrnkWk,Drinks per week
GSCAN_SmkCes,Smoking cessation
GSCAN_SmkInit,Smoking initiation
Height,
Type_2_Diabetes,Type 2 Diabetes
mdd2019edinburgh,Depression
epilepsy,Epilepsy
Intelligence,
Parkinson Disease,
Schizophrenia_PGC3,Schizophrenia
Education Years,
Neuroticism,
