"cluster","gwas","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"Astro","adhd","L2_0",0.377465690816165,0.442011896998151,0.0153764494599966,1.17099886891024,0.040736018753782,3.63168778515312e-05,2.47265230069362e-09,2.16652644366364e-09,1.14129800165851,0.253745933458997,0.521207863321183
"Astro","alcohol_ldscore","L2_0",0.377465690816165,0.451979331937904,0.0149944339155577,1.19740507000947,0.0397239650659015,7.12953320539776e-07,1.51996987452426e-10,5.42751128468695e-10,0.280049141272661,0.779439803345005,0.881459910685149
"Astro","Alzheimer_ldscore","L2_0",0.377465690816165,0.532941312810277,0.0444496807827849,1.4118933873379,0.117758201246515,0.000125168164726954,-2.70855691991858e-10,5.43789561189416e-10,-0.49808917147917,0.618421192514519,0.773662726437917
"Astro","Alzheimer_ldscore2","L2_0",0.377465690816165,0.501434860965133,0.0324812995842238,1.32842500170259,0.0860509984735088,0.000119449491648653,-6.61422655741376e-11,3.51788926449417e-10,-0.188016906165033,0.850863398319884,0.917242812373208
"Astro","Alzheimer_ldscore3","L2_0",0.377465690816165,0.489227015670344,0.0307993979126586,1.29608339929525,0.0815952248429876,4.39765401748338e-05,-5.88002773482595e-10,5.58758515056771e-10,-1.05233791993819,0.292644539901107,0.539175394726889
"Astro","Anorexia_ldscore","L2_0",0.377465690816165,0.45067184680759,0.0205582517392032,1.19394121842739,0.0544638949695048,0.000457720803448342,4.89198543622834e-09,4.26231475458369e-09,1.14772974730867,0.251080146885124,0.519240575871276
"Astro","AUD.EUR_META.NatMed2023","L2_0",0.377465690816165,0.439669159673326,0.0156976254915269,1.16479237814346,0.0415868935202696,5.05046024362577e-05,6.51082306868373e-10,1.22108883593783e-09,0.533198148821274,0.593896422833734,0.760589427159709
"Astro","autism_ldscore","L2_0",0.377465690816165,0.437967446554901,0.02555798635951,1.16028411908886,0.0677094289132553,0.0271496136661996,2.8953208863633e-09,4.44404102298658e-09,0.651506336549866,0.51471968803031,0.696240506201801
"Astro","bmi_ldscore","L2_0",0.377465690816165,0.462389867759336,0.0128015559659564,1.22498515496745,0.0339144888593095,7.4165047770148e-11,2.29041288337966e-09,1.81862281560981e-09,1.2594216149277,0.207878086253693,0.461276921322063
"Astro","bp_ldscore","L2_0",0.377465690816165,0.492674854271236,0.0188395140425111,1.30521757674443,0.0499105335951881,1.21503551604654e-09,5.08171088843546e-09,5.20699007253204e-09,0.975940191482705,0.329094103536792,0.565706148004968
