Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,3,-2.7843,32,0.85632,20,-0.2428,33,0.64143,8,-1.4472
ENSG00000188976,NOC2L,106,1.01392,57,-0.0030,57,-0.0050,47,-0.3342,21,-1.5308
ENSG00000188290,HES4,101,0.15128,69,-0.5437,91,-0.0071,222,1.51615,21,-2.2397
ENSG00000187608,ISG15,57,-0.4811,59,-0.5391,87,0.29855,117,0.68447,74,-0.0574
ENSG00000188157,AGRN,3,-3.0497,40,0.76399,27,-0.1133,33,0.25705,19,-0.6295
ENSG00000078808,SDF4,50,-0.5555,81,0.28197,66,-0.1749,77,0.13167,77,0.11397
ENSG00000176022,B3GALT6,3,-3.0453,31,0.33247,32,0.49860,29,0.15347,11,-1.3709
ENSG00000160087,UBE2J2,3,-3.6690,44,0.16719,52,0.62555,30,-0.4958,35,-0.2328
ENSG00000131584,ACAP3,351,1.66857,137,0.04120,105,-0.5553,86,-0.7037,76,-0.8784
ENSG00000127054,INTS11,94,0.55843,73,0.18352,49,-0.6869,81,0.30699,79,0.27229
ENSG00000224051,CPTP,3,-3.2239,34,0.25973,33,0.23744,43,0.56077,20,-0.6010
ENSG00000107404,DVL1,3,-4.4566,76,0.15109,90,0.62756,69,-0.0311,47,-0.6281
ENSG00000175756,AURKAIP1,122,-0.2042,127,-0.1873,137,-0.0329,219,0.74959,120,-0.2279
ENSG00000221978,CCNL2,236,2.19495,60,-0.2862,41,-1.0961,58,-0.2962,57,-0.3137
ENSG00000242485,MRPL20,426,1.24861,194,-0.0955,172,-0.3854,156,-0.4173,184,-0.1654
ENSG00000179403,VWA1,79,0.43342,22,-1.7476,21,-2.0078,80,0.45479,292,3.06599
ENSG00000197785,ATAD3A,3,-2.2661,19,0.42776,17,0.24270,15,-0.0497,11,-0.4789
ENSG00000205090,TMEM240,77,0.39749,56,-0.1476,76,0.61326,43,-0.5459,10,-2.6210
ENSG00000160075,SSU72,42,-1.8854,148,0.06787,175,0.50692,126,-0.2132,125,-0.2236
ENSG00000228594,FNDC10,67,0.90024,35,-0.2079,40,0.08935,44,0.20515,11,-1.8895
ENSG00000272106,AL691432.2,45,0.75651,28,0.00659,26,-0.1789,15,-0.9185,32,0.22366
ENSG00000197530,MIB2,72,0.91469,48,0.31619,29,-0.7742,46,0.16270,36,-0.2073
ENSG00000189339,SLC35E2B,3,-3.9679,73,0.84841,54,0.18087,43,-0.2439,20,-1.3710
ENSG00000008130,NADK,64,1.10944,39,0.35833,29,-0.2761,17,-1.0004,14,-1.2590
ENSG00000078369,GNB1,97,-2.1235,493,0.50029,440,0.28833,394,0.01071,189,-1.1314
ENSG00000187730,GABRD,55,-1.3881,195,0.81012,154,0.29741,100,-0.4881,8,-4.0859
ENSG00000067606,PRKCZ,81,-1.3658,225,0.29399,239,0.50747,159,-0.3356,91,-1.1807
ENSG00000162585,FAAP20,71,0.31060,36,-0.8884,70,0.45131,71,0.32140,54,-0.1309
ENSG00000157933,SKI,11,-1.5996,25,-0.4265,39,0.61310,33,0.09371,35,0.18257
ENSG00000157916,RER1,191,1.52614,73,-0.1465,60,-0.5809,69,-0.2042,64,-0.3106
ENSG00000157911,PEX10,55,0.76281,31,-0.2010,29,-0.3995,35,0.03562,45,0.45062
ENSG00000149527,PLCH2,3,-2.8321,33,0.78073,22,-0.1374,28,0.30987,14,-0.7456
ENSG00000157881,PANK4,47,1.24224,25,0.21238,16,-0.6702,23,0.01531,14,-0.7039
ENSG00000197921,HES5,3,-2.3887,12,-0.6980,17,0.02723,62,2.36653,0,-6.2651
ENSG00000157870,PRXL2B,3,-4.2198,78,0.55907,69,0.32941,71,0.26764,20,-1.6931
ENSG00000177133,PRDM16-DT,114,2.27785,26,-0.4327,21,-0.9283,38,0.27608,10,-1.8043
ENSG00000158109,TPRG1L,39,-2.0868,222,0.80557,167,0.17500,136,-0.2097,45,-1.8874
ENSG00000130764,LRRC47,3,-4.4555,93,0.60996,84,0.44378,48,-0.5949,39,-0.9206
ENSG00000116198,CEP104,3,-2.2263,12,-0.4456,17,0.30711,17,0.18216,26,0.91777
ENSG00000196581,AJAP1,3,-3.4004,68,1.79976,26,-0.6041,16,-1.1088,12,-1.5325
ENSG00000069424,KCNAB2,117,-1.1540,358,0.83773,261,0.13541,198,-0.3517,39,-2.7825
ENSG00000116254,CHD5,24,-2.6042,161,0.35776,188,0.88730,81,-0.8105,21,-2.7931
ENSG00000116251,RPL22,760,0.55006,398,-0.6018,389,-0.7284,833,0.70617,1083,1.16540
ENSG00000116237,ICMT,17,-1.0735,51,0.82303,28,-0.4815,44,0.35628,25,-0.5414
ENSG00000158292,GPR153,3,-2.2494,21,0.71233,16,0.08889,22,0.61590,0,-4.6972
ENSG00000097021,ACOT7,200,-0.3377,408,1.18886,205,-0.4244,162,-0.6626,68,-1.9732
ENSG00000215788,TNFRSF25,93,1.69855,40,0.27061,22,-0.9203,41,0.27963,5,-2.8858
ENSG00000171680,PLEKHG5,3,-3.2937,45,0.78467,37,0.40088,24,-0.4038,5,-2.5634
ENSG00000162408,NOL9,3,-3.3211,38,0.33154,38,0.43713,40,0.34438,13,-1.3919
ENSG00000162413,KLHL21,3,-3.4240,46,0.60697,31,-0.2441,49,0.56621,32,-0.1092
ENSG00000041988,THAP3,3,-2.6373,26,0.54803,20,0.03775,26,0.42494,12,-0.7711
ENSG00000007923,DNAJC11,3,-3.7509,50,0.28073,56,0.65391,24,-0.8987,35,-0.3294
ENSG00000171735,CAMTA1,3,-5.4792,125,-0.2771,211,1.08918,125,-0.2243,90,-0.7270
ENSG00000049245,VAMP3,3,-3.3600,15,-1.4084,18,-1.1974,67,1.18563,141,2.72391
ENSG00000049246,PER3,3,-3.0180,24,-0.1795,25,-0.0883,30,0.24224,55,1.26182
ENSG00000116288,PARK7,301,-0.0859,378,0.36991,252,-0.5219,453,0.57883,284,-0.1787
ENSG00000116285,ERRFI1,3,-2.2180,18,0.34625,18,0.52169,7,-1.0241,12,-0.2928
ENSG00000162426,SLC45A1,3,-3.3899,43,0.49829,35,0.10777,60,0.93926,6,-2.5417
ENSG00000142599,RERE,35,-1.3536,104,0.45351,83,-0.0458,87,0.04232,79,-0.1085
ENSG00000074800,ENO1,345,-0.9355,823,0.59118,529,-0.3943,952,0.68106,409,-0.6757
ENSG00000171612,SLC25A33,3,-3.2442,24,-0.4424,28,-0.1782,100,2.10917,16,-0.9646
ENSG00000188807,TMEM201,220,3.76323,17,-1.3745,16,-1.6451,9,-2.0528,20,-0.9330
ENSG00000171608,PIK3CD,3,-2.3188,16,-0.0523,22,0.80578,18,0.19827,5,-1.6358
ENSG00000171603,CLSTN1,344,-0.9827,917,0.78953,664,0.06588,519,-0.3483,193,-1.8480
ENSG00000178585,CTNNBIP1,3,-3.3295,24,-0.5880,47,1.00605,41,0.38834,22,-0.6114
ENSG00000162441,LZIC,3,-3.3030,19,-0.9473,32,0.05435,58,0.99329,69,1.31717
ENSG00000130939,UBE4B,3,-3.1724,40,0.70309,34,0.37051,15,-0.9899,17,-0.7751
ENSG00000054523,KIF1B,72,-1.9317,277,0.16775,302,0.43235,190,-0.4691,252,-0.0185
ENSG00000142657,PGD,49,0.04686,51,0.13796,52,0.21346,25,-0.9943,41,-0.2075
ENSG00000241563,CORT,3,-4.2670,65,0.10362,64,0.07740,143,1.41746,23,-1.5258
ENSG00000160049,DFFA,124,2.08358,30,-0.4751,28,-0.7146,27,-0.5201,32,-0.2885
ENSG00000142655,PEX14,3,-3.2425,52,1.29807,32,0.09152,11,-1.5000,6,-2.2930
ENSG00000120948,TARDBP,3,-4.1034,71,0.52345,54,-0.0648,59,0.10251,65,0.24764
ENSG00000116649,SRM,171,0.69299,117,0.08763,96,-0.3592,148,0.45166,68,-0.7762
ENSG00000171824,EXOSC10,38,0.64688,25,-0.0469,21,-0.4075,28,0.15932,29,0.20745
ENSG00000198793,MTOR,3,-3.6650,59,0.81505,44,0.15660,33,-0.3552,22,-0.9270
ENSG00000116661,FBXO2,393,0.36917,276,-0.2536,224,-0.7310,739,1.47441,274,-0.2104
ENSG00000132879,FBXO44,92,-0.6187,201,0.87961,132,-0.0828,85,-0.7419,59,-1.3043
ENSG00000116670,MAD2L2,35,0.29118,35,0.39369,20,-0.7662,34,0.25348,36,0.31634
ENSG00000177674,AGTRAP,46,1.17218,9,-1.6571,9,-1.7480,82,2.32383,36,0.74593
ENSG00000177000,MTHFR,3,-2.1201,18,0.56720,13,-0.1670,22,0.77246,7,-0.9434
ENSG00000011021,CLCN6,3,-4.0375,64,0.40168,62,0.39812,44,-0.2991,43,-0.3285
ENSG00000116685,KIAA2013,53,0.48234,34,-0.2725,34,-0.3561,48,0.32447,55,0.54066
ENSG00000083444,PLOD1,138,2.42950,17,-1.4086,23,-0.9912,61,0.85455,25,-0.6038
ENSG00000116688,MFN2,3,-4.6283,104,0.57367,91,0.32008,50,-0.7390,71,-0.1778
ENSG00000116691,MIIP,3,-2.4161,17,0.04015,19,0.24377,24,0.53381,16,-0.0987
ENSG00000048707,VPS13D,3,-3.9746,45,-0.2308,70,0.88772,55,0.12634,33,-0.6754
ENSG00000162496,DHRS3,53,0.67331,11,-2.0162,33,-0.1155,92,1.67344,39,0.16930
ENSG00000116731,PRDM2,100,0.47680,77,0.07990,70,-0.1217,73,-0.0268,56,-0.4326
ENSG00000189337,KAZN,3,-3.6662,30,-0.5715,49,0.47523,49,0.27398,69,0.86241
ENSG00000142634,EFHD2,23,-1.9519,35,-1.5928,155,2.00969,49,-0.8558,52,-0.7685
ENSG00000116138,DNAJC16,3,-2.6860,33,1.05861,17,-0.4679,27,0.41567,12,-0.8765
