med_cl,mediator_datatype,outcome_datatype,outcome_cl,med_cl_test
Astro.1,Xenium_cell_type_anno,Xenium_cell_type_anno,Oligo.3,Astro.1
Astro.2,Xenium_cell_type_anno,Xenium_cell_type_anno,Oligo.3,Astro.2
Astro.3,Xenium_cell_type_anno,Xenium_cell_type_anno,Oligo.3,Astro.3
Astro.1,Xenium_cell_type_anno,Xenium_Oligo.3_Astro,nn_Astro.1,Astro.1
Astro.2,Xenium_cell_type_anno,Xenium_Oligo.3_Astro,nn_Astro.2,Astro.2
Astro.3,Xenium_cell_type_anno,Xenium_Oligo.3_Astro,nn_Astro.3,Astro.3
Astro.1,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_high_nnA_Astro.1,Astro.1_APOE_high
Astro.2,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_high_nnA_Astro.2,Astro.2_APOE_high
Astro.3,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_high_nnA_Astro.3,Astro.3_APOE_high
Astro.1,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_low_nnA_Astro.1,Astro.1_APOE_low
Astro.2,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_low_nnA_Astro.2,Astro.2_APOE_low
Astro.3,Xenium_Oligo.3_Astro,Xenium_Oligo.3_Astro,APOE_low_nnA_Astro.3,Astro.3_APOE_low
