"med_cl_test","mediator_datatype","outcome_datatype","outcome_cl","n_donors","med_cl","mediator","outcome","fdr_base_SN","logFC_base_SN","t_base_SN","fdr_med_SN","logFC_med_SN","t_med_SN","P.Value_base","t_base","P.Value_med","t_med","P.Value_med_vec","t_med_vec","base_sig","base_dir","base_valid","med_sig","med_dir","med_vec_sig","mediated"
"Astro.1","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.1","NPTXR","ENC1",0.0237872721454464,1.60975046336347,3.81467953642508,0.123937431701882,0.740230344865428,2.39677376523395,0.0529522432331289,2.07406834529116,0.16330200507423,1.45779099368906,0.188540447584285,1.37046854772331,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Astro.1","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.1","NPTXR","GAD1",0.0245218129044273,1.74754742722435,3.76245573157731,0.0987551505066859,0.951113319740143,2.61421889796872,0.595220472019517,0.54104829408587,0.918115639523231,-0.104361736144385,0.0657958742368894,1.96775371719562,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"Astro.1","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.1","NPTXR","NPTXR",0.0178245159322355,1.20698965116002,4.15833855277672,0.128697241878944,0.563563995234707,2.3648905163895,0.0497281941415359,2.10630346682181,0.384345723233388,0.893192530814319,0.00126540400373993,3.86390212296412,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Astro.1","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.1","NPTXR","SLC17A7",0.0388135145867074,1.46900118063394,3.29668384223825,0.335225472729787,0.487019919792225,1.5008013206381,0.0453143770340579,2.1536696919353,0.114120938030417,1.66644696735807,0.626624090958225,0.495542387828406,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Astro.1","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.1","PLPPR4","ENC1",0.0237872721454464,1.60975046336347,3.81467953642508,0.761173221161569,0.262318733445107,0.770601560089226,0.0529522432331289,2.07406834529116,0.0994953786995144,1.74560486312466,0.0516128626318642,-2.09842192358723,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Astro.2","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.2","ABCA8","MBP",0.0297820775481512,-0.685728785216289,-3.54580610117468,0.719437996608449,-0.230157989659974,-1.18468535164781,0.988187887223407,0.0150154053929347,0.777336280514375,0.287417413268065,0.262810162849535,1.15896333847453,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Astro.2","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.2","FZD8","CABLES1",0.0123603372434196,2.1938976661019,4.62551225920503,0.776542357261782,0.954004622977663,1.99182136821204,0.0514972089366787,2.08838890347553,0.0562408385076873,2.0519903690473,0.57311551841355,-0.574795996341468,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"Astro.2","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.2","FZD8","CPNE4",0.034974331643835,1.87379194366352,3.3868758097133,0.982151550285954,-0.0908658047907611,-0.177518418023552,0.403019149370959,0.856782489358959,0.592030829508377,0.546412242637392,0.732658294044351,0.347380387200896,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Astro.2","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.2","FZD8","GAD1",0.0245218129044273,1.74754742722435,3.76245573157731,0.890024494151514,0.572752344322253,1.16152022956302,0.595220472019517,0.54104829408587,0.809087680750157,0.245476862818268,0.630711164485555,0.489736132599623,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"Astro.2","Xenium_cell_type_anno","Xenium_cell_type_anno","Oligo.3",16,"Astro.2","FZD8","GPM6A",0.00317124333553664,1.67504930526928,5.93327367973053,0.763880573513706,0.666679995375923,2.13648557927023,0.206220145555294,1.31219927896469,0.292226411755468,1.08769471295353,0.939468625041292,0.0770928091539401,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
