Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to9,Feature log2 fold change topic 2to9
ENSG00000188976,NOC2L,79,0.59509,52,-0.5950
ENSG00000188290,HES4,389,2.49126,69,-2.4912
ENSG00000187608,ISG15,197,1.50697,69,-1.5069
ENSG00000078808,SDF4,175,1.26224,73,-1.2622
ENSG00000160087,UBE2J2,60,0.34143,47,-0.3414
ENSG00000131584,ACAP3,56,-0.9321,106,0.93213
ENSG00000127054,INTS11,67,0.30998,54,-0.3099
ENSG00000224051,CPTP,99,1.49130,35,-1.4913
ENSG00000107404,DVL1,26,-1.7387,87,1.73871
ENSG00000175756,AURKAIP1,46,-1.4935,131,1.49350
ENSG00000221978,CCNL2,225,1.98302,57,-1.9830
ENSG00000242485,MRPL20,126,-0.5113,180,0.51132
ENSG00000205090,TMEM240,8,-3.1265,71,3.12657
ENSG00000160075,SSU72,195,0.35561,153,-0.3556
ENSG00000228594,FNDC10,19,-1.1747,43,1.17478
ENSG00000197530,MIB2,55,0.78303,32,-0.7830
ENSG00000189339,SLC35E2B,0,-5.3289,35,5.32898
ENSG00000078369,GNB1,289,-0.6216,446,0.62160
ENSG00000187730,GABRD,44,-2.0856,188,2.08561
ENSG00000067606,PRKCZ,23,-3.1522,208,3.15228
ENSG00000162585,FAAP20,87,0.86695,48,-0.8669
ENSG00000157933,SKI,100,0.87700,54,-0.8770
ENSG00000157916,RER1,83,0.60006,55,-0.6000
ENSG00000157870,PRXL2B,84,0.25064,70,-0.2506
ENSG00000158109,TPRG1L,177,-0.2100,205,0.21003
ENSG00000130764,LRRC47,60,-0.1263,66,0.12630
ENSG00000196581,AJAP1,0,-5.9887,56,5.98872
ENSG00000069424,KCNAB2,53,-2.4061,282,2.40611
ENSG00000116254,CHD5,23,-3.2257,223,3.22579
ENSG00000116251,RPL22,1452,1.68335,452,-1.6833
ENSG00000116237,ICMT,106,1.29823,43,-1.2982
ENSG00000097021,ACOT7,82,-1.7184,271,1.71841
ENSG00000162408,NOL9,43,-0.0690,45,0.06907
ENSG00000007923,DNAJC11,51,0.35282,40,-0.3528
ENSG00000171735,CAMTA1,228,0.14743,206,-0.1474
ENSG00000116288,PARK7,163,-0.7995,284,0.79953
ENSG00000142599,RERE,163,0.72175,99,-0.7217
ENSG00000074800,ENO1,352,-0.6513,553,0.65133
ENSG00000171603,CLSTN1,242,-1.2930,595,1.29301
ENSG00000178585,CTNNBIP1,55,0.38093,42,-0.3809
ENSG00000162441,LZIC,56,0.32291,45,-0.3229
ENSG00000130939,UBE4B,39,-0.2208,46,0.22086
ENSG00000054523,KIF1B,286,-0.3680,370,0.36804
ENSG00000142657,PGD,37,-0.2293,43,0.22939
ENSG00000241563,CORT,0,-7.2140,132,7.21409
ENSG00000120948,TARDBP,66,-0.1672,75,0.16725
ENSG00000116649,SRM,60,-0.6805,96,0.68058
ENSG00000198793,MTOR,25,-0.6409,39,0.64098
ENSG00000116661,FBXO2,89,-1.3685,230,1.36856
ENSG00000132879,FBXO44,66,-1.2486,156,1.24868
ENSG00000011021,CLCN6,11,-2.3128,58,2.31280
ENSG00000116688,MFN2,51,-1.2697,123,1.26978
ENSG00000048707,VPS13D,46,-0.4929,65,0.49292
ENSG00000162496,DHRS3,165,2.14404,37,-2.1440
ENSG00000116731,PRDM2,106,0.28156,87,-0.2815
ENSG00000189337,KAZN,81,0.96420,41,-0.9642
ENSG00000142634,EFHD2,3,-3.9506,56,3.95060
ENSG00000116786,PLEKHM2,60,-0.3273,76,0.32735
ENSG00000065526,SPEN,90,0.71675,55,-0.7167
ENSG00000159363,ATP13A2,23,-2.4146,123,2.41465
ENSG00000117118,SDHB,145,0.92988,76,-0.9298
ENSG00000117115,PADI2,13,-1.6991,45,1.69914
ENSG00000117154,IGSF21,0,-5.9534,57,5.95340
ENSG00000127463,EMC1,82,1.31831,33,-1.3183
ENSG00000053372,MRTO4,0,-5.4726,39,5.47262
ENSG00000053371,AKR7A2,36,-0.1958,41,0.19587
ENSG00000077549,CAPZB,160,-0.4931,226,0.49314
ENSG00000173436,MICOS10,392,0.68431,244,-0.6843
ENSG00000158747,NBL1,418,1.25924,174,-1.2592
ENSG00000162545,CAMK2N1,212,-2.9737,1665,2.97378
ENSG00000158828,PINK1,345,-0.2861,420,0.28614
ENSG00000189410,SH2D5,14,-1.8154,51,1.81546
ENSG00000127483,HP1BP3,416,1.23911,176,-1.2391
ENSG00000075151,EIF4G3,60,-1.1458,133,1.14581
ENSG00000076864,RAP1GAP,18,-2.9435,143,2.94351
ENSG00000090686,USP48,55,-0.0519,57,0.05191
ENSG00000070831,CDC42,234,0.12499,214,-0.1249
ENSG00000004487,KDM1A,46,0.15906,41,-0.1590
ENSG00000169641,LUZP1,73,0.47175,53,-0.4717
ENSG00000125944,HNRNPR,192,0.98846,96,-0.9884
ENSG00000142676,RPL11,2192,1.99140,551,-1.9914
ENSG00000057757,PITHD1,120,-0.6848,193,0.68488
ENSG00000011009,LYPLA2,34,-0.1541,38,0.15414
ENSG00000189266,PNRC2,195,1.60820,64,-1.6082
ENSG00000188529,SRSF10,46,-0.3981,61,0.39819
ENSG00000001461,NIPAL3,0,-5.9248,54,5.92487
ENSG00000133226,SRRM1,154,1.52552,53,-1.5255
ENSG00000117614,SYF2,132,1.11262,61,-1.1126
ENSG00000117616,RSRP1,120,0.91532,63,-0.9153
ENSG00000183726,TMEM50A,171,0.85535,94,-0.8553
ENSG00000117643,MAN1C1,83,1.09501,39,-1.0950
ENSG00000162430,SELENON,162,2.02836,39,-2.0283
ENSG00000117640,MTFR1L,54,-0.4133,71,0.41331
ENSG00000117632,STMN1,253,-2.1399,1116,2.13995
ENSG00000158008,EXTL1,0,-5.8667,52,5.86674
ENSG00000142669,SH3BGRL3,213,0.06316,204,-0.0631
ENSG00000198830,HMGN2,433,1.36435,168,-1.3643
ENSG00000117713,ARID1A,151,1.28874,61,-1.2887
ENSG00000090273,NUDC,228,0.53525,157,-0.5352
ENSG00000253368,TRNP1,11,-2.4988,64,2.49889
ENSG00000142784,WDTC1,89,0.79183,51,-0.7918
ENSG00000186501,TMEM222,82,0.03172,81,-0.0317
ENSG00000126705,AHDC1,50,-0.0087,50,0.00877
ENSG00000126709,IFI6,833,2.82681,117,-2.8268
ENSG00000117758,STX12,161,0.79718,92,-0.7971
ENSG00000117751,PPP1R8,20,-0.8626,36,0.86269
ENSG00000117748,RPA2,65,0.36112,50,-0.3611
ENSG00000126698,DNAJC8,162,0.55639,110,-0.5563
ENSG00000130770,ATP5IF1,313,-0.4785,436,0.47859
ENSG00000198492,YTHDF2,40,-0.9212,76,0.92126
ENSG00000116350,SRSF4,98,1.17069,43,-1.1706
ENSG00000162512,SDC3,85,-0.5036,120,0.50368
ENSG00000134644,PUM1,80,-1.0326,165,1.03267
ENSG00000121766,ZCCHC17,72,-0.8428,129,0.84288
ENSG00000121769,FABP3,12,-3.1138,104,3.11389
ENSG00000162517,PEF1,42,-0.8090,74,0.80907
ENSG00000084636,COL16A1,68,0.64953,43,-0.6495
ENSG00000121753,ADGRB2,36,-2.8170,258,2.81709
ENSG00000184007,PTP4A2,175,0.14649,158,-0.1464
ENSG00000121774,KHDRBS1,149,0.14017,135,-0.1401
ENSG00000025800,KPNA6,26,-0.9449,51,0.94495
ENSG00000084623,EIF3I,55,-0.8368,98,0.83684
ENSG00000175130,MARCKSL1,106,-0.1215,115,0.12154
ENSG00000160058,BSDC1,93,0.55036,63,-0.5503
ENSG00000176261,ZBTB8OS,47,0.32384,37,-0.3238
ENSG00000162521,RBBP4,63,-0.3842,83,0.38422
ENSG00000162522,KIAA1522,25,-0.7163,41,0.71635
ENSG00000134684,YARS,30,-1.6400,94,1.64007
ENSG00000121905,HPCA,5,-4.8302,168,4.83023
ENSG00000121900,TMEM54,0,-5.0415,29,5.04156
ENSG00000134686,PHC2,57,0.32187,46,-0.3218
ENSG00000163866,SMIM12,12,-2.0039,51,2.00393
ENSG00000116544,DLGAP3,13,-2.5734,82,2.57340
ENSG00000116560,SFPQ,204,0.24449,172,-0.2444
ENSG00000146463,ZMYM4,85,0.53827,59,-0.5382
ENSG00000142687,KIAA0319L,87,0.71732,53,-0.7173
ENSG00000020129,NCDN,157,-2.0331,644,2.03310
ENSG00000126067,PSMB2,122,0.00630,122,-0.0063
ENSG00000142686,C1orf216,35,-1.5681,106,1.56815
ENSG00000092847,AGO1,50,0.39585,38,-0.3958
ENSG00000054116,TRAPPC3,65,0.45159,47,-0.4515
ENSG00000116871,MAP7D1,178,-0.3029,219,0.30297
ENSG00000054118,THRAP3,196,1.09020,92,-1.0902
ENSG00000181817,LSM10,38,-0.1830,43,0.18300
ENSG00000116898,MRPS15,99,0.92916,52,-0.9291
ENSG00000163875,MEAF6,30,-2.1038,129,2.10382
ENSG00000197982,C1orf122,116,-0.7260,192,0.72602
ENSG00000116954,RRAGC,74,0.45191,54,-0.4519
ENSG00000174574,AKIRIN1,17,-2.6427,108,2.64270
ENSG00000168653,NDUFS5,562,-0.1965,644,0.19650
ENSG00000127603,MACF1,377,0.72915,227,-0.7291
ENSG00000090621,PABPC4,80,0.21117,69,-0.2111
ENSG00000116983,HPCAL4,53,-3.0505,442,3.05056
ENSG00000131236,CAP1,278,1.10666,129,-1.1066
ENSG00000131238,PPT1,216,0.79444,124,-0.7944
ENSG00000084073,ZMPSTE24,64,0.88402,35,-0.8840
ENSG00000084070,SMAP2,112,-0.3984,148,0.39843
ENSG00000117016,RIMS3,15,-3.1494,139,3.14946
ENSG00000066136,NFYC,56,0.23701,47,-0.2370
ENSG00000198815,FOXJ3,29,-1.2789,71,1.27898
ENSG00000177181,RIMKLA,44,0.09757,41,-0.0975
ENSG00000127125,PPCS,16,-1.5807,50,1.58079
ENSG00000065978,YBX1,380,1.94683,98,-1.9468
ENSG00000117394,SLC2A1,1855,5.08015,54,-5.0801
ENSG00000117395,EBNA1BP2,78,0.03896,75,-0.0389
ENSG00000142949,PTPRF,32,-2.3157,160,2.31576
ENSG00000126091,ST3GAL3,0,-5.5662,42,5.56627
ENSG00000117408,IPO13,0,-6.0300,58,6.03002
ENSG00000117410,ATP6V0B,209,-0.7500,352,0.75002
ENSG00000117411,B4GALT2,21,-1.9050,81,1.90508
ENSG00000178028,DMAP1,38,-0.3469,48,0.34699
ENSG00000117419,ERI3,120,-0.3936,157,0.39363
ENSG00000187147,RNF220,102,-0.0846,108,0.08461
ENSG00000142937,RPS8,2029,1.62363,658,-1.6236
ENSG00000126088,UROD,30,-1.2436,71,1.24369
ENSG00000117450,PRDX1,428,0.46013,311,-0.4601
ENSG00000117448,AKR1A1,24,-0.7028,40,0.70280
ENSG00000085998,POMGNT1,88,0.41567,66,-0.4156
ENSG00000132128,LRRC41,60,0.41582,45,-0.4158
ENSG00000173660,UQCRH,270,-0.6697,430,0.66974
ENSG00000123472,ATPAF1,127,-0.0530,132,0.05309
ENSG00000159658,EFCAB14,184,1.18289,81,-1.1828
ENSG00000162368,CMPK1,125,0.38260,96,-0.3826
ENSG00000162374,ELAVL4,10,-3.9756,164,3.97562
ENSG00000185104,FAF1,67,0.79778,38,-0.7977
ENSG00000123091,RNF11,333,-0.5451,486,0.54517
ENSG00000085832,EPS15,104,-0.7022,169,0.70220
ENSG00000078618,NRDC,36,-1.1901,83,1.19012
ENSG00000169213,RAB3B,46,-1.4024,121,1.40243
ENSG00000134717,BTF3L4,25,-1.6283,77,1.62835
ENSG00000157077,ZFYVE9,11,-1.7523,38,1.75235
ENSG00000162378,ZYG11B,70,-1.0994,150,1.09946
ENSG00000116171,SCP2,195,0.96099,100,-0.9609
ENSG00000162384,CZIB,38,-0.1349,42,0.13493
ENSG00000162385,MAGOH,64,0.85775,35,-0.8577
ENSG00000157193,LRP8,44,-0.5763,66,0.57636
ENSG00000116209,TMEM59,496,1.78459,144,-1.7845
ENSG00000116221,MRPL37,0,-6.0080,57,6.00800
ENSG00000157216,SSBP3,153,-0.3426,195,0.34267
ENSG00000116133,DHCR24,54,-1.7010,177,1.70107
ENSG00000162402,USP24,11,-1.9826,45,1.98267
ENSG00000162407,PLPP3,144,0.58507,96,-0.5850
ENSG00000162409,PRKAA2,15,-1.9567,58,1.95671
ENSG00000162601,MYSM1,32,-0.5439,46,0.54391
ENSG00000177606,JUN,361,1.23792,153,-1.2379
ENSG00000134709,HOOK1,12,-1.6822,38,1.68228
ENSG00000162599,NFIA,344,1.88641,93,-1.8864
ENSG00000162604,TM2D1,53,-0.0593,56,0.05934
ENSG00000116641,DOCK7,0,-5.5397,41,5.53973
ENSG00000162434,JAK1,208,1.44002,76,-1.4400
ENSG00000162433,AK4,47,-0.6562,74,0.65626
ENSG00000116675,DNAJC6,47,-3.1287,416,3.12871
ENSG00000184588,PDE4B,33,-0.9394,65,0.93948
ENSG00000118473,SGIP1,21,-2.5731,128,2.57319
ENSG00000142864,SERBP1,239,0.83898,134,-0.8389
ENSG00000116729,WLS,193,1.11211,89,-1.1121
ENSG00000033122,LRRC7,61,-0.9004,114,0.90043
ENSG00000116754,SRSF11,245,0.70918,150,-0.7091
ENSG00000118454,ANKRD13C,16,-1.5274,48,1.52743
ENSG00000132485,ZRANB2,103,-0.2916,127,0.29168
ENSG00000172260,NEGR1,91,-0.9585,177,0.95853
ENSG00000178965,ERICH3,0,-6.1609,63,6.16096
ENSG00000117054,ACADM,75,0.82148,42,-0.8214
ENSG00000137955,RABGGTB,121,1.36940,47,-1.3694
