Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Eccentricity,Circularity,Perimeter,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity
30,140.366666666667,15375.0333333333,137.5,15371.5,6,7,8.07129191933048,4.88726486534765,0.795836104308981,0.899906914254469,17.326,140.485310524359,15375.063964299,89.6333333333333
2316,179.430051813471,22569.1990500864,148.5,22537.5,63,63,70.9856551476228,69.2695158230342,0.218557199710884,0.738812448170329,195.334,178.281810562898,22568.7116231864,56.1567357512953
15940,296.212045169385,20928.1863864492,184.5,20812.5,240,236,305.520909858927,301.183984317253,0.167895398442558,0.354982668970484,748.041,297.728851575959,20928.145607454,64.6377038895859
1838,301.999455930359,20930.8492927095,242.5,20871.5,122,119,163.666891778724,161.338067191224,0.16809413005158,0.162275054917422,374.128,307.704470371305,20931.3421211489,49.5707290533188
4926,861.775274056029,20522.9780755177,815.5,20473.5,101,101,114.804846704722,114.34635944999,0.0892821180355399,0.613011558748846,314.632,861.917505625157,20522.8532564732,59.7267559886318
1461,1147.91923340178,22434.6386036961,1122.5,22408.5,50,52,58.9622855237393,56.5949213181248,0.280515424730843,0.714702493081136,157.134,1146.28767090827,22434.1697116182,57.7700205338809
3,1442,13052,1441.5,13050.5,1,3,3.46410161513775,1.15470053837925,0.942809041582063,0.756006962533367,3.92,1442,13051.9806629834,120.666666666667
4,1444.5,13003,1443.5,13001.5,2,3,3.43590880093359,1.69150742780922,0.870424023370417,0.881907054258295,4.408,1444.52074688797,13002.979253112,120.5
1,1445,13052,1444.5,13051.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1445,13052,123
2,1453,11326.5,1452.5,11325.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1453,11326.5060728745,123.5
16,1454.8125,12163.3125,1452.5,12157.5,4,10,11.4952931179524,2.529802917032,0.975483419870763,0.33239201229679,21.453,1454.82010582011,12163.3677248677,118.125
1,1454,11409,1453.5,11408.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1454,11409,124
35,1459.28571428571,12971.8285714286,1453.5,12961.5,14,19,23.6147909341684,2.53613668235263,0.994216312267639,0.188355130179111,45.181,1459.24414392659,12971.9077517508,118.314285714286
3,1456.33333333333,11320.3333333333,1455.5,11319.5,2,2,2.58198889747161,1.76383420737639,0.730296743340221,0.969873184255889,3.093,1456.33604336043,11320.3441734417,123
1,1456,11414,1455.5,11413.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1456,11414,126
2,1456.5,12246,1455.5,12245.5,2,1,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1456.50197628458,12246,126.5
172,1459.19186046512,5133.68604651163,1456.5,5105.5,9,57,61.1443739389876,6.58441635029017,0.994184914057268,0.124142990586532,128.808,1459.25298291721,5133.61250985545,110.610465116279
1,1457,11405,1456.5,11404.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1457,11405,124
5,1457.6,13066.2,1456.5,13064.5,2,3,3.3065591380366,2.12916258968951,0.765092055676006,0.95680770565741,4.962,1457.60461285008,13066.2026359143,121.4
1,1458,12249,1457.5,12248.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1458,12249,124
14,1461.78571428571,11310.2857142857,1458.5,11306.5,7,8,11.526910197786,1.9380896863443,0.985763791699147,0.370204030543586,18.658,1461.77146311971,11310.3258766626,118.142857142857
5,1459.8,11411.6,1458.5,11410.5,3,2,3.3065591380366,2.12916258968951,0.765092055676006,0.95680770565741,4.962,1459.79644588045,11411.6042003231,123.8
22,1461.77272727273,5550.18181818182,1460.5,5543.5,3,14,15.2426166186312,2.31031810513284,0.988446579446772,0.301770500935568,27.126,1461.80154142582,5550.12755298651,117.954545454545
29,1462.27586206897,5955.44827586207,1460.5,5946.5,3,16,16.3294946370489,2.82758670865877,0.984894014899989,0.289126382820547,32.361,1462.3001490313,5955.43934426229,115.689655172414
1,1462,5559,1461.5,5558.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1462,5559,126
1,1462,5562,1461.5,5561.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1462,5562,126
2,1463,5944.5,1462.5,5943.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1463,5944.5,119
6,1465,5129.5,1463.5,5128.5,3,2,3.46410161513775,2.3094010767585,0.74535599249993,1,5.516,1464.98285714286,5129.50142857143,116.666666666667
7,1465.71428571429,5134.28571428571,1463.5,5132.5,4,4,6.00897958795658,3.10819429806348,0.855829362243779,0.361616671943354,12.455,1465.70011668611,5134.29404900817,122.428571428571
3,1464,5519,1463.5,5517.5,1,3,3.46410161513775,1.15470053837925,0.942809041582063,0.756006962533367,3.92,1464,5518.99734748011,125.666666666667
6,1465.16666666667,5937.83333333333,1463.5,5935.5,3,5,5.71201005055549,2.54638023348129,0.89513554461048,0.434462857031738,10.032,1465.15834522111,5937.90727532097,116.833333333333
1,1464,5942,1463.5,5941.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1464,5942,124
1,1465,5958,1464.5,5957.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1465,5958,125
2,1465,11418.5,1464.5,11417.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1465,11418.504,125
105,1479.89523809524,12122.6857142857,1464.5,12107.5,34,32,50.5191247666542,3.92854328121287,0.996971835185793,0.138664742976833,94.406,1479.91308776099,12122.7324732643,112.209523809524
41,1469.24390243902,15300.8048780488,1464.5,15297.5,9,6,8.85794742232016,6.17694533262788,0.716746606479283,0.79106507213053,22.379,1469.25877387828,15300.839848956,109.80487804878
1,1465,22962,1464.5,22961.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1465,22962,126
45,1472.37777777778,5586.04444444444,1465.5,5571.5,13,27,29.9357868075263,2.63739051112337,0.996111494400841,0.144970524492811,59.314,1472.37391468479,5585.99018497546,117.733333333333
2,1466,5944.5,1465.5,5943.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1466,5944.49397590361,124.5
2,1466,5955.5,1465.5,5954.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1466,5955.50819672131,122
18,1470,11300.2777777778,1465.5,11295.5,8,10,12.2306452399749,2.37090564069715,0.981031260492648,0.32237740841471,23.347,1469.92502532928,11300.4007092199,109.666666666667
1,1466,11423,1465.5,11422.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1466,11423,126
2,1467.5,5949,1466.5,5948.5,2,1,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1467.49392712551,5949,123.5
27,1470.14814814815,15307.3703703704,1466.5,15304.5,7,6,7.61499981737331,5.00953631090402,0.753147978560767,0.74014404688172,18.269,1470.12544112929,15307.4125761951,115.444444444444
1,1467,22962,1466.5,22961.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1467,22962,126
1,1469,22951,1468.5,22950.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1469,22951,124
6,1470.66666666667,22947.1666666667,1469.5,22944.5,2,5,5.66408152761508,1.74048601248062,0.951617605779658,0.573145815872369,8.328,1470.66934404284,22947.1673360107,124.5
2,1470.5,22966,1469.5,22965.5,2,1,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1470.51209677419,22966,124
8,1473.5,5573.5,1471.5,5571.5,4,4,6.11010092660779,2.3094010767585,0.925820099772551,0.605655800423094,9.742,1473.50659898477,5573.49847715736,123.125
1,1472,22951,1471.5,22950.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1472,22951,122
10,1476.1,11859.8,1472.5,11856.5,8,7,12.5401501785885,1.73530981819198,0.990379165233779,0.260070775598018,18.84,1476.1112033195,11859.801659751,120.5
2,1473.5,22940.5,1472.5,22939.5,2,2,3.05505046330389,1.15470053837925,0.925820099772551,0.709057779224152,2.812,1473.50420168067,22940.4957983193,119
70,1483.24285714286,5482.24285714286,1473.5,5469.5,20,26,33.9768554211311,3.47374454065512,0.99475990984704,0.178261426357844,67.105,1483.22791214215,5482.31354886476,115.771428571429
1,1474,5569,1473.5,5568.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1474,5569,125
3,1474,8850,1473.5,8848.5,1,3,3.46410161513775,1.15470053837925,0.942809041582063,0.756006962533367,3.92,1474,8849.98113207547,123.666666666667
24,1475.54166666667,8861.875,1473.5,8853.5,4,16,16.8770495832943,2.74846980189236,0.986650425232018,0.227879596563399,33.238,1475.56721194879,8861.93883357041,117.166666666667
326,1515.01226993865,5214.13190184049,1474.5,5184.5,81,45,108.724725498187,15.6014692651139,0.989651022311562,0.0790790795562088,224.464,1515.5196097781,5214.34787267037,108.794478527607
6,1476.16666666667,5524.16666666667,1474.5,5521.5,3,5,5.91252707402124,2.03792411784073,0.938720599441608,0.496623675941695,9.18,1476.1610738255,5524.17986577181,124.166666666667
3,1475.33333333333,6010.66666666667,1474.5,6009.5,2,2,2.58198889747161,1.76383420737639,0.730296743340221,0.969873184255889,3.093,1475.34615384615,6010.66483516484,121.333333333333
1,1475,8847,1474.5,8846.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1475,8847,126
5,1475.8,14271.8,1474.5,14269.5,2,4,4.88188997858735,1.77589890017284,0.931487698837005,0.609333219001905,7.013,1475.80713128039,14271.8022690438,123.4
2,1475,17993.5,1474.5,17992.5,1,2,2.3094010767585,1.15470053837925,0.866025403784439,0.965669028126265,1.96,1475,17993.4980079681,125.5
3,1475,17999,1474.5,17997.5,1,3,3.46410161513775,1.15470053837925,0.942809041582063,0.756006962533367,3.92,1475,17999.0053475936,124.666666666667
1,1475,22938,1474.5,22937.5,1,1,1.15470053837925,1.15470053837925,0,1,0,1475,22938,126
11,1475.90909090909,22963.6363636364,1474.5,22961.5,3,4,4.49690773447605,3.27750029068392,0.68469019539811,0.970807043706446,8.791,1475.9194883371,22963.6410835214,120.818181818182
