Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,27,0.66058,7,-1.4371,7,-1.3075,24,0.52316,4,-2.1894,10,-0.9062,16,-0.1374,21,0.28506,28,0.84135
ENSG00000188976,NOC2L,27,-0.5226,12,-1.6651,40,0.07307,55,0.65818,51,0.46906,29,-0.4137,34,-0.1943,57,0.66596,30,-0.3586
ENSG00000188290,HES4,27,-1.4044,59,-0.2307,10,-2.7691,74,0.14166,23,-1.6239,88,0.40114,50,-0.5015,158,1.39029,102,0.72867
ENSG00000187608,ISG15,27,-1.4745,45,-0.7224,32,-1.2223,95,0.49949,34,-1.1417,25,-1.5701,59,-0.3268,123,0.87576,132,1.15688
ENSG00000188157,AGRN,27,-0.2268,48,0.67520,22,-0.4961,35,0.20729,15,-1.1308,28,-0.1488,25,-0.3563,37,0.26453,38,0.35594
ENSG00000131591,C1orf159,27,1.21315,5,-1.3831,15,0.26868,13,0.11408,24,1.00530,10,-0.2787,9,-0.4630,8,-0.5991,8,-0.7205
ENSG00000078808,SDF4,27,-1.4014,88,0.40023,86,0.35989,71,0.04781,82,0.27274,58,-0.2696,55,-0.3750,80,0.24868,76,0.16960
ENSG00000176022,B3GALT6,27,0.09292,13,-1.0312,16,-0.6469,35,0.55536,8,-1.7458,35,0.49346,20,-0.3504,17,-0.6055,39,0.77655
ENSG00000160087,UBE2J2,27,-0.3972,21,-0.7664,36,0.05865,53,0.75791,12,-1.5428,30,-0.2016,25,-0.5257,39,0.19636,47,0.54300
ENSG00000162572,SCNN1D,27,1.13072,12,-0.1533,12,-0.1951,11,-0.3509,18,0.43962,18,0.49188,8,-0.8212,20,0.65834,8,-0.8637
ENSG00000131584,ACAP3,324,2.36622,52,-0.7392,55,-0.6682,83,-0.0187,70,-0.2986,45,-0.9749,51,-0.8452,57,-0.6145,71,-0.2851
ENSG00000127054,INTS11,27,-0.8855,69,0.56523,54,0.18707,61,0.41121,55,0.21926,32,-0.6328,33,-0.6273,46,-0.0737,53,0.18682
ENSG00000224051,CPTP,27,0.13892,31,0.38373,12,-1.1183,35,0.61823,6,-2.0336,13,-0.9670,22,-0.1776,30,0.30458,31,0.41508
ENSG00000107404,DVL1,27,-1.0873,45,-0.3081,53,-0.0706,43,-0.4299,53,-0.0687,76,0.50940,71,0.45313,66,0.27890,57,0.06480
ENSG00000175756,AURKAIP1,27,-2.6831,204,0.35781,177,0.13040,176,0.13367,192,0.26279,188,0.22974,152,-0.1195,138,-0.2560,186,0.23350
ENSG00000221978,CCNL2,27,-0.8491,49,0.07511,54,0.23320,56,0.30835,48,0.04978,29,-0.7274,38,-0.3407,57,0.31183,55,0.26423
ENSG00000224870,MRPL20-AS1,27,1.40893,17,0.65341,11,-0.0971,10,-0.1684,10,-0.1842,8,-0.5448,6,-0.8885,1,-2.6683,14,0.38158
ENSG00000242485,MRPL20,27,-2.8085,166,-0.1042,209,0.26236,195,0.16980,192,0.12345,249,0.54107,171,-0.0583,148,-0.2802,202,0.22557
ENSG00000235098,ANKRD65,355,3.57425,17,-1.8050,73,0.41579,23,-1.4496,21,-1.4619,15,-1.9241,26,-1.2663,45,-0.3487,27,-1.2086
ENSG00000179403,VWA1,52,-0.6882,104,0.40759,390,2.87728,26,-1.8156,138,0.86897,94,0.23882,41,-1.1227,10,-3.0021,24,-1.9217
ENSG00000197785,ATAD3A,27,0.83409,10,-0.6980,13,-0.2965,24,0.77144,16,-0.0284,19,0.29965,5,-1.7976,12,-0.3570,17,0.14309
ENSG00000205090,TMEM240,27,0.00485,18,-0.5716,6,-2.1023,36,0.53650,22,-0.2790,17,-0.7271,30,0.17435,22,-0.2720,38,0.63726
ENSG00000160075,SSU72,27,-2.3246,81,-0.6984,103,-0.3332,172,0.53552,163,0.39620,103,-0.3206,138,0.14596,115,-0.1590,157,0.37446
ENSG00000228594,FNDC10,27,0.14980,7,-1.9092,5,-2.2225,23,-0.0603,3,-2.9431,12,-1.0794,22,-0.1554,34,0.53199,57,1.63627
