"","cell_type_anno","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","Astro.1","Astro.4.1","Astro.3.1","Astro.2.1"
"2","Astro.2","Astro.4.2","Astro.3.1","Astro.2.1"
"3","Astro.3","Astro.4.1","Astro.3.1","Astro.2.1"
"4","Astro.4","Astro.4.3","Astro.3.2","Astro.2.1"
"5","Astro.5","Astro.4.4","Astro.3.3","Astro.2.2"
