"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","Astro.1","IDH2",11.8978360892847,4.51284965077097e-29,1.65170297218217e-26,146,1.96416481724886,"ENSG00000182054"
2,"enrichment","Astro.1","SLC4A4",11.7379077248269,2.03037360450706e-28,3.71558369624791e-26,302,4.61302296405437,"ENSG00000080493"
3,"enrichment","Astro.1","SNTA1",11.3268486052819,9.17936050327564e-27,1.11988198139963e-24,306,2.91752749339033,"ENSG00000101400"
4,"enrichment","Astro.1","WIF1",10.4651073324149,2.07158505783373e-23,1.89550032791787e-21,363,5.65996792617205,"ENSG00000156076"
5,"enrichment","Astro.1","GJA1",10.2763153895362,1.06817883932078e-22,7.81906910382814e-21,121,5.29255140563492,"ENSG00000152661"
6,"enrichment","Astro.1","FGFR3",10.0833299487772,5.59886456759104e-22,3.41530738623053e-20,111,5.97096660822892,"ENSG00000068078"
7,"enrichment","Astro.1","MGST1",9.98247973382635,1.31979622168859e-21,6.90064881625748e-20,200,3.84218157182962,"ENSG00000008394"
8,"enrichment","Astro.1","FZD8",9.90630994126884,2.51265175313659e-21,1.14953817705999e-19,117,4.26634982347169,"ENSG00000177283"
9,"enrichment","Astro.1","ELOVL2",9.71926054797116,1.20425946284061e-20,4.89732181555181e-19,97,4.93396887202518,"ENSG00000197977"
10,"enrichment","Astro.1","CABLES1",9.67788237263813,1.6986165801584e-20,5.87373572777874e-19,33,3.29246500110337,"ENSG00000134508"
1,"enrichment","Astro.2","SNTA1",10.3613338258529,5.11432854899776e-23,1.87184424893318e-20,306,2.71288972922651,"ENSG00000101400"
2,"enrichment","Astro.2","IDH2",9.70285368944402,1.3801347930451e-20,2.52564667127254e-18,146,1.66239052231667,"ENSG00000182054"
3,"enrichment","Astro.2","GJA1",9.53067816362415,5.72682024230152e-20,6.98672069560785e-18,121,4.96701137812077,"ENSG00000152661"
4,"enrichment","Astro.2","FGFR3",9.48113581201052,8.59676836082425e-20,7.86604305015419e-18,111,5.66784305330324,"ENSG00000068078"
5,"enrichment","Astro.2","SLC4A4",9.35958864046228,2.31463893506179e-19,1.69431570046523e-17,302,3.82593478296535,"ENSG00000080493"
6,"enrichment","Astro.2","FZD8",9.22919240828262,6.63227051338731e-19,4.04568501316626e-17,117,4.01675772814987,"ENSG00000177283"
7,"enrichment","Astro.2","SOX9",8.61792281142859,8.01590821356344e-17,4.07794946723895e-15,315,3.82647314267555,"ENSG00000125398"
8,"enrichment","Astro.2","AQP4",8.60403992563695,8.91355074806327e-17,4.07794946723895e-15,20,3.93090016557717,"ENSG00000171885"
9,"enrichment","Astro.2","TTYH1",8.31433976846014,7.93498638163366e-16,3.22689446186435e-14,355,3.37135963879683,"ENSG00000167614"
10,"enrichment","Astro.2","SPON1",8.29784671750896,8.97181601012184e-16,3.28368465970459e-14,318,4.75901677495503,"ENSG00000262655"
1,"enrichment","Astro.3","GJA1",8.65925907347312,5.83860478494494e-17,2.13692935128985e-14,121,4.7209433535694,"ENSG00000152661"
2,"enrichment","Astro.3","FGFR3",8.51901740190725,1.70263235584733e-16,3.11581721120061e-14,111,5.33411981287686,"ENSG00000068078"
3,"enrichment","Astro.3","SNTA1",8.22945067895985,1.48990902082582e-15,1.8176890054075e-13,306,2.29805573218109,"ENSG00000101400"
4,"enrichment","Astro.3","AQP4",8.13796015786671,2.92259887980651e-15,1.85700804472352e-13,20,3.86431335788487,"ENSG00000171885"
5,"enrichment","Astro.3","FZD8",8.136874670463,2.94595560270811e-15,1.85700804472352e-13,117,3.71485791355538,"ENSG00000177283"
6,"enrichment","Astro.3","TRIL",8.13239661343221,3.04427548315331e-15,1.85700804472352e-13,351,3.53500685910936,"ENSG00000255690"
7,"enrichment","Astro.3","SLC4A4",8.06190248999034,5.09513302467424e-15,2.66402669575824e-13,302,3.46734878813567,"ENSG00000080493"
8,"enrichment","Astro.3","MGST1",7.95122349483317,1.13598119887557e-14,5.19711398485572e-13,200,3.25645638328822,"ENSG00000008394"
9,"enrichment","Astro.3","SOX9",7.85342329260273,2.29105187162388e-14,9.3169442779371e-13,315,3.63901861783599,"ENSG00000125398"
10,"enrichment","Astro.3","SPON1",7.71660308016876,6.04547940111429e-14,2.21264546080783e-12,318,4.60600953684004,"ENSG00000262655"
1,"enrichment","Astro.4","SFRP2",12.4555459783149,2.17924299605661e-31,7.97602936556718e-29,295,6.16321550443199,"ENSG00000145423"
2,"enrichment","Astro.4","SERPINA3",11.0333213294155,1.32745424820507e-25,2.42924127421528e-23,294,5.82347612633704,"ENSG00000196136"
3,"enrichment","Astro.4","AQP4",10.2377325134593,1.48923253685835e-22,1.81686369496719e-20,20,4.56161476207328,"ENSG00000171885"
4,"enrichment","Astro.4","CTSH",9.49006136434826,7.98904579795457e-20,7.30997690512843e-18,84,4.40063410080209,"ENSG00000103811"
5,"enrichment","Astro.4","SOX9",9.01947876678051,3.52694469691241e-18,2.58172351813989e-16,315,3.98125928741929,"ENSG00000125398"
6,"enrichment","Astro.4","IGFBP5",8.64318438742239,6.6048021664883e-17,4.02892932155786e-15,151,3.10679595315136,"ENSG00000115461"
7,"enrichment","Astro.4","LINC00609",8.54701844819183,1.37642066603473e-16,7.19671376812443e-15,175,4.66288419423308,"ENSG00000257585"
8,"enrichment","Astro.4","COL21A1",8.47431482986375,2.38840964880779e-16,1.08405731537816e-14,75,4.19051923211966,"ENSG00000124749"
