"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Macro",1.99051693784571,-0.633568768082602,2.43415100483615,0.035332492053523,0.731447677954915,-4.50981822687798
"OPC.1",1.42682279571373,-4.33147926481858,2.03835502728932,0.06900192483815,0.731447677954915,-4.55193934595755
"Micro.2",0.847708771751535,1.36146732972826,1.99108878035039,0.0746539397798037,0.731447677954915,-4.56095641528793
"Micro.1",1.71162443443453,-3.41812747092946,1.81243560546208,0.100181245669527,0.731447677954915,-4.52911385133855
"Excit.L2_5.1",-1.01489920827005,0.727770417171208,-1.77773942698616,0.105992983620209,0.731447677954915,-4.55709681234871
"Astro.3",0.46690195601485,-1.30073373441921,1.51737836491947,0.160307873694491,0.731447677954915,-4.5714867411905
"Micro.4",1.31883437550424,-3.38336298618384,1.48446879005913,0.168685220050958,0.731447677954915,-4.5604243865501
"Micro.3",1.52459977490855,-1.09328542552633,1.45004557773095,0.177851359155927,0.731447677954915,-4.57703553163545
"Excit.L2",-0.810775231679714,1.57063917319466,-1.32249671528797,0.215619134031311,0.731447677954915,-4.58468882222357
"Vasc.VLMC",1.11716881160766,0.387392108790593,1.31024579595924,0.219576970821958,0.731447677954915,-4.57630499100071
"Oligo.3",-0.666511862915271,3.17496280344032,-1.30524643488584,0.221209317766415,0.731447677954915,-4.58469098717434
"OPC.2",-0.402858971918237,1.26656216943654,-1.27593332151241,0.230983477248921,0.731447677954915,-4.58677974237683
"Vasc.PC",0.466958146521405,2.16021675506745,0.986343291533548,0.347361772595573,0.949452154211768,-4.59579012051421
"Inhib.Pax6",-0.423097316765024,-1.32514312250536,-0.981138354653091,0.34979816207802,0.949452154211768,-4.59720380987871
"Inhib.Vip",-0.321355397183584,1.09620109391316,-0.855429473280944,0.412455398474128,0.9896880624323,-4.59933432692
"Excit.L5.2",-1.10007254697882,-1.90999216366918,-0.628944693430646,0.543565689061792,0.9896880624323,-4.61601678782891
"OPC.5",-0.237477493090934,1.30827579108129,-0.582782536744312,0.573020440888289,0.9896880624323,-4.60720947724654
"Excit.L5_6_NP",-1.13350562284984,-3.77016193217142,-0.556158081621947,0.590400174567829,0.9896880624323,-4.61067890323951
"Oligo.1",0.446284551963494,1.31892669027684,0.513428079304017,0.618868367410735,0.9896880624323,-4.60722823315068
"Oligo.2",0.543921253293056,1.07424929302279,0.472944065076016,0.646465753831553,0.9896880624323,-4.60559422150377
"Inhib.Lamp5_Lhx6",-0.144574008023158,0.232023010222155,-0.41762439431205,0.685098150609584,0.9896880624323,-4.60842764255972
"Vasc.Endo",0.131695123883149,2.58304725097889,0.397736905333031,0.699230620302952,0.9896880624323,-4.60973137093335
"Astro.1",-0.293895748406004,1.60589826664988,-0.397620786620602,0.699313498557773,0.9896880624323,-4.61094895851441
"Inhib.Sst",0.183112551389186,-0.152425352414997,0.391200832657557,0.703902082574756,0.9896880624323,-4.60905967057934
"Inhib.Chandelier",0.0986345377418633,-1.22704266621706,0.24683310990069,0.810059726730312,0.9896880624323,-4.62077380580024
"OPC.4",0.0880115616074523,-0.208278681615275,0.246307321835202,0.810455422986482,0.9896880624323,-4.61202945582284
"Astro.2",0.0996611627991808,1.93672924741176,0.231454414134786,0.821656131733061,0.9896880624323,-4.6121091892647
"Excit.L6b",-0.171471432912909,-0.822858986906846,-0.180759697071288,0.860188053804333,0.9896880624323,-4.62675546705016
"Excit.L5.1",-0.138051975492379,-0.138350973319805,-0.158437764601318,0.877284063992595,0.9896880624323,-4.62537704616312
"Astro.4",0.1172751782225,1.02285492135585,0.151792813280792,0.882386580799481,0.9896880624323,-4.6115115875216
"Excit.L6_CT",0.077250978304005,-0.64001534274816,0.123716846207373,0.904005073940808,0.9896880624323,-4.62603507581433
"Micro.5",-0.0344128234063853,1.67398730410602,-0.0901387789281479,0.929967154170387,0.9896880624323,-4.61167590661095
"Oligo.5",-0.0457134542610669,-0.241821717017266,-0.0650431450098066,0.949429007170697,0.9896880624323,-4.61493021884885
"Oligo.4",-0.03379184042672,2.56228819845469,-0.0649323601117902,0.94951500911075,0.9896880624323,-4.61285030702247
"Inhib.Pvalb",-0.0140160628651365,0.308275319041442,-0.0415049106780165,0.967715125686468,0.9896880624323,-4.61007341380115
"Excit.L2_5.2",0.0728994510878356,-0.479335782993978,0.0401702771779521,0.968752654767469,0.9896880624323,-4.63334957311059
"Astro.5",-0.0157482809838328,2.61461950717595,-0.0392663555367306,0.969455388182813,0.9896880624323,-4.61260275346214
"OPC.3",0.0106472938268063,-4.91040227898036,0.0132530990099922,0.9896880624323,0.9896880624323,-4.60954988309191
