"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Micro.3",-1.13696089969744,-0.565597770520981,-3.78059400807986,0.00363840790472631,0.0637211932772856,-1.57751612404894
"Micro.4",-0.898672626721654,-2.18822474500785,-3.77484929037096,0.00367272795074199,0.0637211932772856,-1.65412708984004
"Micro.1",-0.735057055716578,-2.10823703572975,-3.58366691697833,0.00503062052189097,0.0637211932772856,-1.86277306422757
"Excit.L2",0.755636187729756,1.52389544715496,2.66028589607673,0.0240066530551201,0.228063204023641,-3.20161347526524
"Astro.5",0.358496092835066,2.44057783930785,2.41770472454849,0.0363458100891297,0.276228156677385,-3.60704048582829
"OPC.5",0.370004621354881,0.84671780569342,1.95771708810882,0.0789143331261672,0.336515049251433,-4.2596899900407
"Oligo.2",-0.873763282217488,0.676932148893975,-1.93098072038411,0.0824826363018782,0.336515049251433,-4.2586773906232
"Excit.L2_5.1",0.487593364388926,0.849800274023216,1.88697612805616,0.0886858381493753,0.336515049251433,-4.31757408969183
"Oligo.4",-0.442253063788333,1.98039832100007,-1.87825298329594,0.0899660122370297,0.336515049251433,-4.40238415742535
"Excit.L6_CT",-0.461893598700436,0.00625867863075294,-1.82325287411843,0.098440414935487,0.336515049251433,-4.62611892660937
"OPC.3",-0.540693073121836,-3.98389164107532,-1.78357555827148,0.105004620303679,0.336515049251433,-4.49283101749949
"Astro.4",-0.721766323061755,0.545145030980004,-1.77620186821043,0.106267910289926,0.336515049251433,-4.45012836070251
"Inhib.Vip",0.295703907498177,0.678504901230515,1.68621157342034,0.12284238675952,0.358771558013021,-4.54997247381799
"Oligo.1",-0.533907946195297,1.21198700191225,-1.60930121089273,0.138819387254765,0.358771558013021,-4.73256013906105
"Oligo.5",-0.371060814206507,-0.222232982795203,-1.59664014029963,0.141620351847245,0.358771558013021,-4.78188176055807
"Oligo.3",0.322894173147776,2.47546640889164,1.36687941221452,0.201785590764356,0.479240778065346,-5.05557108898538
"Inhib.Chandelier",0.226084554149532,-1.51706782494984,1.15103905389367,0.276657234288795,0.598558020379052,-5.26252651320669
"OPC.4",-0.257699422501917,-0.0521100782974318,-1.09732764116241,0.298374177179178,0.598558020379052,-5.1111272496094
"OPC.2",0.156472855252218,0.835391543807187,1.07219301376641,0.30897945439473,0.598558020379052,-5.27427850566772
"Inhib.Lamp5_Lhx6",0.183451275637978,0.0937647902144659,1.05814648730588,0.315030537041606,0.598558020379052,-5.24576983434694
"Inhib.Pax6",0.25727279226255,-1.28303521108879,0.992545579624735,0.344482683942982,0.614296932224645,-5.37496966766601
"Excit.L6b",-0.422303703752465,-0.0279678268862762,-0.951075604177331,0.364122983283579,0.614296932224645,-5.74848004053297
"Excit.L5_6_NP",-1.27294135509189,-3.86320058303537,-0.907139734370546,0.385800734741773,0.614296932224645,-5.52541148073916
"Astro.2",0.175944768290039,1.64557467141444,0.902826824424918,0.387977009826091,0.614296932224645,-5.47487602946852
"Astro.3",-0.153179971056109,-1.31067496214114,-0.784538452075983,0.451020106188646,0.685550561406742,-5.47772395942758
"Micro.2",-0.143758964579155,1.04296070945892,-0.702380494196501,0.498562764160018,0.728668655310795,-5.5828069516328
"Vasc.Endo",0.0867710009653644,1.97910295706582,0.600105003881659,0.561869655379305,0.79077951497828,-5.70895112590268
"OPC.1",-0.133792210242907,-3.57613186909355,-0.342013695451111,0.739462997370404,0.957039995919466,-5.90067589847362
"Excit.L2_5.2",-0.312555118963581,-0.540793331900301,-0.317746863875275,0.757252738360745,0.957039995919466,-6.19867164179982
"Macro",0.129107402636321,0.288977480233902,0.262600701585444,0.798221785478143,0.957039995919466,-5.84037416681166
"Micro.5",0.040103375528532,1.27598627271302,0.232516070615584,0.8208556798242,0.957039995919466,-5.86220828896831
"Inhib.Pvalb",-0.0342478490018353,0.203972406746113,-0.226286794779289,0.825564649498825,0.957039995919466,-5.77169049352135
"Vasc.PC",-0.0423054116774436,1.58081883954525,-0.184810962608644,0.85709433603802,0.957039995919466,-5.82168878557344
"Excit.L5.2",-0.124511857001495,-2.2921864799646,-0.118032129952038,0.908393753731863,0.957039995919466,-6.12685468544195
"Inhib.Sst",-0.0219400029277121,0.0952472032641833,-0.114821964147663,0.910873018520372,0.957039995919466,-5.73027944150359
"Excit.L5.1",-0.0354468076829186,0.0475154565184994,-0.0875426700829218,0.931979025151532,0.957039995919466,-5.9428779481413
"Vasc.VLMC",-0.0340700848444145,0.247267178977855,-0.0656484052090703,0.948959594957459,0.957039995919466,-5.89291007591132
"Astro.1",-0.0201366181014358,0.959088974808095,-0.0552426166538931,0.957039995919466,0.957039995919466,-5.74553114010575
