Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,17,-0.3543,26,0.46354,23,0.11351,17,-0.3565
ENSG00000188976,NOC2L,34,-0.9921,84,0.87737,50,-0.3104,55,-0.1675
ENSG00000188290,HES4,86,0.33919,89,0.50477,48,-0.6580,46,-0.8017
ENSG00000187608,ISG15,62,-0.0971,78,0.41525,60,-0.1498,54,-0.3804
ENSG00000188157,AGRN,37,-0.2135,46,0.24421,36,-0.2237,42,0.01753
ENSG00000078808,SDF4,85,-0.1113,84,-0.1399,80,-0.1840,108,0.36207
ENSG00000176022,B3GALT6,28,-0.4548,37,0.02968,26,-0.5618,49,0.60423
ENSG00000160087,UBE2J2,41,-0.2391,52,0.27011,45,-0.0518,44,-0.0870
ENSG00000131584,ACAP3,79,-0.5206,121,0.32082,62,-0.8434,131,0.42609
ENSG00000127054,INTS11,54,-0.1692,69,0.36733,62,0.07370,48,-0.3761
ENSG00000224051,CPTP,36,-0.1755,49,0.51914,33,-0.3178,33,-0.3530
ENSG00000107404,DVL1,65,-0.0758,58,-0.3557,69,0.02298,85,0.45595
ENSG00000175756,AURKAIP1,162,-0.1384,186,0.15496,171,-0.0304,170,-0.0438
ENSG00000221978,CCNL2,39,-0.4912,59,0.30799,53,0.03931,53,0.03136
ENSG00000242485,MRPL20,201,0.09905,209,0.20631,204,0.10699,149,-0.4651
ENSG00000235098,ANKRD65,25,-0.1186,30,0.28297,28,0.09708,22,-0.3214
ENSG00000179403,VWA1,34,0.28825,21,-0.6856,76,1.71845,14,-1.2999
ENSG00000197785,ATAD3A,14,-0.8844,36,1.29129,15,-0.6020,15,-0.7425
ENSG00000205090,TMEM240,29,-0.5744,41,0.02959,28,-0.5620,56,0.68587
ENSG00000160075,SSU72,156,-0.3571,199,0.11176,185,-0.0409,211,0.20984
ENSG00000228594,FNDC10,39,-0.0152,39,-0.0218,43,0.15094,38,-0.0495
ENSG00000272106,AL691432.2,20,-0.5737,21,-0.5234,37,0.50285,39,0.71834
ENSG00000197530,MIB2,27,-0.6669,47,0.48546,35,-0.1832,40,0.06242
ENSG00000189339,SLC35E2B,21,0.07822,24,0.41492,20,-0.0226,13,-0.6824
ENSG00000215790,SLC35E2A,31,-0.6406,39,-0.2190,50,0.21250,60,0.63883
ENSG00000008130,NADK,32,0.15252,33,0.25530,24,-0.3369,25,-0.3200
ENSG00000078369,GNB1,468,0.00192,469,0.00556,487,0.06426,457,-0.0473
ENSG00000187730,GABRD,124,-0.7064,189,0.07015,119,-0.6942,267,0.77226
ENSG00000067606,PRKCZ,207,-0.2403,262,0.25777,205,-0.2187,237,0.02195
ENSG00000162585,FAAP20,64,0.54036,55,0.27866,48,-0.0304,25,-1.1633
ENSG00000157933,SKI,38,0.44934,25,-0.4287,37,0.30387,28,-0.1664
ENSG00000157916,RER1,47,-0.9589,100,0.52343,83,0.04145,85,0.09372
ENSG00000157911,PEX10,30,-0.0681,30,-0.0760,36,0.26178,31,-0.0016
ENSG00000149527,PLCH2,29,0.07454,36,0.67129,12,-1.2643,21,-0.4565
ENSG00000157881,PANK4,13,-0.7573,27,0.68343,6,-1.7511,25,0.38892
ENSG00000157870,PRXL2B,61,-0.3489,80,0.19121,59,-0.3714,85,0.26913
ENSG00000177133,PRDM16-DT,28,0.28201,5,-2.6082,63,1.75431,29,0.34047
ENSG00000158109,TPRG1L,172,-0.5555,278,0.43981,260,0.18826,210,-0.1872
ENSG00000130764,LRRC47,55,-0.7191,113,0.82909,77,-0.1010,65,-0.4320
ENSG00000196581,AJAP1,27,-0.8046,41,-0.0264,30,-0.5299,64,0.87264
ENSG00000069424,KCNAB2,264,0.11070,274,0.22918,126,-1.0724,258,0.06712
ENSG00000116254,CHD5,135,0.10655,129,0.01318,111,-0.2271,128,-0.0001
ENSG00000116251,RPL22,688,0.74927,393,-0.4320,357,-0.4748,460,-0.0791
ENSG00000116237,ICMT,31,-0.6874,52,0.36123,27,-0.7764,57,0.47271
ENSG00000097021,ACOT7,241,-0.7771,470,0.60266,279,-0.4524,393,0.11977
ENSG00000215788,TNFRSF25,19,-0.0554,21,0.10703,9,-1.1564,24,0.39242
ENSG00000171680,PLEKHG5,25,-0.4027,33,0.13679,13,-1.3404,44,0.67767
ENSG00000162408,NOL9,25,-0.1544,25,-0.1316,35,0.41123,28,0.04591
ENSG00000162413,KLHL21,28,-0.3586,36,0.10902,36,0.07831,37,0.14817
ENSG00000041988,THAP3,15,-0.8666,24,0.02294,28,0.29113,30,0.48371
ENSG00000007923,DNAJC11,27,-0.5123,39,0.19445,36,-0.0130,40,0.21870
ENSG00000171735,CAMTA1,124,-0.0703,131,0.03094,159,0.35391,116,-0.2025
ENSG00000049245,VAMP3,32,0.49585,10,-1.6803,80,2.17776,13,-1.1580
ENSG00000049246,PER3,25,0.15205,17,-0.6529,24,0.00867,31,0.54931
ENSG00000116288,PARK7,403,-0.0700,446,0.15453,413,-0.0204,393,-0.1168
ENSG00000116285,ERRFI1,19,-0.0695,20,0.01541,21,0.09779,19,-0.0091
ENSG00000162426,SLC45A1,31,-0.5603,53,0.61456,32,-0.4289,40,-0.0708
ENSG00000142599,RERE,107,-0.0011,94,-0.2787,95,-0.1838,132,0.41386
ENSG00000074800,ENO1,719,-0.2963,903,0.16472,844,0.00364,873,0.06935
ENSG00000171612,SLC25A33,52,0.79880,32,-0.2521,50,0.56446,17,-1.2418
ENSG00000171603,CLSTN1,576,-0.6829,1052,0.56957,699,-0.2945,847,0.02085
ENSG00000178585,CTNNBIP1,27,-0.1705,28,-0.1316,67,1.42590,17,-1.0308
ENSG00000162441,LZIC,31,0.43839,25,0.05942,28,0.21282,16,-0.7849
ENSG00000130939,UBE4B,22,-0.9167,45,0.47364,57,0.70486,31,-0.3565
ENSG00000054523,KIF1B,192,-0.3729,244,0.08230,303,0.42825,231,-0.0340
ENSG00000142657,PGD,42,-0.5735,78,0.76606,66,0.23413,39,-0.7221
ENSG00000241563,CORT,49,-1.4056,218,2.22483,84,-0.4372,24,-2.5002
ENSG00000160049,DFFA,26,-0.0431,20,-0.6436,35,0.44510,34,0.46591
ENSG00000142655,PEX14,20,-0.4685,40,1.23235,16,-0.6865,14,-1.0419
ENSG00000120948,TARDBP,52,-0.4115,71,0.20661,63,-0.0364,69,0.13703
ENSG00000116649,SRM,99,-0.2635,115,0.03044,85,-0.4640,141,0.42299
ENSG00000171824,EXOSC10,16,-0.7234,31,0.55356,18,-0.4570,27,0.14645
ENSG00000198793,MTOR,37,-0.3174,59,0.78573,21,-1.1110,38,-0.2538
ENSG00000116661,FBXO2,327,0.45227,255,-0.0531,202,-0.4101,233,-0.2133
ENSG00000132879,FBXO44,122,-0.6585,219,0.55787,148,-0.2710,176,0.00597
ENSG00000116670,MAD2L2,41,0.21154,32,-0.3141,28,-0.4331,44,0.36479
ENSG00000011021,CLCN6,44,-0.5919,69,0.32941,60,-0.0092,64,0.11140
ENSG00000116685,KIAA2013,32,-0.4589,40,-0.0876,50,0.30401,49,0.32126
ENSG00000083444,PLOD1,23,0.46695,15,-0.4404,25,0.48984,15,-0.3186
ENSG00000116688,MFN2,77,-0.2673,110,0.51674,69,-0.4114,80,-0.2058
ENSG00000116691,MIIP,21,-0.0388,25,0.44803,22,0.06283,15,-0.6513
ENSG00000048707,VPS13D,37,-0.4652,56,0.38758,54,0.19518,43,-0.1976
ENSG00000162496,DHRS3,24,0.49856,10,-1.1424,37,1.20586,16,-0.2555
ENSG00000116731,PRDM2,53,-0.4475,73,0.16504,62,-0.1439,78,0.27159
ENSG00000189337,KAZN,21,-1.0009,47,0.51361,57,0.69675,31,-0.3454
ENSG00000142634,EFHD2,37,-1.6332,140,1.04173,219,1.49314,24,-2.2963
ENSG00000116138,DNAJC16,16,-0.8523,26,0.04688,24,-0.0948,35,0.65058
ENSG00000116786,PLEKHM2,61,-0.4375,75,-0.0846,94,0.32987,89,0.28551
ENSG00000065526,SPEN,33,0.73612,17,-0.6455,19,-0.2907,24,0.08496
ENSG00000037637,FBXO42,13,-0.7303,26,0.57749,10,-1.0185,24,0.32412
ENSG00000055070,SZRD1,29,0.93686,15,-0.4232,18,-0.0661,13,-0.5903
ENSG00000159363,ATP13A2,159,-0.2476,224,0.52337,191,0.08148,135,-0.5407
ENSG00000117118,SDHB,91,-0.2436,106,0.05191,110,0.10024,109,0.10614
ENSG00000117115,PADI2,50,1.16006,8,-2.3366,72,1.63567,18,-0.8127
ENSG00000117154,IGSF21,40,-0.8293,90,0.95601,86,0.52631,33,-1.1131
ENSG00000159423,ALDH4A1,36,0.56836,19,-0.7593,41,0.68896,24,-0.2382
ENSG00000127463,EMC1,17,-1.0654,37,0.38613,28,-0.2068,40,0.45059
ENSG00000053372,MRTO4,32,-0.3066,48,0.54076,42,0.15106,28,-0.5567
ENSG00000053371,AKR7A2,52,0.01764,49,-0.1144,53,0.03915,54,0.09909
ENSG00000077549,CAPZB,155,-0.6580,269,0.45842,192,-0.2453,237,0.12175
ENSG00000173436,MICOS10,401,0.31147,348,0.04185,309,-0.1690,291,-0.3020
ENSG00000158747,NBL1,170,-0.2377,251,0.67240,223,0.24814,112,-0.9663
ENSG00000162545,CAMK2N1,1745,0.23230,1194,-0.5618,857,-0.9442,2235,0.75803
ENSG00000090432,MUL1,22,-0.2918,35,0.75239,24,-0.1456,17,-0.7134
ENSG00000158828,PINK1,400,-0.2320,551,0.48666,542,0.30154,312,-0.6773
ENSG00000244038,DDOST,34,-0.2436,42,0.18822,29,-0.4474,44,0.21842
ENSG00000117245,KIF17,12,-1.3620,44,1.50754,34,0.41416,10,-1.6695
ENSG00000189410,SH2D5,27,-0.7088,52,0.59602,26,-0.7258,45,0.19006
ENSG00000127483,HP1BP3,105,-0.3727,136,0.13936,99,-0.4129,154,0.36574
ENSG00000075151,EIF4G3,72,-0.9832,150,0.43657,139,0.16178,136,0.14849
ENSG00000076864,RAP1GAP,85,-1.3690,277,1.05292,146,-0.4012,175,-0.1294
ENSG00000090686,USP48,33,-0.2450,36,-0.1173,34,-0.1693,47,0.44159
ENSG00000070831,CDC42,161,-0.6431,305,0.73611,236,0.05347,178,-0.4592
ENSG00000173372,C1QA,62,2.08224,10,-1.7207,3,-3.2622,26,-0.0309
ENSG00000159189,C1QC,50,1.90758,13,-1.0392,8,-1.5012,15,-0.6995
ENSG00000173369,C1QB,80,1.96298,14,-1.6835,25,-0.5470,26,-0.5219
ENSG00000004487,KDM1A,39,-0.7664,75,0.57843,57,-0.0695,58,-0.0483
ENSG00000169641,LUZP1,31,-0.2084,43,0.57680,24,-0.5599,29,-0.2792
ENSG00000125944,HNRNPR,74,-0.5056,109,0.25755,103,0.08600,102,0.07978
ENSG00000125945,ZNF436,18,-0.5798,23,-0.1055,15,-0.7767,38,0.89503
ENSG00000142676,RPL11,674,0.85822,338,-0.5979,376,-0.2821,419,-0.1232
ENSG00000057757,PITHD1,166,-0.4885,254,0.38798,227,0.07577,206,-0.0990
ENSG00000011009,LYPLA2,43,-0.3022,58,0.34941,37,-0.4972,53,0.09123
ENSG00000117308,GALE,15,-0.2133,14,-0.4114,25,0.67348,19,0.22421
ENSG00000117305,HMGCL,17,-0.0669,17,-0.0089,25,0.62452,14,-0.3742
ENSG00000179163,FUCA1,15,-0.5425,27,0.72649,16,-0.3447,17,-0.2879
ENSG00000189266,PNRC2,45,0.04146,46,0.12291,33,-0.4524,45,0.03721
ENSG00000188529,SRSF10,39,-0.2402,51,0.29512,36,-0.3391,46,0.03372
ENSG00000001461,NIPAL3,31,-0.7180,52,0.24523,76,0.82468,40,-0.2921
ENSG00000133226,SRRM1,46,0.12356,36,-0.3922,38,-0.1783,53,0.41561
ENSG00000169504,CLIC4,39,1.06324,8,-2.0026,61,1.69839,13,-1.0049
ENSG00000117614,SYF2,58,0.18207,51,-0.1036,57,0.11733,49,-0.1330
ENSG00000117616,RSRP1,34,-0.0360,31,-0.2255,30,-0.2471,43,0.41769
ENSG00000183726,TMEM50A,81,-0.1331,88,0.02540,78,-0.1771,96,0.19069
ENSG00000204178,MACO1,23,-0.0761,32,0.69844,16,-0.6438,17,-0.5767
ENSG00000117643,MAN1C1,36,-0.3569,42,-0.0796,9,-2.3381,70,1.02308
ENSG00000162430,SELENON,57,0.85310,26,-0.7653,30,-0.3488,40,0.09402
ENSG00000117640,MTFR1L,63,-0.0505,58,-0.2360,69,0.11046,74,0.26067
ENSG00000117632,STMN1,1053,-0.7468,2134,0.75916,1527,-0.0643,1336,-0.3244
ENSG00000158008,EXTL1,59,0.07906,62,0.22597,50,-0.1996,49,-0.2698
ENSG00000142684,ZNF593,28,-0.3122,42,0.57423,35,0.10374,24,-0.5691
ENSG00000142669,SH3BGRL3,249,-0.3417,379,0.59785,423,0.58764,166,-1.0448
ENSG00000158062,UBXN11,19,-0.4782,27,0.28504,16,-0.6053,29,0.35397
ENSG00000117682,DHDDS,17,-0.5604,27,0.36099,21,-0.1456,24,0.12100
ENSG00000198830,HMGN2,132,0.24130,96,-0.4264,134,0.23688,123,0.11031
ENSG00000117713,ARID1A,45,-0.3858,68,0.48680,38,-0.5924,56,0.02629
ENSG00000204160,ZDHHC18,29,-0.1196,28,-0.2163,34,0.15611,35,0.27448
ENSG00000142751,GPN2,12,-0.7883,24,0.64359,19,-0.0139,17,-0.1546
ENSG00000090273,NUDC,148,-0.3319,172,-0.0645,193,0.14845,205,0.28865
ENSG00000253368,TRNP1,51,-0.4087,77,0.48117,49,-0.4107,63,-0.0272
ENSG00000090020,SLC9A1,14,-1.0405,37,0.90353,14,-0.9461,27,0.09604
ENSG00000142784,WDTC1,30,0.05044,22,-0.5661,33,0.19424,37,0.46096
ENSG00000186501,TMEM222,63,-0.4711,85,0.11234,99,0.33502,84,0.07630
ENSG00000158195,WASF2,28,0.82165,13,-0.7679,38,1.22972,8,-1.3202
ENSG00000126705,AHDC1,29,-0.8745,60,0.60310,41,-0.2231,49,0.07824
ENSG00000126709,IFI6,76,-0.3911,100,0.16275,169,1.02245,64,-0.6962
ENSG00000117758,STX12,74,-0.3631,107,0.41699,122,0.50451,65,-0.5939
ENSG00000117751,PPP1R8,18,-0.5252,29,0.39201,32,0.48057,20,-0.3682
ENSG00000117748,RPA2,44,-0.6419,69,0.20720,43,-0.6158,83,0.56001
ENSG00000126698,DNAJC8,112,-0.2310,147,0.36234,110,-0.2228,119,-0.1233
ENSG00000130770,ATP5IF1,536,-0.4267,814,0.46140,459,-0.6210,713,0.10513
ENSG00000180098,TRNAU1AP,13,-0.5995,20,0.16083,31,0.86378,16,-0.3102
ENSG00000198492,YTHDF2,43,-0.8318,94,0.81121,56,-0.3268,63,-0.1815
ENSG00000116350,SRSF4,43,-0.0734,48,0.18932,56,0.39097,35,-0.4566
ENSG00000116353,MECR,38,-0.2564,46,0.16569,41,-0.0758,45,0.07737
ENSG00000162511,LAPTM5,49,1.44518,11,-1.6227,30,0.27216,22,-0.2918
ENSG00000162512,SDC3,106,-0.3226,142,0.28659,94,-0.4684,138,0.17466
ENSG00000134644,PUM1,94,-0.4446,130,0.20363,104,-0.2280,136,0.26456
ENSG00000060688,SNRNP40,18,-0.3906,26,0.38496,19,-0.2725,22,0.01698
ENSG00000121766,ZCCHC17,103,-0.3861,141,0.26025,124,-0.0384,130,0.04983
ENSG00000121769,FABP3,148,-0.6731,287,0.74263,197,-0.1373,181,-0.3163
ENSG00000162517,PEF1,83,-0.4695,116,0.16906,89,-0.3041,129,0.35866
ENSG00000084636,COL16A1,16,-1.0240,30,0.10846,47,0.84927,30,0.08872
ENSG00000121753,ADGRB2,253,-0.4088,360,0.31944,296,-0.1038,320,0.02923
ENSG00000184007,PTP4A2,141,0.02666,116,-0.4027,206,0.67276,138,-0.0087
ENSG00000121774,KHDRBS1,98,-0.0529,100,-0.0062,79,-0.3866,115,0.25316
ENSG00000025800,KPNA6,29,-0.2472,43,0.61918,24,-0.5502,28,-0.3069
ENSG00000084652,TXLNA,19,-0.2461,20,-0.2558,28,0.37373,26,0.29303
ENSG00000084623,EIF3I,115,-0.1198,149,0.48308,110,-0.1765,96,-0.4429
ENSG00000175130,MARCKSL1,275,0.40402,121,-1.2467,593,1.78394,146,-0.7819
ENSG00000160058,BSDC1,41,-0.6931,66,0.21990,62,0.04125,70,0.29012
ENSG00000176261,ZBTB8OS,37,-0.1021,39,0.03294,45,0.24067,37,-0.0918
ENSG00000162521,RBBP4,77,-0.1931,92,0.18286,64,-0.4636,94,0.18814
ENSG00000162522,KIAA1522,21,-0.2173,18,-0.5770,14,-0.7608,39,1.07533
ENSG00000134684,YARS,78,-0.7149,151,0.65217,80,-0.6059,121,0.07657
ENSG00000121905,HPCA,178,-0.5757,337,0.84325,167,-0.6046,207,-0.3010
ENSG00000121900,TMEM54,46,0.16003,37,-0.2912,74,0.93068,32,-0.5485
ENSG00000116514,RNF19B,25,-0.4493,31,-0.0925,27,-0.2603,43,0.60950
ENSG00000004455,AK2,23,0.15099,14,-0.8167,40,1.11707,20,-0.0841
ENSG00000142920,AZIN2,25,0.00542,31,0.55617,26,0.04143,15,-0.8904
ENSG00000134686,PHC2,47,-0.4318,73,0.48705,61,0.03686,52,-0.2643
ENSG00000163866,SMIM12,48,-0.5525,71,0.19085,83,0.39871,65,-0.0011
ENSG00000116544,DLGAP3,82,0.32303,46,-0.8419,57,-0.3192,98,0.70581
ENSG00000116560,SFPQ,111,-0.2366,125,-0.0253,129,0.03915,142,0.22656
ENSG00000146463,ZMYM4,34,-0.0134,27,-0.4780,30,-0.2074,47,0.63166
ENSG00000142687,KIAA0319L,55,0.04697,58,0.16547,36,-0.6463,56,0.06065
ENSG00000020129,NCDN,472,-0.6962,698,0.02222,323,-1.2021,1085,0.95357
ENSG00000126067,PSMB2,96,-0.6749,156,0.27679,103,-0.4792,174,0.45349
ENSG00000142686,C1orf216,77,-0.4803,111,0.24327,73,-0.5018,120,0.36416
ENSG00000092847,AGO1,20,0.02728,21,0.10115,20,-0.0159,18,-0.1495
ENSG00000116863,ADPRHL2,18,-0.2886,27,0.51327,22,0.01307,17,-0.4303
ENSG00000054116,TRAPPC3,43,-0.6192,72,0.41879,51,-0.2584,65,0.14944
ENSG00000116871,MAP7D1,181,-0.2439,224,0.19499,158,-0.4274,228,0.20197
ENSG00000054118,THRAP3,52,0.13439,42,-0.3142,50,0.04276,54,0.21067
ENSG00000196182,STK40,18,0.02613,20,0.27016,9,-1.1321,19,0.11760
ENSG00000181817,LSM10,48,-0.2985,59,0.12633,65,0.23690,55,-0.0236
ENSG00000116885,OSCP1,14,-0.9494,31,0.59643,18,-0.4958,28,0.25901
ENSG00000116898,MRPS15,51,-0.2169,70,0.48518,50,-0.2333,49,-0.3066
ENSG00000163875,MEAF6,82,-0.6699,152,0.64483,90,-0.4351,117,-0.0217
ENSG00000183317,EPHA10,9,-1.0713,20,0.23429,2,-2.9648,31,1.18636
ENSG00000185090,MANEAL,28,-1.0052,63,0.56827,27,-0.9541,64,0.48499
ENSG00000197982,C1orf122,288,0.34023,221,-0.2043,298,0.34380,201,-0.3498
ENSG00000183431,SF3A3,24,-0.7451,42,0.29258,34,-0.1196,43,0.32325
ENSG00000183520,UTP11,33,0.08202,28,-0.3223,21,-0.6385,43,0.56902
ENSG00000116954,RRAGC,27,-0.8048,52,0.45634,40,-0.1119,47,0.16085
ENSG00000174574,AKIRIN1,82,-0.3076,92,-0.1161,83,-0.2393,125,0.52094
ENSG00000168653,NDUFS5,754,0.03322,813,0.22162,691,-0.1152,645,-0.2620
ENSG00000127603,MACF1,88,-0.0041,103,0.39986,94,0.11939,61,-0.6585
ENSG00000090621,PABPC4,49,0.14477,38,-0.4090,49,0.12953,52,0.25319
ENSG00000116983,HPCAL4,289,-0.1048,257,-0.3824,224,-0.5026,436,0.73344
ENSG00000084072,PPIE,24,-0.5590,36,0.25381,37,0.21018,33,0.05049
ENSG00000168389,MFSD2A,18,-0.0950,13,-0.7224,30,0.77749,23,0.35413
ENSG00000131236,CAP1,114,-0.5040,167,0.26370,109,-0.5151,180,0.36317
ENSG00000131238,PPT1,92,-0.6078,144,0.26635,106,-0.3087,153,0.34849
