Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,12,-0.9209,18,-0.3875,24,0.09723,33,0.61488,30,0.47259,10,-1.2673,27,0.34788
ENSG00000188976,NOC2L,54,0.03404,28,-1.0077,44,-0.2790,58,0.16481,85,0.80919,34,-0.7176,60,0.24062
ENSG00000188290,HES4,108,0.68620,74,0.03836,58,-0.3578,115,0.78782,68,-0.0959,91,0.38217,32,-1.3998
ENSG00000187608,ISG15,59,0.23851,65,0.39861,45,-0.2016,44,-0.2300,70,0.52261,47,-0.1341,39,-0.4812
ENSG00000188157,AGRN,25,-0.4065,22,-0.5951,21,-0.6733,35,0.13208,25,-0.4202,50,0.75805,40,0.41500
ENSG00000131591,C1orf159,14,0.44365,11,0.00857,9,-0.2143,11,-0.0191,9,-0.3322,12,0.09983,11,-0.0481
ENSG00000078808,SDF4,91,0.21202,64,-0.3622,72,-0.1620,69,-0.2311,75,-0.1014,103,0.42299,83,0.06109
ENSG00000176022,B3GALT6,41,-0.1898,37,-0.3555,62,0.48331,49,0.08400,54,0.24581,28,-0.7843,50,0.14148
ENSG00000160087,UBE2J2,57,0.14325,37,-0.5514,50,-0.0735,58,0.16236,67,0.41340,56,0.09718,47,-0.1981
ENSG00000162572,SCNN1D,15,-0.0746,5,-1.6823,12,-0.3637,16,0.08286,20,0.42317,18,0.25775,19,0.36219
ENSG00000131584,ACAP3,121,-0.0198,86,-0.5586,107,-0.2228,128,0.08170,101,-0.3168,114,-0.1176,161,0.55323
ENSG00000169972,PUSL1,14,0.13282,21,0.81078,14,0.19243,8,-0.6367,12,-0.0788,6,-1.0312,13,0.04002
ENSG00000127054,INTS11,54,-0.4229,58,-0.3071,65,-0.1304,52,-0.4669,54,-0.4155,88,0.38838,94,0.60743
ENSG00000224051,CPTP,20,-0.8897,22,-0.7417,20,-0.9214,56,0.75085,39,0.14149,43,0.27931,43,0.37547
ENSG00000107404,DVL1,70,-0.1874,81,0.05971,84,0.10279,93,0.28594,72,-0.1289,82,0.07273,73,-0.1466
ENSG00000175756,AURKAIP1,180,0.21956,165,0.07336,193,0.33714,124,-0.3897,122,-0.4151,226,0.61176,126,-0.4189
ENSG00000221978,CCNL2,42,-0.5232,57,-0.0347,48,-0.3117,71,0.31065,57,-0.0387,53,-0.1754,70,0.35625
ENSG00000224870,MRPL20-AS1,9,-0.3750,7,-0.8077,9,-0.3312,10,-0.2090,14,0.36121,6,-0.8623,18,0.91194
ENSG00000242485,MRPL20,238,0.07551,199,-0.2118,283,0.36977,204,-0.1762,198,-0.2249,244,0.11915,225,-0.0150
ENSG00000235098,ANKRD65,27,0.80613,21,0.34544,13,-0.4541,11,-0.6120,12,-0.5576,19,0.18941,16,-0.0934
ENSG00000179403,VWA1,92,1.81510,47,0.53859,16,-1.1571,34,-0.0058,27,-0.3567,33,-0.0338,11,-1.8240
ENSG00000160072,ATAD3B,11,-0.5520,15,-0.1377,10,-0.6647,17,0.06053,23,0.58311,17,0.07698,18,0.19885
ENSG00000197785,ATAD3A,11,-0.7016,15,-0.3058,11,-0.7698,8,-1.1410,12,-0.5850,24,0.50097,31,1.13349
ENSG00000205090,TMEM240,57,0.01094,47,-0.3018,65,0.23831,47,-0.3031,79,0.54794,49,-0.2284,55,-0.0710
ENSG00000160075,SSU72,189,-0.0182,151,-0.3818,216,0.20231,166,-0.2330,176,-0.1322,184,-0.0654,224,0.31133
ENSG00000228594,FNDC10,58,0.00508,43,-0.4885,65,0.17134,67,0.22962,91,0.76745,40,-0.5976,51,-0.2555
ENSG00000272106,AL691432.2,29,-0.1698,40,0.38358,29,-0.1385,18,-0.8694,15,-1.1650,23,-0.5146,50,0.95198
ENSG00000197530,MIB2,43,-0.1035,45,-0.0340,34,-0.4645,58,0.39223,51,0.16818,48,0.08238,44,-0.0874
ENSG00000189339,SLC35E2B,17,0.02463,25,0.63756,17,0.00242,13,-0.4252,21,0.39959,15,-0.1490,13,-0.4399
ENSG00000215790,SLC35E2A,35,-0.4765,37,-0.3674,52,0.18525,46,-0.0106,44,-0.0933,55,0.28030,52,0.20325
ENSG00000008130,NADK,33,-0.0525,33,-0.0624,27,-0.3684,31,-0.1364,22,-0.7161,46,0.49939,40,0.33438
ENSG00000078369,GNB1,405,-0.3534,432,-0.2471,505,0.00787,525,0.06955,489,-0.0476,556,0.16671,556,0.19648
ENSG00000187730,GABRD,38,-1.9988,88,-0.7172,151,0.15534,63,-1.2303,74,-0.9673,153,0.18177,266,1.48887
ENSG00000067606,PRKCZ,189,-0.0723,141,-0.5439,203,0.03910,197,-0.0067,279,0.58297,156,-0.3832,209,0.10335
ENSG00000162585,FAAP20,85,0.54198,93,0.70976,50,-0.3453,76,0.34967,52,-0.2712,62,0.02722,37,-0.9129
ENSG00000157933,SKI,32,0.10093,34,0.17805,27,-0.1768,36,0.30381,39,0.45161,21,-0.5710,26,-0.2856
ENSG00000157916,RER1,89,0.33697,70,-0.0746,46,-0.7335,51,-0.5670,55,-0.4410,113,0.74990,79,0.16249
ENSG00000157911,PEX10,35,-0.0261,35,-0.0062,33,-0.1070,39,0.17658,42,0.29249,34,-0.0883,32,-0.1667
ENSG00000149527,PLCH2,9,-1.4906,17,-0.5832,13,-0.9316,20,-0.3476,20,-0.3170,60,1.62126,28,0.26346
ENSG00000157881,PANK4,15,-0.4872,10,-1.0885,22,0.09703,15,-0.5219,13,-0.7375,36,0.98100,26,0.51515
