Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000188976,NOC2L,39,-0.3080,7,-2.8674,52,0.15148,56,0.57467
ENSG00000188290,HES4,67,0.85023,36,-0.1920,44,0.16865,34,-0.4698
ENSG00000187608,ISG15,303,1.60282,98,-0.3470,32,-2.1940,127,0.12340
ENSG00000078808,SDF4,82,0.15370,42,-0.8875,104,0.65098,67,-0.2934
ENSG00000176022,B3GALT6,18,-0.8854,20,-0.7943,31,-0.0851,39,0.61706
ENSG00000160087,UBE2J2,16,-1.5041,20,-1.1994,43,-0.0127,53,0.80196
ENSG00000131584,ACAP3,79,-0.0956,49,-0.8385,143,1.08828,68,-0.5996
ENSG00000127054,INTS11,64,0.20875,26,-1.2204,65,0.26406,58,0.06944
ENSG00000224051,CPTP,21,-0.3726,23,-0.2318,16,-0.8625,33,0.76523
ENSG00000107404,DVL1,51,0.05201,27,-0.9050,64,0.51586,47,-0.1331
ENSG00000175756,AURKAIP1,102,-0.4066,96,-0.4910,90,-0.6644,160,0.76172
ENSG00000221978,CCNL2,69,0.38459,24,-1.2749,55,0.01652,58,0.18161
ENSG00000242485,MRPL20,166,-0.0166,144,-0.2405,171,0.03151,172,0.07483
ENSG00000179403,VWA1,157,2.81135,37,-0.0081,26,-0.6212,17,-1.7904
ENSG00000205090,TMEM240,4,-2.8727,21,-0.5343,23,-0.4246,39,1.10029
ENSG00000160075,SSU72,120,-0.0977,73,-0.8785,129,0.02360,139,0.30332
ENSG00000228594,FNDC10,22,-0.7869,17,-1.1068,22,-0.8504,48,1.19315
ENSG00000197530,MIB2,42,0.09675,19,-1.1528,32,-0.3553,46,0.54775
ENSG00000215790,SLC35E2A,34,0.00914,7,-2.2767,35,0.05295,39,0.47371
ENSG00000078369,GNB1,236,-0.7682,249,-0.6882,395,0.05304,436,0.45206
ENSG00000187730,GABRD,16,-2.0134,26,-1.3163,52,-0.3219,82,1.15819
ENSG00000067606,PRKCZ,55,-1.6854,97,-0.8349,144,-0.2591,210,0.93064
ENSG00000162585,FAAP20,76,0.77580,35,-0.4806,52,0.13957,43,-0.3098
ENSG00000157933,SKI,65,0.94220,37,-0.0082,63,1.07194,21,-1.4058
ENSG00000157916,RER1,95,0.57167,48,-0.5485,59,-0.2428,69,0.08529
ENSG00000157870,PRXL2B,42,-0.6162,29,-1.2120,84,0.56485,65,0.12200
ENSG00000158109,TPRG1L,93,-1.1432,70,-1.5647,164,-0.2863,248,1.01279
ENSG00000130764,LRRC47,68,-0.3363,33,-1.4129,64,-0.4881,105,0.87205
ENSG00000069424,KCNAB2,16,-3.9151,124,-0.9350,192,-0.2882,300,1.19318
ENSG00000116254,CHD5,14,-3.3668,94,-0.5138,164,0.44257,148,0.43254
ENSG00000116251,RPL22,1133,1.38389,677,0.46500,593,0.28011,321,-1.2194
ENSG00000116237,ICMT,64,1.23566,28,-0.1610,23,-0.5115,28,-0.2926
ENSG00000097021,ACOT7,25,-3.5830,131,-1.1395,175,-0.7743,389,1.61448
ENSG00000171680,PLEKHG5,0,-5.2594,15,-0.8762,26,-0.0139,33,0.98691
ENSG00000162408,NOL9,35,-0.1306,7,-2.4695,67,1.13720,34,-0.3823
ENSG00000162413,KLHL21,91,1.14997,15,-1.7496,61,0.52973,38,-0.5824
ENSG00000007923,DNAJC11,17,-1.3515,34,-0.2619,42,0.07324,46,0.43214
ENSG00000171735,CAMTA1,150,-0.0859,99,-0.7361,201,0.46783,154,-0.0812
ENSG00000116288,PARK7,353,0.09225,243,-0.5001,279,-0.3241,369,0.35622
ENSG00000162426,SLC45A1,13,-1.6147,24,-0.6398,23,-0.8154,50,1.23886
ENSG00000142599,RERE,80,-0.2746,62,-0.6813,181,1.35213,70,-0.8335
ENSG00000074800,ENO1,541,-0.5189,446,-0.8193,650,-0.2572,890,0.63941
ENSG00000171603,CLSTN1,335,-0.8741,263,-1.2481,555,-0.0929,710,0.73170
ENSG00000178585,CTNNBIP1,35,-0.4416,41,-0.2021,24,-1.1052,59,0.90374
ENSG00000162441,LZIC,70,1.15578,46,0.42477,30,-0.3182,29,-0.5994
ENSG00000130939,UBE4B,50,0.15448,33,-0.4912,40,-0.2231,49,0.26042
ENSG00000054523,KIF1B,355,0.19673,248,-0.3758,377,0.34793,294,-0.2055
ENSG00000142657,PGD,55,-0.0452,27,-1.1731,49,-0.2785,67,0.56348
ENSG00000241563,CORT,16,-2.6018,45,-1.0672,4,-4.6928,146,3.06240
ENSG00000160049,DFFA,60,1.14025,27,-0.1811,17,-1.0211,31,0.03350
ENSG00000120948,TARDBP,148,1.03196,65,-0.3470,135,1.04529,48,-1.3045
ENSG00000116649,SRM,52,-1.5436,72,-1.0454,76,-1.0626,199,1.51631
ENSG00000198793,MTOR,29,-0.3884,18,-1.0965,35,-0.1597,44,0.59616
ENSG00000116661,FBXO2,336,0.65010,262,0.22750,212,-0.1323,205,-0.3128
ENSG00000132879,FBXO44,43,-1.4899,60,-0.9834,120,0.11225,134,0.64768
ENSG00000011021,CLCN6,43,-0.8248,38,-1.0107,102,0.67590,73,0.03928
ENSG00000116685,KIAA2013,81,1.72734,12,-1.4574,21,-0.6411,28,-0.2706
ENSG00000116688,MFN2,82,-0.5090,61,-0.9616,147,0.51514,115,0.07886
ENSG00000048707,VPS13D,61,-0.0426,84,0.48029,49,-0.4533,64,0.08846
ENSG00000116731,PRDM2,58,0.18155,57,0.15574,69,0.55955,42,-0.5689
ENSG00000189337,KAZN,67,0.45609,34,-0.6503,33,-0.7621,58,0.48120
ENSG00000142634,EFHD2,69,-0.8505,23,-2.4740,34,-2.0786,183,2.17847
