"","source","type","gene_id","gene_version","gene_name","gene_type","gene_search","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"ENSG00000179403","HAVANA","gene","ENSG00000179403","12","VWA1","protein_coding","VWA1; ENSG00000179403",0.170337323632872,0.787431660147779,5.02151700925965,-6145.55708387753,0.567000000000007,0.423257713828657,0.952613091528214,0.975101956436229,0.177848026525656,-6373.12040888748,455.126650019894,177,0,0
"ENSG00000078369","HAVANA","gene","ENSG00000078369","18","GNB1","protein_coding","GNB1; ENSG00000078369",0.0364913382766392,0.943914199631764,16.0673599594011,-6428.63063583609,0.641000000000005,0.493895040011287,0.980718919868441,0.386776635031497,0.0372206570298346,-6439.5614983088,21.8617249454092,763,1.78972681746936e-05,1.9891066070957e-05
"ENSG00000116254","HAVANA","gene","ENSG00000116254","18","CHD5","protein_coding","CHD5; ENSG00000116254",0.0593121642428663,0.62571722169718,2.59079715783007,-5533.75813069558,0.473000000000013,0.323329744302327,0.68677359565004,0.753227602866182,0.0865833867279633,-5625.45892978521,183.401598179262,323,0,0
"ENSG00000116251","HAVANA","gene","ENSG00000116251","11","RPL22","protein_coding","RPL22; ENSG00000116251",0.645287482718206,1.91117467712983,3.9846976512486,-8206.7361013183,0.565000000000012,1.54517741999657,2.57108767678561,0.51987420266352,0.252414251559492,-8641.84087538561,870.209548134622,91,0,0
"ENSG00000116288","HAVANA","gene","ENSG00000116288","13","PARK7","protein_coding","PARK7; ENSG00000116288",0.0618328080985792,0.885033140166843,39.1398029199638,-6347.83181010584,0.725000000000009,0.462141893262154,0.94707112173674,0.53806426019085,0.0653025998155828,-6359.7882594596,23.9128987075164,750,6.41770902420902e-06,7.256289670039e-06
"ENSG00000074800","HAVANA","gene","ENSG00000074800","16","ENO1","protein_coding","ENO1; ENSG00000074800",0.22153891970225,1.33350581158909,6.8469899301688,-7334.54851779513,0.555999999999997,0.8415440269078,1.55723151747834,0.559304321565098,0.142464660497759,-7496.0974240815,323.097812572723,231,0,0
"ENSG00000171603","HAVANA","gene","ENSG00000171603","17","CLSTN1","protein_coding","CLSTN1; ENSG00000171603",0.101923553234408,0.986251089375266,6.35273757221876,-6594.81873911559,0.567999999999998,0.561650549614503,1.08817577614751,0.568422276423307,0.093664701641984,-6677.13769860802,164.637918984854,338,0,0
"ENSG00000054523","HAVANA","gene","ENSG00000054523","17","KIF1B","protein_coding","KIF1B; ENSG00000054523",0.0919715577297882,1.08802826564675,45.9050980112587,-6849.75404430163,0.939999999999998,0.587070109415257,1.18050480219604,0.516579065396189,0.0779420097425221,-6863.22684442972,26.9456002561728,740,1.40876076781815e-06,1.61436369068891e-06
"ENSG00000116661","HAVANA","gene","ENSG00000116661","11","FBXO2","protein_coding","FBXO2; ENSG00000116661",0.105130765189962,0.944971914811262,1.67894610418793,-6482.39922236821,0.513999999999996,0.51918841375542,1.05251417307789,0.624510752967461,0.100114748007156,-6600.99934670323,237.20024867004,279,0,0
"ENSG00000173436","HAVANA","gene","ENSG00000173436","15","MICOS10","protein_coding","MICOS10; ENSG00000173436",0.102133426627343,1.09937162722967,6.83349674911964,-6834.92198678404,0.610000000000014,0.596790356203851,1.202737719303,0.535503304220715,0.0850045751363925,-6905.86093553686,141.87789750565,373,0,0
