Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000188976,NOC2L,36,-0.2378,11,-2.1432,29,-0.5469,61,1.45483
ENSG00000188290,HES4,69,0.85058,32,-0.5160,50,0.28003,39,-0.2411
ENSG00000187608,ISG15,275,1.43373,110,-0.2105,31,-2.1286,115,-0.1949
ENSG00000078808,SDF4,80,0.23596,37,-1.0881,98,0.57883,76,0.25803
ENSG00000176022,B3GALT6,18,-0.8402,20,-0.8002,32,0.03580,40,0.81567
ENSG00000160087,UBE2J2,17,-1.3212,23,-0.9586,45,0.20431,52,0.94531
ENSG00000131584,ACAP3,76,-0.0384,48,-0.8724,137,0.98801,78,0.01769
ENSG00000127054,INTS11,59,0.15815,28,-1.1463,79,0.65694,59,0.27661
ENSG00000224051,CPTP,21,-0.4149,19,-0.6375,14,-1.0047,36,0.95887
ENSG00000107404,DVL1,46,-0.1286,36,-0.5554,60,0.32845,54,0.27462
ENSG00000175756,AURKAIP1,95,-0.5465,118,-0.2265,90,-0.6244,161,0.61128
ENSG00000221978,CCNL2,68,0.46424,24,-1.3293,73,0.56989,56,0.25044
ENSG00000242485,MRPL20,156,-0.0857,164,-0.0062,136,-0.3051,174,0.16484
ENSG00000179403,VWA1,156,2.85806,31,-0.3688,29,-0.4093,14,-2.1020
ENSG00000205090,TMEM240,3,-3.5558,27,-0.3054,24,-0.4131,43,1.07874
ENSG00000160075,SSU72,124,0.03400,76,-0.8469,129,0.09433,142,0.48775
ENSG00000228594,FNDC10,19,-0.8752,24,-0.6510,24,-0.5342,45,0.97536
ENSG00000197530,MIB2,40,0.13615,19,-1.1370,37,-0.0126,45,0.63713
ENSG00000215790,SLC35E2A,36,0.22930,8,-2.2567,38,0.33811,40,0.82002
ENSG00000078369,GNB1,251,-0.5643,285,-0.4139,404,0.21024,405,0.40633
ENSG00000187730,GABRD,17,-1.8618,27,-1.3244,57,-0.0343,85,1.37908
ENSG00000067606,PRKCZ,55,-1.5310,103,-0.6486,121,-0.3246,199,1.05549
ENSG00000162585,FAAP20,87,1.05293,42,-0.2386,60,0.39726,37,-0.6287
ENSG00000157933,SKI,66,1.14678,37,0.14046,57,0.87391,19,-1.3374
ENSG00000157916,RER1,92,0.59454,47,-0.5887,60,-0.1286,68,0.14765
ENSG00000157870,PRXL2B,41,-0.5535,41,-0.6088,64,0.18344,68,0.53912
ENSG00000158109,TPRG1L,92,-1.0273,82,-1.3408,147,-0.2903,252,1.31720
ENSG00000130764,LRRC47,68,-0.2002,33,-1.4415,50,-0.6806,108,1.21050
ENSG00000069424,KCNAB2,15,-3.9874,129,-0.9636,197,-0.1924,325,1.46418
ENSG00000116254,CHD5,13,-3.4677,98,-0.4881,193,0.70497,155,0.62325
ENSG00000116251,RPL22,1126,1.31957,667,0.44072,611,0.21965,303,-1.3409
ENSG00000116237,ICMT,61,1.02684,26,-0.4800,25,-0.4776,33,-0.0656
ENSG00000097021,ACOT7,27,-3.4163,133,-1.1782,146,-0.9124,409,1.89295
ENSG00000171680,PLEKHG5,0,-6.1554,12,-1.4304,39,0.51646,42,1.35014
ENSG00000162408,NOL9,31,-0.0827,17,-1.1080,55,0.88503,35,0.22236
ENSG00000162413,KLHL21,92,1.51245,11,-2.0573,55,0.54219,37,-0.2075
ENSG00000007923,DNAJC11,17,-1.2198,29,-0.4706,43,0.23884,45,0.60933
ENSG00000171735,CAMTA1,160,0.12332,93,-0.8348,228,0.73131,153,0.09348
ENSG00000116288,PARK7,361,0.15982,247,-0.5185,281,-0.2471,371,0.38407
ENSG00000162426,SLC45A1,13,-1.6193,25,-0.7369,13,-1.6093,56,1.54042
ENSG00000142599,RERE,77,-0.1235,67,-0.3881,161,1.14966,73,-0.3455
ENSG00000074800,ENO1,536,-0.4982,456,-0.8459,821,0.19706,891,0.65135
ENSG00000171603,CLSTN1,344,-0.7162,263,-1.2591,562,0.07178,719,1.00356
ENSG00000178585,CTNNBIP1,33,-0.4457,41,-0.1041,22,-1.0243,52,0.60142
ENSG00000162441,LZIC,69,1.04488,41,0.16382,38,0.02419,28,-0.7454
ENSG00000130939,UBE4B,51,0.27344,28,-0.7578,44,0.03126,48,0.35200
ENSG00000054523,KIF1B,347,0.23719,259,-0.2770,438,0.63967,275,-0.2424
ENSG00000142657,PGD,54,0.01243,36,-0.7315,47,-0.2103,64,0.56674
ENSG00000241563,CORT,17,-2.1123,53,-0.4926,0,-7.5894,108,1.79047
ENSG00000160049,DFFA,67,1.32412,24,-0.5084,16,-1.0273,30,-0.1084
ENSG00000120948,TARDBP,148,1.27339,58,-0.3868,121,0.90031,47,-1.0239
ENSG00000116649,SRM,53,-1.6378,78,-1.1490,63,-1.3725,233,1.76904
ENSG00000198793,MTOR,29,-0.3418,19,-1.1420,34,-0.1105,47,0.89704
ENSG00000116661,FBXO2,333,0.59160,265,0.23420,226,-0.0646,198,-0.4595
ENSG00000132879,FBXO44,43,-1.4742,56,-1.1758,113,0.03235,154,1.18858
ENSG00000011021,CLCN6,47,-0.3811,35,-0.9354,77,0.43458,70,0.53044
ENSG00000116685,KIAA2013,78,1.62337,16,-1.1670,27,-0.2843,29,-0.2305
ENSG00000116688,MFN2,75,-0.4614,66,-0.7716,129,0.41593,117,0.48088
ENSG00000048707,VPS13D,68,0.07194,68,0.09412,52,-0.3645,66,0.04116
ENSG00000116731,PRDM2,61,0.23999,51,-0.0511,70,0.48347,47,-0.3142
ENSG00000189337,KAZN,68,0.43054,31,-0.8999,35,-0.6526,63,0.60716
ENSG00000142634,EFHD2,74,-0.2609,34,-1.6120,9,-3.3809,137,1.83969
ENSG00000116786,PLEKHM2,44,-0.4973,61,0.01833,70,0.24480,62,0.06312
ENSG00000065526,SPEN,76,1.12506,59,0.81361,36,-0.1499,22,-1.3701
ENSG00000159363,ATP13A2,26,-2.8928,116,-0.7561,73,-1.3794,271,1.69678
ENSG00000117118,SDHB,70,-0.2502,70,-0.2872,70,-0.2493,93,0.41211
