Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,102,1.03683,50,-0.1908,20,-1.5226,60,0.15146,45,-0.3420
ENSG00000188290,HES4,389,2.49126,62,-0.8280,81,-0.3955,61,-0.9328,66,-0.7189,109,0.07333,55,-1.0988
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,115,0.52993,54,-0.7562,62,-0.4681,26,-1.7687,81,-0.0525
ENSG00000078808,SDF4,175,1.26224,156,1.05033,97,0.22448,72,-0.2917,34,-1.3811,52,-0.7576,50,-0.9049
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,48,-0.0285,75,0.85498,39,-0.3537,54,0.18667,42,-0.2387
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,166,0.83974,91,-0.1950,36,-1.6032,134,0.47436,134,0.55065
ENSG00000127054,INTS11,67,0.30998,66,0.28396,55,-0.0113,63,0.25794,33,-0.8034,67,0.32582,41,-0.5166
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,56,0.47194,31,-0.5213,27,-0.7018,30,-0.5534,35,-0.3180
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,65,-0.3297,115,0.70832,103,0.42097,54,-0.6313,87,0.15237
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,176,0.60695,108,-0.2229,171,0.56695,153,0.37544,132,0.14629
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,83,0.15098,78,0.06196,41,-0.9519,41,-0.9601,46,-0.8671
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,120,-0.5951,200,0.26671,152,-0.2213,183,0.08155,223,0.48019
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,47,-0.4808,96,0.81393,41,-0.6761,93,0.63228,87,0.61219
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,153,-0.0494,204,0.49761,122,-0.4037,117,-0.4744,165,0.09176
ENSG00000228594,FNDC10,19,-1.1747,58,0.58732,46,0.20132,27,-0.7251,29,-0.5154,57,0.57771,51,0.43583
ENSG00000197530,MIB2,55,0.78303,0,-5.9295,53,0.69401,35,0.03939,29,-0.2631,20,-0.8262,41,0.33976
ENSG00000189339,SLC35E2B,0,-5.3289,2,-3.7594,39,0.36175,35,0.17516,40,0.38196,26,-0.2707,53,1.04875
ENSG00000078369,GNB1,289,-0.6216,239,-0.9171,521,0.32251,467,0.16080,380,-0.1910,378,-0.2005,557,0.50657
ENSG00000187730,GABRD,44,-2.0856,93,-0.9647,279,0.81371,284,1.01884,89,-1.0225,147,-0.2525,164,-0.0913
ENSG00000067606,PRKCZ,23,-3.1522,56,-1.8663,289,0.72360,187,0.00086,177,-0.0937,216,0.23425,276,0.76293
ENSG00000162585,FAAP20,87,0.86695,81,0.73880,44,-0.2808,29,-0.9795,32,-0.7648,32,-0.7604,67,0.47796
ENSG00000157933,SKI,100,0.87700,42,-0.5231,52,-0.2130,60,0.02778,53,-0.1617,68,0.22317,49,-0.3558
ENSG00000157916,RER1,83,0.60006,24,-1.3810,61,0.09313,82,0.67943,56,-0.0648,51,-0.1888,41,-0.6090
ENSG00000157870,PRXL2B,84,0.25064,64,-0.1831,95,0.46346,79,0.18207,60,-0.2891,44,-0.7793,71,-0.0282
ENSG00000158109,TPRG1L,177,-0.2100,95,-1.1766,254,0.37897,284,0.66919,99,-1.1111,202,0.00266,210,0.07922
ENSG00000130764,LRRC47,60,-0.1263,32,-1.0880,152,1.47573,52,-0.3889,61,-0.1093,58,-0.1840,59,-0.1777
ENSG00000196581,AJAP1,0,-5.9887,44,-0.2055,32,-0.6911,85,1.09306,33,-0.6282,111,1.39070,29,-0.9605
ENSG00000069424,KCNAB2,53,-2.4061,96,-1.5151,312,0.32246,340,0.54965,251,-0.0346,315,0.34162,299,0.29456
ENSG00000116254,CHD5,23,-3.2257,81,-1.4120,209,0.06354,335,1.04262,94,-1.1768,168,-0.2881,281,0.65745
ENSG00000116251,RPL22,1452,1.68335,733,0.43565,295,-1.0130,340,-0.8818,642,0.21394,505,-0.1753,380,-0.6942
ENSG00000116237,ICMT,106,1.29823,9,-2.4798,86,0.92054,53,0.12592,31,-0.7419,11,-2.3127,49,-0.0197
ENSG00000097021,ACOT7,82,-1.7184,83,-1.7053,494,1.16686,351,0.66173,159,-0.7113,253,0.01797,239,-0.0801
ENSG00000162408,NOL9,43,-0.0690,18,-1.4074,52,0.21700,66,0.72965,46,0.01600,28,-0.7327,44,-0.0352
