Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000188976,NOC2L,1,-6.0249,204,1.80840,23,-2.1613,145,0.63806,23,-2.1575,121,0.34201,41,-1.3052,54,-0.9859
ENSG00000188290,HES4,238,0.33710,204,0.10932,920,2.93223,66,-1.6416,46,-2.1504,41,-2.3374,92,-1.1333,54,-2.0517
ENSG00000187608,ISG15,1,-6.0360,204,1.81094,194,1.13468,36,-1.5030,48,-1.0996,23,-2.1564,48,-1.0810,56,-0.9288
ENSG00000078808,SDF4,51,-1.3461,204,1.13370,228,1.01983,127,0.05010,23,-2.4855,61,-1.0690,119,-0.0477,65,-1.0470
ENSG00000160087,UBE2J2,1,-6.0102,204,1.84110,21,-2.2798,98,0.01859,69,-0.5208,117,0.30596,56,-0.8451,45,-1.2566
ENSG00000131584,ACAP3,13,-3.6698,204,0.49226,88,-0.9244,264,0.80924,198,0.33073,216,0.47210,117,-0.4964,131,-0.3554
ENSG00000127054,INTS11,75,-0.4854,204,1.63080,119,0.22196,110,0.10301,38,-1.5289,71,-0.5891,68,-0.6422,21,-2.4707
ENSG00000107404,DVL1,1,-6.3329,204,1.19907,20,-2.6499,17,-2.8638,272,1.37452,83,-0.5707,111,-0.1261,101,-0.2882
ENSG00000175756,AURKAIP1,148,0.09822,204,0.81511,36,-2.0257,139,-0.0077,160,0.21653,90,-0.6867,158,0.19978,96,-0.6276
ENSG00000221978,CCNL2,1,-6.0099,204,1.87194,123,0.39697,46,-1.1226,73,-0.4172,54,-0.8710,51,-0.9703,47,-1.1750
ENSG00000242485,MRPL20,64,-1.2274,204,0.77857,179,0.36967,112,-0.3714,171,0.30042,93,-0.6485,104,-0.4822,113,-0.3901
