"q","loglik","seed","task"
2,-2716338.91444437,20240905,1
3,-2681870.64867589,20240905,1
4,-2660427.4796043,20240905,1
5,-2635960.54562007,20240905,1
6,-2627614.93418119,20240905,1
7,-2614630.92433162,20240905,1
8,-2621802.44193261,20240905,1
9,-2617313.6701424,20240905,1
10,-2615223.41201726,20240905,1
11,-2631775.14600462,20240905,1
12,-2629944.92154717,20240905,1
13,-2630695.11196847,20240905,1
14,-2627439.63068525,20240905,1
15,-2629457.90765608,20240905,1
16,-2626858.04581505,20240905,1
17,-2624597.9486882,20240905,1
18,-2629450.16983023,20240905,1
19,-2631249.44515438,20240905,1
20,-2633562.65098702,20240905,1
21,-2632827.37039432,20240905,1
22,-2630780.89418642,20240905,1
23,-2636682.49615672,20240905,1
24,-2629454.84441166,20240905,1
25,-2635381.60978238,20240905,1
26,-2627749.31205815,20240905,1
27,-2632603.61972624,20240905,1
28,-2630373.40036398,20240905,1
2,-2716338.91444437,20240906,2
3,-2681870.64867589,20240906,2
4,-2660427.4796043,20240906,2
5,-2635960.54562007,20240906,2
6,-2627614.93418119,20240906,2
7,-2614630.92433162,20240906,2
8,-2621802.44193261,20240906,2
9,-2617313.6701424,20240906,2
10,-2615223.41201726,20240906,2
11,-2631775.14600462,20240906,2
12,-2629944.92154717,20240906,2
13,-2630695.11196847,20240906,2
14,-2627439.63068525,20240906,2
15,-2629457.90765608,20240906,2
16,-2626858.04581505,20240906,2
17,-2624597.9486882,20240906,2
18,-2629450.16983023,20240906,2
19,-2631249.44515438,20240906,2
20,-2633562.65098702,20240906,2
21,-2632827.37039432,20240906,2
22,-2630780.89418642,20240906,2
23,-2636682.49615672,20240906,2
24,-2629454.84441166,20240906,2
25,-2635381.60978238,20240906,2
26,-2627749.31205815,20240906,2
27,-2632603.61972624,20240906,2
28,-2630373.40036398,20240906,2
2,-2716338.91444437,20240907,3
3,-2681870.64867589,20240907,3
4,-2660427.4796043,20240907,3
5,-2635960.54562007,20240907,3
6,-2627614.93418119,20240907,3
7,-2614630.92433162,20240907,3
8,-2621802.44193261,20240907,3
9,-2617313.6701424,20240907,3
10,-2615223.41201726,20240907,3
11,-2631775.14600462,20240907,3
12,-2629944.92154717,20240907,3
13,-2630695.11196847,20240907,3
14,-2627439.63068525,20240907,3
