"q","n_seeds","mean_loglik","sd_loglik","min_loglik","max_loglik"
2,8,-2716338.91444437,0,-2716338.91444437,-2716338.91444437
3,8,-2681870.64867589,0,-2681870.64867589,-2681870.64867589
4,8,-2660427.4796043,0,-2660427.4796043,-2660427.4796043
5,8,-2635960.54562007,0,-2635960.54562007,-2635960.54562007
6,8,-2627614.93418119,0,-2627614.93418119,-2627614.93418119
7,8,-2614630.92433162,0,-2614630.92433162,-2614630.92433162
8,8,-2621802.44193261,0,-2621802.44193261,-2621802.44193261
9,8,-2617313.6701424,0,-2617313.6701424,-2617313.6701424
10,8,-2615223.41201726,0,-2615223.41201726,-2615223.41201726
11,8,-2631775.14600462,0,-2631775.14600462,-2631775.14600462
12,8,-2629944.92154717,0,-2629944.92154717,-2629944.92154717
13,8,-2630695.11196847,0,-2630695.11196847,-2630695.11196847
14,8,-2627439.63068525,0,-2627439.63068525,-2627439.63068525
15,8,-2629457.90765608,0,-2629457.90765608,-2629457.90765608
16,8,-2626858.04581505,0,-2626858.04581505,-2626858.04581505
17,8,-2624597.9486882,0,-2624597.9486882,-2624597.9486882
18,8,-2629450.16983023,0,-2629450.16983023,-2629450.16983023
19,8,-2631249.44515438,0,-2631249.44515438,-2631249.44515438
20,8,-2633562.65098702,0,-2633562.65098702,-2633562.65098702
21,8,-2632827.37039432,0,-2632827.37039432,-2632827.37039432
22,8,-2630780.89418642,0,-2630780.89418642,-2630780.89418642
23,8,-2636682.49615672,0,-2636682.49615672,-2636682.49615672
24,8,-2629454.84441166,0,-2629454.84441166,-2629454.84441166
25,8,-2635381.60978238,0,-2635381.60978238,-2635381.60978238
26,8,-2627749.31205815,0,-2627749.31205815,-2627749.31205815
27,8,-2632603.61972624,0,-2632603.61972624,-2632603.61972624
28,8,-2630373.40036398,0,-2630373.40036398,-2630373.40036398
