Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,30,-0.3794,54,0.61421,19,-1.0504,25,-0.6975
ENSG00000188290,HES4,3,-4.4404,80,0.11729,96,0.52157,159,1.26163,11,-2.9353,89,0.36711
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,85,-0.8996,195,0.54967,119,-0.2691,258,1.45913
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,66,-1.2674,303,1.36962,201,0.76081,79,-0.9690
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,33,-0.3260,1,-4.5363,81,1.43328,10,-2.3162
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,62,-0.7858,105,0.15924,144,0.76362,61,-0.8308
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,34,-1.7128,16,-2.5881,102,0.21309,20,-2.5419
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,39,-0.7682,49,-0.3036,98,0.95387,59,0.00463
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,72,-0.7156,11,-3.3205,186,1.07125,62,-0.9881
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,23,-1.5025,1,-5.0045,65,0.31535,49,-0.1835
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,84,-0.5673,70,-0.7562,102,-0.1942,95,-0.3616
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,58,-2.5250,166,-0.7012,986,3.29194,178,-0.7181
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,39,-0.1186,58,0.52434,4,-3.5017,19,-1.3415
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,94,-0.1128,118,0.27048,102,0.03139,87,-0.2781
ENSG00000078369,GNB1,238,0.09044,377,0.84675,191,-0.3128,217,-0.0540,284,0.42544,166,-0.5692
ENSG00000067606,PRKCZ,3,-4.3837,239,2.11043,45,-0.8337,21,-1.8759,107,0.74895,58,-0.3993
ENSG00000162585,FAAP20,285,1.96237,49,-0.9533,70,-0.5060,4,-4.5330,161,1.07275,47,-1.2190
ENSG00000157933,SKI,220,2.34114,100,0.84948,38,-0.8055,1,-5.1267,79,0.51472,19,-1.9134
ENSG00000157916,RER1,3,-4.4179,95,0.40692,51,-0.6666,148,1.15959,144,1.30777,40,-1.0909
ENSG00000157870,PRXL2B,3,-3.7542,239,3.12379,35,-0.5174,64,0.53380,22,-1.1930,17,-1.6874
ENSG00000158109,TPRG1L,244,2.06694,228,1.92470,41,-1.0791,5,-3.8220,77,0.05062,23,-2.0190
ENSG00000069424,KCNAB2,3,-4.4233,389,3.19632,82,0.22972,98,0.46258,22,-1.9359,9,-3.3410
ENSG00000116254,CHD5,3,-4.8524,601,3.60239,117,0.32967,94,-0.0783,2,-5.6011,13,-3.2986
ENSG00000116251,RPL22,1837,0.90587,276,-2.0403,321,-2.0525,1029,-0.0438,1126,0.11011,1761,1.14698
ENSG00000097021,ACOT7,3,-4.2643,407,3.66112,33,-1.2217,66,0.01292,37,-0.9613,25,-1.6963
ENSG00000171735,CAMTA1,320,1.33849,259,0.96431,145,0.01278,6,-4.6728,106,-0.5212,117,-0.3906
ENSG00000049245,VAMP3,262,1.17251,0,-9.7540,45,-1.8310,80,-0.7501,289,1.62107,122,-0.1055
ENSG00000116288,PARK7,777,1.93702,173,-0.5990,207,-0.4012,52,-2.3965,305,0.32539,190,-0.5528
ENSG00000142599,RERE,165,1.19219,207,1.60754,66,-0.3751,42,-1.0042,43,-1.0415,62,-0.4856
ENSG00000074800,ENO1,2575,2.89496,711,0.41866,616,0.23481,6,-6.4710,291,-1.0554,103,-2.7835
ENSG00000171603,CLSTN1,830,1.75292,1087,2.30120,211,-0.6492,39,-3.0347,161,-1.0266,125,-1.5374
ENSG00000054523,KIF1B,866,1.82838,328,0.14293,168,-1.0534,58,-2.4821,397,0.50992,250,-0.3485
ENSG00000120948,TARDBP,283,2.35222,59,-0.3914,32,-1.4936,53,-0.5629,77,0.02156,63,-0.3595
ENSG00000116649,SRM,211,1.58506,226,1.72079,63,-0.5159,43,-1.0154,53,-0.7437,45,-1.0958
ENSG00000116661,FBXO2,725,2.09326,340,0.70913,302,0.67125,1,-6.9850,114,-1.0847,73,-1.9073
ENSG00000132879,FBXO44,3,-4.4263,318,2.67578,73,-0.0333,153,1.21038,1,-6.4924,40,-1.1222
ENSG00000011021,CLCN6,3,-3.4602,196,3.14376,29,-0.4646,1,-4.4794,44,0.27567,12,-1.8929
ENSG00000116688,MFN2,3,-3.9970,96,0.91459,36,-0.7731,2,-4.5744,72,0.49584,83,0.90457
ENSG00000116731,PRDM2,3,-3.6363,119,1.75307,21,-1.2266,72,0.86174,53,0.38942,35,-0.3893
ENSG00000116786,PLEKHM2,3,-3.9901,119,1.30412,63,0.28228,72,0.44196,42,-0.4296,44,-0.4001
ENSG00000065526,SPEN,3,-3.4907,63,0.79929,33,-0.3061,1,-4.5096,18,-1.2607,74,1.53631
ENSG00000055070,SZRD1,318,2.39314,27,-1.7292,43,-1.1962,1,-5.5980,127,0.77342,64,-0.5108
ENSG00000159363,ATP13A2,3,-4.0399,183,2.05072,57,0.00453,29,-1.0204,84,0.72767,23,-1.5766
ENSG00000117118,SDHB,159,1.62871,97,0.75016,39,-0.8049,29,-1.1161,114,1.20483,13,-2.5475
ENSG00000117115,PADI2,3,-5.1693,14,-3.1986,40,-1.9543,44,-1.5518,411,2.77801,118,-0.0834
ENSG00000077549,CAPZB,459,1.63438,397,1.36700,93,-1.1417,166,-0.0942,154,-0.2305,108,-0.8943
ENSG00000173436,MICOS10,476,0.85228,243,-0.2364,140,-1.2612,129,-1.2082,265,-0.1140,437,0.95958
ENSG00000158747,NBL1,3,-5.5790,394,1.47837,134,-0.3882,561,2.16949,7,-4.7108,144,-0.2590
ENSG00000162545,CAMK2N1,3,-7.0950,776,0.82086,368,-0.4664,171,-1.5410,713,0.77787,563,0.37079
ENSG00000158828,PINK1,305,0.76825,255,0.47130,128,-0.7349,70,-1.5160,140,-0.5204,266,0.71426
ENSG00000127483,HP1BP3,380,1.81874,161,0.31206,92,-0.6766,56,-1.2984,199,0.75672,61,-1.3698
ENSG00000075151,EIF4G3,265,1.91974,167,1.06048,41,-1.3349,1,-5.6895,87,-0.0179,78,-0.2351
ENSG00000076864,RAP1GAP,3,-4.0708,349,3.59139,47,-0.3804,55,-0.0856,24,-1.4488,13,-2.4923
