Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,17,-2.2245,124,1.31329,38,-1.0353,31,-1.3469,70,-0.1170
ENSG00000188290,HES4,754,3.06113,78,-1.4005,44,-2.0092,311,1.09907,43,-2.3584
ENSG00000187608,ISG15,1,-5.3510,37,-0.6259,78,0.69650,149,1.91893,40,-0.4879
ENSG00000078808,SDF4,185,0.91206,91,-0.3437,88,-0.3319,137,0.39538,95,-0.2541
ENSG00000160087,UBE2J2,26,-1.4615,98,0.90342,33,-1.0935,48,-0.5255,68,0.03068
ENSG00000131584,ACAP3,108,-0.6295,252,1.11939,135,-0.2845,93,-0.8606,119,-0.6074
ENSG00000127054,INTS11,136,1.03987,84,0.29790,28,-1.4732,65,-0.2023,60,-0.4073
ENSG00000107404,DVL1,17,-2.5664,71,-0.5415,130,0.54704,85,-0.1440,131,0.81275
ENSG00000175756,AURKAIP1,101,-0.3417,138,0.21554,83,-0.6519,64,-1.0426,155,0.48685
ENSG00000221978,CCNL2,90,0.75472,54,-0.1016,40,-0.5664,73,0.41054,49,-0.3083
ENSG00000242485,MRPL20,163,0.45693,114,-0.1708,122,-0.0196,99,-0.3486,128,0.08681
ENSG00000179403,VWA1,14,-2.1477,14,-2.5156,53,-0.1776,111,1.05335,105,1.50519
ENSG00000205090,TMEM240,1,-5.9377,118,1.02855,55,-0.5400,53,-0.5981,79,0.02748
ENSG00000160075,SSU72,66,-1.6709,286,0.92713,146,-0.4633,154,-0.3751,178,-0.1962
ENSG00000228594,FNDC10,60,0.13231,77,0.78017,50,-0.1506,5,-3.4461,50,-0.1883
ENSG00000197530,MIB2,1,-5.2189,67,0.85756,48,0.03441,66,0.57318,35,-0.5771
ENSG00000078369,GNB1,435,0.07683,439,0.12434,321,-0.4091,398,-0.0696,421,0.03214
ENSG00000187730,GABRD,1,-6.6604,284,1.46651,70,-1.3072,80,-1.1138,155,-0.1144
ENSG00000067606,PRKCZ,275,0.42799,267,0.52815,227,0.11066,99,-1.1931,170,-0.4618
ENSG00000162585,FAAP20,136,1.03750,58,-0.5114,72,-0.0444,97,0.43846,63,-0.3399
ENSG00000157933,SKI,112,0.39875,104,0.36999,74,-0.2778,67,-0.4309,76,-0.3081
ENSG00000157916,RER1,158,1.31078,82,0.22910,52,-0.5538,71,-0.0623,46,-0.9253
ENSG00000197921,HES5,10,-3.9712,46,-2.0113,73,-1.0267,161,0.22087,295,2.20042
ENSG00000157870,PRXL2B,59,-1.0105,173,1.05994,91,-0.3457,93,-0.3089,84,-0.5850
ENSG00000177133,PRDM16-DT,8,-2.5949,11,-2.4330,38,-0.3047,48,0.07070,95,2.13445
ENSG00000158109,TPRG1L,164,0.08008,188,0.42157,96,-0.7721,104,-0.6404,159,0.04152
ENSG00000130764,LRRC47,1,-5.6702,85,0.65763,42,-0.6523,79,0.34752,66,0.07960
ENSG00000196581,AJAP1,60,0.32206,68,0.76732,19,-1.4893,25,-1.0313,45,-0.1893
ENSG00000069424,KCNAB2,218,-0.6171,463,0.88295,172,-0.9787,217,-0.6209,299,-0.1536
ENSG00000116254,CHD5,74,-2.1591,490,1.21747,285,-0.1014,148,-1.1239,252,-0.3872
ENSG00000116251,RPL22,403,0.01812,341,-0.3250,572,0.60007,534,0.48334,352,-0.2616
ENSG00000097021,ACOT7,74,-1.1315,240,1.11413,102,-0.6478,58,-1.5094,143,-0.1522
ENSG00000171680,PLEKHG5,1,-5.4501,92,1.32409,50,-0.1526,49,-0.1674,39,-0.6630
ENSG00000162408,NOL9,1,-5.6634,69,0.17486,69,0.13642,98,0.71637,66,0.07870
ENSG00000007923,DNAJC11,1,-5.5803,78,0.61697,76,0.37690,34,-0.9065,65,0.17752
ENSG00000171735,CAMTA1,222,-0.1755,267,0.16405,163,-0.6598,196,-0.3713,282,0.29284
ENSG00000049245,VAMP3,36,-0.4524,17,-1.8919,68,0.58112,154,2.15096,40,-0.3407
ENSG00000116288,PARK7,151,-0.4496,155,-0.5173,171,-0.2560,180,-0.1697,278,0.78313
ENSG00000142599,RERE,42,-1.8031,169,0.51402,75,-0.9292,120,-0.1934,158,0.34682
ENSG00000074800,ENO1,240,-1.7068,607,-0.3648,486,-0.6308,733,0.02130,1078,0.97786
ENSG00000171603,CLSTN1,243,-1.2962,861,1.07558,320,-0.8775,240,-1.3163,548,-0.0414
ENSG00000162441,LZIC,4,-3.8647,34,-0.8559,48,-0.1810,68,0.39102,86,1.20170
ENSG00000130939,UBE4B,70,0.62918,74,1.05633,50,0.06634,31,-0.7064,20,-1.6029
ENSG00000054523,KIF1B,357,-0.3292,469,0.15000,394,-0.1703,454,0.05748,444,0.02764
ENSG00000142657,PGD,1,-5.2147,71,1.03383,43,-0.1206,47,0.01048,38,-0.3925
ENSG00000160049,DFFA,1,-4.9478,30,-0.5256,58,0.63618,50,0.38790,52,0.62238
ENSG00000120948,TARDBP,101,0.52779,55,-0.5844,84,0.22917,139,1.09016,57,-0.5145
ENSG00000116649,SRM,86,-0.5350,168,0.79026,97,-0.3549,119,-0.0249,94,-0.5209
ENSG00000116661,FBXO2,22,-3.6805,249,-0.1060,253,-0.0569,245,-0.1037,363,0.77832
ENSG00000132879,FBXO44,4,-5.5635,331,1.68650,113,-0.7229,66,-1.5484,144,-0.4407
ENSG00000011021,CLCN6,23,-2.0234,102,0.33386,42,-1.1517,95,0.13565,108,0.47245
ENSG00000116685,KIAA2013,152,1.82124,52,-0.0934,46,-0.2737,29,-0.9715,36,-0.8185
ENSG00000116688,MFN2,86,-0.4661,150,0.61178,97,-0.2789,82,-0.5437,108,-0.1441
ENSG00000048707,VPS13D,290,2.00807,92,-0.0928,62,-0.6868,42,-1.2968,65,-0.7780
ENSG00000162496,DHRS3,328,2.23143,21,-2.6784,46,-1.1636,80,-0.3247,122,0.49918
ENSG00000116731,PRDM2,81,0.09757,117,1.07354,58,-0.4390,50,-0.6462,48,-0.9035
ENSG00000142634,EFHD2,84,0.62151,66,0.28918,90,0.72890,77,0.47647,24,-1.6227
ENSG00000116786,PLEKHM2,15,-2.7076,97,0.18348,86,-0.0548,102,0.21938,103,0.32186
ENSG00000065526,SPEN,287,2.01812,72,-0.5574,55,-0.8399,100,0.09672,64,-0.7669
ENSG00000055070,SZRD1,1,-4.9557,10,-2.4221,64,0.83429,101,1.68184,52,0.66470
ENSG00000159363,ATP13A2,79,-0.8334,154,0.31626,93,-0.5661,102,-0.4344,156,0.34401
ENSG00000117118,SDHB,1,-5.6363,75,0.42694,59,-0.0918,58,-0.1116,73,0.33543
ENSG00000117115,PADI2,48,-0.4888,43,-0.8072,101,0.73409,82,0.38297,75,0.31624
ENSG00000117154,IGSF21,30,-1.3589,138,1.75817,56,-0.4193,22,-1.8341,45,-0.9487
ENSG00000159423,ALDH4A1,1,-5.1960,4,-3.9163,40,-0.2337,28,-0.7742,111,3.00315
ENSG00000053372,MRTO4,16,-1.6834,72,0.95435,28,-0.8789,39,-0.3658,46,-0.0982
ENSG00000053371,AKR7A2,1,-5.2155,39,-0.3547,30,-0.6942,77,0.83556,65,0.77712
ENSG00000077549,CAPZB,220,-0.1900,259,0.10598,127,-1.0409,323,0.44060,259,0.10109
ENSG00000173436,MICOS10,67,-1.5718,215,0.31930,232,0.35730,207,0.17226,176,-0.1276
ENSG00000158747,NBL1,636,1.47814,232,-0.3422,231,-0.2660,257,-0.1016,213,-0.5062
ENSG00000162545,CAMK2N1,433,-1.1585,1073,0.37710,754,-0.2986,816,-0.1735,984,0.17770
ENSG00000158828,PINK1,238,-0.6609,435,0.42065,319,-0.2004,330,-0.1458,354,-0.0467
ENSG00000127483,HP1BP3,125,-0.7507,204,0.02152,140,-0.5814,250,0.35683,229,0.28829
ENSG00000075151,EIF4G3,38,-1.5258,141,0.78610,67,-0.6493,58,-0.8781,109,0.15678
ENSG00000076864,RAP1GAP,42,-1.9964,286,1.68475,106,-0.5939,74,-1.1536,103,-0.7970
ENSG00000090686,USP48,165,1.95495,47,-0.3493,42,-0.4653,54,-0.0645,34,-0.9826
ENSG00000070831,CDC42,237,0.13671,269,0.48813,154,-0.5483,195,-0.1732,188,-0.3028
ENSG00000169641,LUZP1,242,1.86992,91,0.13585,39,-1.1944,24,-1.9034,63,-0.6027
ENSG00000125944,HNRNPR,60,-0.7522,108,0.22769,88,-0.1642,170,0.94661,78,-0.4559
ENSG00000142676,RPL11,940,0.97434,329,-0.9386,681,0.41619,862,0.82092,432,-0.4195
ENSG00000057757,PITHD1,1,-6.5952,187,1.06779,64,-0.9959,49,-1.3977,140,0.31019
ENSG00000011009,LYPLA2,2,-4.8933,90,1.21277,24,-1.2719,49,-0.2225,52,-0.1339
ENSG00000189266,PNRC2,39,-0.7243,57,-0.1539,60,-0.0568,97,0.75895,62,0.02838
ENSG00000188529,SRSF10,12,-1.9191,46,0.06799,42,-0.1097,39,-0.2046,57,0.54882
ENSG00000001461,NIPAL3,70,0.21553,74,0.42816,86,0.55045,33,-0.9722,47,-0.5358
ENSG00000133226,SRRM1,230,2.02652,42,-1.1383,65,-0.2323,61,-0.3360,66,-0.2833
ENSG00000169504,CLIC4,389,3.28050,5,-4.4756,77,-0.0357,178,1.43143,16,-2.7599
ENSG00000117614,SYF2,58,-0.2633,55,-0.4430,47,-0.5817,115,0.87957,76,0.24899
ENSG00000117616,RSRP1,154,1.42677,54,-0.4829,36,-1.0046,54,-0.3713,69,0.03163
ENSG00000183726,TMEM50A,177,0.75954,134,0.39061,68,-0.7949,195,0.92797,57,-1.2869
ENSG00000162430,SELENON,175,1.21040,90,0.08915,54,-0.7336,101,0.26117,59,-0.7576
ENSG00000117640,MTFR1L,49,-0.9536,114,0.51830,56,-0.7692,58,-0.7041,104,0.30894
ENSG00000117632,STMN1,270,-1.0335,837,1.19537,378,-0.5173,286,-0.9475,419,-0.4535
ENSG00000158008,EXTL1,9,-3.2042,114,0.94538,57,-0.4727,70,-0.1628,72,-0.1340
ENSG00000142669,SH3BGRL3,125,-0.7571,221,0.19261,148,-0.4952,275,0.50307,204,0.01439
ENSG00000198830,HMGN2,205,0.41547,120,-0.5713,126,-0.3748,342,1.32195,133,-0.3675
ENSG00000117713,ARID1A,1,-5.8278,102,0.85916,46,-0.6949,79,0.16658,70,-0.0382
ENSG00000090273,NUDC,115,-0.3030,175,0.53430,131,-0.0936,148,0.09725,111,-0.4702
ENSG00000253368,TRNP1,1,-5.0103,45,0.25276,41,0.04216,41,0.03897,48,0.38470
ENSG00000142784,WDTC1,196,1.53695,76,-0.1545,74,-0.1638,24,-1.8826,71,-0.2869
