Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,25,-0.5663,73,1.15556,44,0.33919,54,0.63702,42,0.22142,26,-0.6040,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,87,0.62862,81,0.50536,61,0.04900,72,0.33063,42,-0.5422,51,-0.2686,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.06790,158,0.38546,116,-0.1205,40,-1.7217,64,-1.0280,146,0.29521,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,82,-0.3823,178,0.87567,117,0.19438,47,-1.2333,36,-1.6224,127,0.35342,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,42,-0.8230,104,0.62433,87,0.36196,40,-0.9022,61,-0.2375,71,-0.0105,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,106,0.14067,128,0.44709,91,-0.1078,95,-0.0379,94,-0.0509,73,-0.4933,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,26,-0.4700,47,0.45464,36,0.05241,38,0.13494,38,0.12837,36,0.03234,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,35,-0.7064,47,-0.2703,60,0.14039,69,0.33261,95,0.87457,51,-0.1510,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,153,0.34041,132,0.09708,125,0.02469,158,0.39973,151,0.32398,76,-0.8252,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,72,0.04823,72,0.05159,62,-0.2269,78,0.16588,83,0.27565,75,0.12877,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,34,0.01489,39,0.27178,33,-0.0293,27,-0.3440,57,0.88726,34,0.02687,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,97,0.32453,81,0.03021,59,-0.5241,45,-0.8785,75,-0.1038,91,0.24430,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,165,-0.2009,154,-0.3119,187,0.00234,160,-0.2507,147,-0.3795,229,0.37533,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,85,0.34647,104,0.68044,68,-0.0069,52,-0.4491,71,0.06330,60,-0.2388,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,194,0.00691,231,0.28588,173,-0.1942,188,-0.0441,217,0.18522,206,0.11904,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,10,-2.5662,18,-1.7442,11,-2.5614,43,-0.4238,34,-0.7782,29,-1.1048,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,16,-0.4185,29,0.48012,29,0.59259,38,0.93630,8,-1.4559,11,-1.1431,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,54,0.28934,72,0.75653,55,0.34516,43,-0.1039,49,0.12782,33,-0.5315,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,188,0.06536,167,-0.1204,217,0.34401,136,-0.4423,189,0.07867,202,0.21145,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,30,-0.9582,53,-0.0798,57,0.03732,79,0.55799,65,0.23183,73,0.48641,52,-0.1277,22,-1.4566
ENSG00000272106,AL691432.2,13,-0.7902,13,-0.7686,15,-0.6480,15,-0.5299,46,1.27861,21,-0.0209,23,0.10675,33,0.69535
