Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,11,-0.6593,17,0.27213,27,0.87004,9,-0.8879
ENSG00000228794,LINC01128,42,0.33865,40,0.35369,26,-0.5127,14,-1.3965
ENSG00000188976,NOC2L,49,-0.2372,69,0.66226,29,-1.0133,45,-0.3517
ENSG00000188290,HES4,93,-0.3199,105,-0.1480,168,0.70604,112,0.01147
ENSG00000187608,ISG15,60,-0.0319,65,0.19091,50,-0.3013,57,-0.1055
ENSG00000188157,AGRN,34,-0.7692,54,0.12603,89,0.93964,41,-0.3703
ENSG00000131591,C1orf159,14,-0.1421,16,0.17045,15,-0.0308,14,-0.1250
ENSG00000078808,SDF4,73,-0.4059,96,0.18497,123,0.51590,70,-0.4054
ENSG00000176022,B3GALT6,44,-0.0151,50,0.31993,37,-0.2984,33,-0.4838
ENSG00000160087,UBE2J2,49,-0.2103,63,0.39207,38,-0.5928,54,-0.0360
ENSG00000162572,SCNN1D,17,-0.3529,24,0.38374,22,0.04038,17,-0.3816
ENSG00000131584,ACAP3,112,-0.5015,158,0.21979,187,0.41011,131,-0.1815
ENSG00000169972,PUSL1,15,0.19885,14,0.10900,8,-0.8568,14,0.08119
ENSG00000127054,INTS11,57,-0.3394,68,-0.0157,90,0.46550,71,0.05797
ENSG00000224051,CPTP,21,-0.8371,37,0.22579,47,0.52603,37,0.10399
ENSG00000107404,DVL1,75,-0.1224,75,-0.1860,107,0.48298,84,0.08200
ENSG00000175756,AURKAIP1,251,0.41317,184,-0.2761,216,0.09263,176,-0.2371
ENSG00000221978,CCNL2,49,-0.6469,81,0.41518,95,0.48694,49,-0.5984
ENSG00000242485,MRPL20,214,0.22797,197,0.10037,133,-0.5759,174,-0.1454
ENSG00000179403,VWA1,15,-0.9690,16,-1.0327,41,0.82488,67,1.74790
ENSG00000160072,ATAD3B,14,-0.4387,21,0.39961,20,0.14859,14,-0.4096
ENSG00000197785,ATAD3A,15,-0.5213,23,0.35343,23,0.21803,18,-0.2370
ENSG00000205090,TMEM240,43,-0.2079,55,0.38370,42,-0.2426,40,-0.3276
ENSG00000160075,SSU72,199,-0.0119,218,0.26253,172,-0.2422,157,-0.3880
ENSG00000228594,FNDC10,34,-0.3221,46,0.41508,41,0.00726,30,-0.4869
ENSG00000272106,AL691432.2,35,0.13199,31,-0.1158,36,0.17889,29,-0.1607
ENSG00000197530,MIB2,44,-0.6091,73,0.54176,72,0.26850,40,-0.6957
ENSG00000189339,SLC35E2B,34,-0.1253,41,0.40017,25,-0.6165,33,-0.1826
ENSG00000215790,SLC35E2A,34,0.12794,35,0.27121,19,-0.8392,28,-0.1767
ENSG00000008130,NADK,39,-0.0926,42,0.01870,53,0.42670,32,-0.4029
ENSG00000078369,GNB1,510,0.07708,523,0.19576,393,-0.3575,414,-0.2739
ENSG00000187730,GABRD,169,0.13199,173,0.28436,159,0.01853,71,-1.2428
ENSG00000067606,PRKCZ,233,0.02757,255,0.30927,184,-0.3590,171,-0.4820
ENSG00000162585,FAAP20,51,-0.1359,54,-0.0332,40,-0.4796,79,0.62043
ENSG00000157933,SKI,34,0.45019,25,-0.2701,14,-1.0789,37,0.52413
ENSG00000157916,RER1,81,-0.2638,82,-0.3440,190,1.25666,65,-0.5740
ENSG00000157911,PEX10,35,-0.2627,33,-0.4792,67,0.88874,50,0.36821
ENSG00000149527,PLCH2,38,-0.1524,48,0.48572,34,-0.3108,27,-0.6653
ENSG00000157881,PANK4,13,-0.9879,26,0.45076,30,0.46375,21,-0.1502
ENSG00000197921,HES5,51,-1.1070,71,-0.7615,268,1.88888,115,0.29313
ENSG00000272449,AL139246.5,25,-0.2028,20,-0.8142,76,1.82177,17,-0.7693
ENSG00000157873,TNFRSF14,10,-0.9862,15,-0.2702,37,1.33552,19,0.16052
ENSG00000157870,PRXL2B,61,-0.3116,85,0.56350,43,-0.8157,67,-0.1112
ENSG00000177133,PRDM16-DT,30,-0.6265,23,-1.4413,136,2.17958,55,0.41936
ENSG00000158109,TPRG1L,214,-0.0499,247,0.36490,147,-0.6475,193,-0.2094
ENSG00000116213,WRAP73,14,-0.4152,18,0.11253,22,0.42604,16,-0.0739
ENSG00000130764,LRRC47,97,0.17776,101,0.38579,51,-0.8863,62,-0.5661
ENSG00000116198,CEP104,11,-0.3430,17,0.79773,7,-0.9015,9,-0.6018
ENSG00000198912,C1orf174,9,-0.8502,20,0.99274,11,-0.4344,9,-0.6621
ENSG00000196581,AJAP1,58,0.12162,64,0.47224,46,-0.2725,20,-1.5345
ENSG00000069424,KCNAB2,416,0.52289,282,-0.3453,334,0.06636,271,-0.2749
ENSG00000116254,CHD5,166,-0.2233,214,0.41144,170,-0.1607,140,-0.4654
ENSG00000116251,RPL22,670,0.39807,414,-0.7229,590,0.12008,804,0.65023
