"cluster","carrier_F","carrier_M","Sex_E2","Sex_E4"
"Astro",0,0,0,1
"Macro",1,13,0,0
"Micro",0,3,0,2
"OPC",0,0,1,1
"Oligo",0,747,0,0
"Vasc",0,31,0,0
"Excit",1,183,0,11
"Inhib",0,7,0,0
