ligand_complex,receptor_complex
TGFB1,EGFR
DCN,EGFR
ANXA1,EGFR
NRXN3,NLGN1
NRG3,EGFR
TGFB1,CXCR4
APOE,TREM2
CXCL14,CXCR4
BCAN,EGFR
DCN,ERBB4
VCAN,TLR2
VCAN,EGFR
DCN,TLR2
NLGN1,NRXN3
VIP,ADRB1
NXPH2,NRXN1
NLGN1,NRXN1
CDH1,EGFR
SPON1,APP
PSEN1,NOTCH1
NRG3,ERBB3
APP,NCSTN
TGFB1,CAV1
TAC1,TACR1
IGFBP4,FZD8
S100A4,ERBB3
NTRK3,PTPRD
S100A4,EGFR
PSEN1,NCSTN
THBS1,CD36
CNTN2,NRP1
HLA-DQA1,CD4
NRXN1,NLGN1
CD14,ITGB2
HLA-DMB,CD4
CD48,CD2
